npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-ft_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight,PointProbability,prefix
1193.0,-585.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,792178.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2209388701.69,7653277.60198,2209865364.77,2217790783.31,2200033293.9,2201068922.97,2217041152.09,4.0,58572658053000.0,0.25,0.250002130224,0.25,0.015625133139,5.88667788813e-14,93
1193.0,-385.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2203365859.7,15048416.4899,2206066615.02,2218625323.28,2182704885.47,2185970808.32,2216979853.62,4.0,226454838853000.0,0.125,0.249997869776,0.25,0.0078124334305,5.88667788813e-14,109
1193.0,-185.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,792178.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2150391586.79,14512157.9063,2150576308.9,2164618618.07,2135795111.29,2136452455.29,2164072107.34,4.0,210602727097000.0,0.125,0.250002130224,0.125,0.00390628328475,5.88667788813e-14,120
1193.0,-985.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1056237.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2146413079.9,10851885.6123,2145439148.93,2159367108.1,2135406913.63,2136073554.63,2158116108.52,4.0,117763421342000.0,0.25,0.125001065112,0.125,0.00390628328475,5.88667788813e-14,71
1193.0,-785.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2123970531.02,6636337.40642,2125820481.49,2129557612.84,2114683548.28,2116057581.9,2129293549.49,4.0,44040974171900.0,0.25,0.250002603607,0.25,0.0156251627254,5.88667788813e-14,87
1193.0,-385.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2105030001.33,22002118.0545,2103160893.98,2128913822.09,2084884395.26,2085328836.33,2127347916.61,4.0,484093198884000.0,0.125,0.250002603607,0.25,0.00781258136272,5.88667788813e-14,114
1193.0,-585.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1056237.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2087583896.45,4279041.35111,2087189966.7,2092762101.08,2083193551.3,2083483212.05,2092236082.49,4.0,18310194884500.0,0.25,0.125001065112,0.25,0.0078125665695,5.88667788813e-14,98
1193.0,-185.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1056237.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2049541715.03,7675907.99696,2048614367.98,2059171263.84,2041766860.32,2042298053.6,2058083662.33,4.0,58919563577800.0,0.125,0.125001065112,0.125,0.00195314164237,5.88667788813e-14,125
1193.0,-985.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2043975636.76,12628459.8262,2038701846.0,2062798946.98,2035699908.05,2036143869.01,2059190711.58,4.0,159477997582000.0,0.25,0.249997869776,0.125,0.0078124334305,5.88667788813e-14,81
1193.0,-585.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2027599302.9,12104348.8013,2023636078.92,2044794032.62,2018331021.15,2018580033.27,2042167086.11,4.0,146515259904000.0,0.125,0.124996331281,0.25,0.00390613535253,5.88667788813e-14,103
