npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-ft_capacity,PointProbability,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,prefix,ProbabilityWeight
769.0,-754.0,-11479.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,50535.0,ref,cooper,nebraska,covid,1378532250.75,13432965.3876,1380961202.51,1390475088.57,1361731509.39,1363530986.4,1390132982.63,4.0,180444559104000.0,0.25,1.66935855854e-12,0.125210084034,0.250037108505,66,0.00782679184187
769.0,-754.0,-11479.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,33690.0,ref,cooper,nebraska,covid,1364725952.75,13573968.9889,1365437118.87,1379008740.42,1349020832.85,1350416810.7,1378039462.23,4.0,184252634112000.0,0.25,1.66935855854e-12,0.125210084034,0.250037108505,61,0.00782679184187
769.0,-754.0,-11479.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,67380.0,ref,cooper,nebraska,covid,1364219043.0,16666343.6634,1361482766.64,1386871653.21,1347038985.5,1348869614.76,1383399258.14,4.0,277767011107000.0,0.25,1.66935855854e-12,0.125210084034,0.125018554253,71,0.00391339592093
769.0,-754.0,-11479.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,16845.0,ref,cooper,nebraska,covid,1351378904.24,16811222.8191,1354767010.06,1366394015.38,1329587581.45,1332180645.96,1365833814.37,4.0,282617212675000.0,0.25,1.66935855854e-12,0.125210084034,0.249962891495,56,0.00782446866234
769.0,-308.0,-7743.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,33690.0,ref,cooper,nebraska,covid,1322119300.63,18323036.7292,1328122073.63,1336885430.28,1295347625.0,1300198991.54,1335635727.53,4.0,335733674980000.0,0.25,1.66935855854e-12,0.25042016806699996,0.250037108505,89,0.0156535836837
769.0,-308.0,-7743.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,50535.0,ref,cooper,nebraska,covid,1314325753.55,27196185.4095,1318657903.34,1339059408.38,1280927799.16,1284326875.45,1338259621.95,4.0,739632500830000.0,0.25,1.66935855854e-12,0.25042016806699996,0.250037108505,94,0.0156535836837
769.0,-308.0,-7743.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,16845.0,ref,cooper,nebraska,covid,1309706720.68,33356374.5754,1316912184.19,1337302550.38,1267699963.95,1272259547.21,1337066245.23,4.0,1112647724820000.0,0.25,1.66935855854e-12,0.25042016806699996,0.249962891495,84,0.0156489373247
769.0,-308.0,-7743.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,67380.0,ref,cooper,nebraska,covid,1295763112.47,17398307.8611,1298274770.52,1314144557.95,1272358350.87,1275913332.92,1312096570.74,4.0,302701116428000.0,0.25,1.66935855854e-12,0.25042016806699996,0.125018554253,99,0.00782679184187
769.0,-754.0,-11479.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,10.0,ref,cooper,nebraska,covid,1291064869.38,11448388.8751,1294546023.58,1300526665.66,1274640764.7,1277296499.82,1299959623.05,4.0,131065607836000.0,0.25,1.66935855854e-12,0.125210084034,0.12494433724199999,51,0.0039110727414
769.0,-457.0,-7743.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,33690.0,ref,cooper,nebraska,covid,1208740058.77,24525981.5143,1218221267.88,1225840602.2,1172677097.11,1178910423.26,1225296001.52,4.0,601523769242000.0,0.25,1.66935855854e-12,0.249579831933,0.250037108505,88,0.015601054879399999
