smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight,ProbabilityWeight-htse_capacity,ProbabilityWeight-ft_capacity,prefix,PointProbability
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,15527836.8971,14278114.4054,18535740.8471,33502262.1886,-9706592.5898,-8170534.84043,31241908.4587,10.0,203864550975000.0,0.125002976198,0.00779794379918,0.249546279492,0.249981948155,98,3.46688419418e-13
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,10559018.9529,23865315.0909,19416912.364,37860076.9971,-23027547.2405,-21563602.0076,37769695.4039,10.0,569553264388000.0,0.249992724848,0.00782588587727,0.250453720508,0.124990974078,109,3.46688419418e-13
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-22807892.8778,21542762.5024,-25687785.1511,15238626.6573,-57881227.1142,-52189492.7239,11369400.7339,10.0,464090616236000.0,0.250007275152,0.0155959701145,0.249546279492,0.249981948155,87,3.46688419418e-13
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-24528315.6326,40390927.8165,-18982170.9955,18385105.4327,-72984179.5484,-72711471.644,17844041.1767,10.0,1631427049880000.0,0.12498974865,0.00391273589804,0.250453720508,0.124990974078,104,3.46688419418e-13
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-42807650.7479,26619460.5191,-39697100.7938,-3342403.15246,-84842327.3739,-81358832.0984,-10060787.9844,10.0,708595678325000.0,0.12498974865,0.0077971186374,0.249546279492,0.249981948155,77,3.46688419418e-13
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-44513635.2371,31855505.0679,-36346566.9155,-10045884.4283,-103675540.452,-100789786.71,-10432295.3183,10.0,1014773203130000.0,0.250007275152,0.00782634136657,0.250453720508,0.124990974078,114,3.46688419418e-13
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-50524229.6016,31046981.7747,-54980103.0883,4767162.10814,-108301171.76,-91509280.8991,-8403447.3355,10.0,963915077319000.0,0.125002976198,0.00195657498961,0.125226860254,0.124990974078,125,3.46688419418e-13
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-78659766.0995,19995805.4768,-76799306.5019,-42404045.3851,-106855140.925,-106537695.494,-50267796.4203,10.0,399832236667000.0,0.250007275152,0.0155959701145,0.249546279492,0.249981948155,92,3.46688419418e-13
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-106251786.236,34520585.224,-111248954.115,-46718214.0897,-153791509.215,-148534919.233,-55524590.5604,10.0,1191670804210000.0,0.250007275152,0.00782634136657,0.250453720508,0.124990974078,119,3.46688419418e-13
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-122419766.991,24107282.8038,-130795426.091,-87191645.2536,-147551155.163,-146652479.233,-90025541.7432,10.0,581161084184000.0,0.125002976198,0.00779794379918,0.249546279492,0.249981948155,97,3.46688419418e-13
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-137943774.355,24342629.0782,-133560726.937,-111005487.494,-195260323.482,-175871483.726,-113678459.965,10.0,592563590437000.0,0.249992724848,0.00782588587727,0.125226860254,0.249981948155,81,3.46688419418e-13
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-161358832.251,14370376.2286,-160409697.411,-137220035.219,-186699351.369,-180652079.115,-140624597.165,10.0,206507712951000.0,0.125002976198,0.00391314997922,0.250453720508,0.124990974078,124,3.46688419418e-13
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-164310410.803,35879582.9736,-162473198.568,-105590845.912,-233590710.858,-213117813.516,-119875185.73,10.0,1287344474360000.0,0.249992724848,0.00779753121829,0.249546279492,0.124990974078,108,3.46688419418e-13
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-167693638.163,30979512.7133,-159785655.859,-118767893.291,-216302514.457,-210233468.823,-128022289.904,10.0,959730207952000.0,0.12498974865,0.0038985593187,0.249546279492,0.124990974078,103,3.46688419418e-13
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-202542437.597,14770256.9269,-196488260.255,-183590574.136,-225502878.01,-225081123.177,-187328506.525,10.0,218160489687000.0,0.250007275152,0.00782634136657,0.125226860254,0.249981948155,86,3.46688419418e-13
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-215482574.731,34822842.4631,-218246601.864,-139629524.99,-257733451.202,-255779633.59,-161822392.969,10.0,1212630357210000.0,0.250007275152,0.00779798505727,0.249546279492,0.124990974078,113,3.46688419418e-13
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-215633661.316,38851992.0236,-222533239.639,-159790842.105,-294021191.786,-270643404.001,-165315569.445,10.0,1509477284200000.0,0.12498974865,0.00391273589804,0.125226860254,0.249981948155,76,3.46688419418e-13
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-242688057.734,22640930.4084,-238875457.881,-212562199.229,-278824834.749,-278782120.8,-215748548.101,10.0,512611729757000.0,0.250007275152,0.00782634136657,0.125226860254,0.249981948155,91,3.46688419418e-13
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-263179335.522,25642673.5565,-266808999.95,-231411707.977,-301611404.229,-295836069.817,-233131619.669,10.0,657546707127000.0,0.250007275152,0.00779798505727,0.249546279492,0.124990974078,118,3.46688419418e-13
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-314727843.908,39255580.493,-303213894.194,-262031469.01,-367081984.97,-365743313.265,-266635778.621,10.0,1541000599840000.0,0.125002976198,0.00391314997922,0.125226860254,0.249981948155,96,3.46688419418e-13
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-324824604.191,31609901.1462,-324873652.354,-263677810.268,-363372024.13,-358940927.127,-280887573.642,10.0,999185850473000.0,0.125002976198,0.00389897189959,0.249546279492,0.124990974078,123,3.46688419418e-13
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-342293655.384,36092260.4422,-346247559.497,-278088090.34,-386559407.263,-384372877.661,-286188182.644,10.0,1302651263830000.0,0.249992724848,0.00779753121829,0.249546279492,0.124990974078,107,3.46688419418e-13
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-375966907.795,36432442.2404,-367946594.682,-317591564.864,-445920117.76,-430763309.498,-330900688.215,10.0,1327322847600000.0,0.12498974865,0.0038985593187,0.249546279492,0.124990974078,102,3.46688419418e-13
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-390523020.648,20682607.3895,-384743577.029,-360414595.345,-433174667.634,-423505109.172,-368036337.672,10.0,427770248429000.0,0.250007275152,0.00779798505727,0.249546279492,0.124990974078,112,3.46688419418e-13
