npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight,ProbabilityWeight-ft_capacity,PointProbability,ProbabilityWeight-htse_capacity
522.0,-460.0,-10387.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,237877.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,902462959.927,196977.937837,902462959.927,902602244.363,902323675.491,902337603.935,902588315.919,2.0,38800307994.4,272,0.111114925842,0.00137536407278,0.111137306677,7.306929298600001e-13,0.111374407583
522.0,-413.0,-9208.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,900722404.499,492403.221407,900722404.499,901070586.156,900374222.842,900409041.008,901035767.991,2.0,242460932452.0,323,0.111114925842,0.00137536407278,0.111137306677,7.306929298600001e-13,0.111374407583
522.0,-507.0,-10387.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,169912.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,897810923.773,336170.393024,897810923.773,898048632.137,897573215.408,897596986.245,898024861.301,2.0,113010533146.0,251,0.111114925842,0.000687682036389,0.111137306677,7.306929298600001e-13,0.0556872037915
522.0,-460.0,-10387.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,271860.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,887247676.586,1089214.61451,887247676.586,888017867.626,886477485.546,886554504.65,887940848.522,2.0,1186388476470.0,282,0.111114925842,0.00137536407278,0.111137306677,7.306929298600001e-13,0.111374407583
522.0,-320.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,885790004.354,282102.009469,885790004.354,885989480.598,885590528.11,885610475.734,885969532.973,2.0,79581543746.5,405,0.0555402966334,0.00067986748019,0.111090154659,7.306929298600001e-13,0.11018957346
522.0,-413.0,-9208.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,101947.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,885125996.864,45216.7032781,885125996.864,885157969.901,885094023.826,885097221.13,885154772.598,2.0,2044550255.34,333,0.111114925842,0.00137536407278,0.111137306677,7.306929298600001e-13,0.111374407583
522.0,-507.0,-10387.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,203895.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,883167136.99,27478.6787933,883167136.99,883186567.351,883147706.63,883149649.666,883184624.315,2.0,755077788.225,261,0.111114925842,0.000687682036389,0.111137306677,7.306929298600001e-13,0.0556872037915
522.0,-460.0,-9208.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,33982.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,880847015.077,507640.907366,880847015.077,881205971.405,880488058.749,880523954.381,881170075.772,2.0,257699290831.0,312,0.111098576997,0.0013751617092,0.111137306677,7.306929298600001e-13,0.111374407583
522.0,-460.0,-10387.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,305842.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,872346167.296,207666.553588,872346167.296,872493009.724,872199324.868,872214009.111,872478325.482,2.0,43125397479.0,292,0.0555566454786,0.00068767191821,0.111137306677,7.306929298600001e-13,0.111374407583
522.0,-320.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,33982.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,871557825.294,51732.192314,871557825.294,871594405.478,871521245.11,871524903.128,871590747.459,2.0,2676219721.62,415,0.111098576997,0.0013599550988,0.111090154659,7.306929298600001e-13,0.11018957346
522.0,-413.0,-9208.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,870018417.113,355963.293404,870018417.113,870270121.171,869766713.054,869791883.46,870244950.765,2.0,126709866251.0,343,0.111114925842,0.00137536407278,0.111137306677,7.306929298600001e-13,0.111374407583
