smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,co2_location_label,fuel_region_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,prefix,ProbabilityWeight-ft_capacity,PointProbability,ProbabilityWeight,ProbabilityWeight-htse_capacity
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1869413620.86,810501.198477,-1869539558.23,-1868331437.4,-1870243929.59,-1870167987.99,-1868482941.41,4.0,656912192732.0,0.250003306843,61,0.250018051845,1.7334191682000001e-13,0.00782734744372,0.125226860254
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1872946948.78,1861202.68849,-1873083009.03,-1871036165.49,-1874585611.58,-1874572853.62,-1871130559.6,4.0,3464075447650.0,0.124994709051,79,0.249981948155,1.7334191682000001e-13,0.00782578236135,0.250453720508
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1893620491.69,3460757.47218,-1893156491.68,-1890075052.48,-1898093930.91,-1897534502.89,-1890356080.49,4.0,11976842281300.0,0.249996693157,84,0.249981948155,1.7334191682000001e-13,0.015652020206,0.250453720508
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1901202074.75,2340937.73102,-1902208025.93,-1897719967.46,-1902672279.67,-1902640813.46,-1898355004.37,4.0,5479989460510.0,0.250003306843,66,0.250018051845,1.7334191682000001e-13,0.00782734744372,0.125226860254
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1918709867.54,3219360.19973,-1918781485.97,-1915161577.64,-1922114920.56,-1921893474.29,-1915425994.98,4.0,10364280095600.0,0.250003306843,89,0.249981948155,1.7334191682000001e-13,0.0156524342817,0.250453720508
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1936898725.94,630764.366971,-1936921795.72,-1936304033.68,-1937447278.65,-1937446250.97,-1936318903.23,4.0,397863686641.0,0.125001984106,71,0.250018051845,1.7334191682000001e-13,0.00391368407525,0.125226860254
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1951861658.42,4871481.75879,-1952925655.15,-1945054899.02,-1956540424.34,-1956087392.85,-1946146328.55,4.0,23731334526200.0,0.250003306843,94,0.249981948155,1.7334191682000001e-13,0.0156524342817,0.250453720508
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1985515603.7,1656283.06857,-1985364491.33,-1983694444.61,-1987638987.54,-1987361344.05,-1983881420.68,4.0,2743273603240.0,0.125001984106,99,0.249981948155,1.7334191682000001e-13,0.00782623784463,0.250453720508
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-2018391431.04,3047320.43999,-2019659320.1,-2013859465.03,-2020387618.92,-2020315103.94,-2014692713.45,4.0,9286161863980.0,0.249996693157,83,0.249981948155,1.7334191682000001e-13,0.0155953099878,0.249546279492
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-2019682216.25,1868937.58291,-2020357583.05,-2016962083.63,-2021051615.26,-2021004841.77,-2017414077.21,4.0,3492927688800.0,0.124994709051,78,0.249981948155,1.7334191682000001e-13,0.00779742807743,0.249546279492
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-2047970290.54,3487258.38186,-2047507706.06,-2044887963.37,-2051977786.67,-2051650872.46,-2044937326.89,4.0,12160971021900.0,0.250003306843,88,0.249981948155,1.7334191682000001e-13,0.0155957225633,0.249546279492
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-2084425402.55,2102312.79705,-2084092797.17,-2082658149.19,-2086857866.69,-2086655180.97,-2082661271.68,4.0,4419719096630.0,0.250003306843,93,0.249981948155,1.7334191682000001e-13,0.0155957225633,0.249546279492
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-2122862435.07,3969255.00034,-2123083845.78,-2118142596.82,-2127139451.88,-2126803540.96,-2118611354.18,4.0,15754985257800.0,0.125001984106,98,0.249981948155,1.7334191682000001e-13,0.00779788191041,0.249546279492
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-2144835551.38,2350237.34873,-2144764343.04,-2142030193.2,-2147783326.23,-2147334294.87,-2142436499.56,4.0,5523615595380.0,0.249996693157,82,0.249981948155,1.7334191682000001e-13,0.0155953099878,0.249546279492
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-2157166398.07,3362371.18154,-2156861727.4,-2154162541.89,-2160779595.59,-2160553981.67,-2154205353.41,4.0,11305539962500.0,0.124994709051,105,0.124990974078,1.7334191682000001e-13,0.00195644559034,0.125226860254
