smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-meoh_capacity,ProbabilityWeight-h2_storage_capacity,prefix,ProbabilityWeight-htse_capacity,ProbabilityWeight,PointProbability
240.0,-125.0,-2354.0,-1e+200,-1e+200,-1e+200,-1e+200,100252.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-394293163.784,369589.421107,-394293163.784,-394031824.598,-394554502.97,-394528369.051,-394057958.517,2.0,136596340194.0,0.250079948833,0.125012469823,114,0.25,0.0078157780142,2.57276850496e-11
240.0,-156.0,-2354.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-402740525.754,503797.891787,-402740525.754,-402384286.849,-403096764.66,-403061140.769,-402419910.739,2.0,253812315769.0,0.250079948833,0.124962590531,9,0.25,0.00781265956149,2.57276850496e-11
240.0,-156.0,-2354.0,-1e+200,-1e+200,-1e+200,-1e+200,50126.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-404095274.249,433958.125757,-404095274.249,-403788419.515,-404402128.982,-404371443.509,-403819104.989,2.0,188319654911.0,0.250079948833,0.250024939646,59,0.25,0.0156315560284,2.57276850496e-11
240.0,-63.0,-1572.0,-1e+200,-1e+200,-1e+200,-1e+200,75189.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-405061553.442,138754.39373,-405061553.442,-404963439.269,-405159667.615,-405149856.197,-404973250.687,2.0,19252781779.3,0.125039974416,0.250024939646,100,0.125,0.0039078890071,2.57276850496e-11
240.0,-94.0,-1572.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-412816887.871,169724.047948,-412816887.871,-412696874.846,-412936900.896,-412924899.594,-412708876.148,2.0,28806252451.7,0.125039974416,0.124962590531,20,0.25,0.00390632978075,2.57276850496e-11
240.0,-94.0,-1572.0,-1e+200,-1e+200,-1e+200,-1e+200,25063.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-412903416.17,170578.492114,-412903416.17,-412782798.962,-413024033.379,-413011971.658,-412794860.682,2.0,29097021971.9,0.125039974416,0.249975060354,45,0.25,0.00781421878785,2.57276850496e-11
240.0,-156.0,-2354.0,-1e+200,-1e+200,-1e+200,-1e+200,75189.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-414909651.511,585287.403572,-414909651.511,-414495790.819,-415323512.203,-415282126.134,-414537176.888,2.0,342561344780.0,0.250079948833,0.250024939646,84,0.25,0.0156315560284,2.57276850496e-11
240.0,-63.0,-1572.0,-1e+200,-1e+200,-1e+200,-1e+200,100252.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-415407035.943,175910.073911,-415407035.943,-415282648.737,-415531423.15,-415518984.429,-415295087.458,2.0,30944354103.3,0.125039974416,0.125012469823,125,0.125,0.00195394450355,2.57276850496e-11
240.0,-94.0,-1572.0,-1e+200,-1e+200,-1e+200,-1e+200,50126.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-422463295.16,331469.266,-422463295.16,-422228910.995,-422697679.326,-422674240.91,-422252349.411,2.0,109871874303.0,0.125039974416,0.250024939646,70,0.25,0.0078157780142,2.57276850496e-11
240.0,-156.0,-2354.0,-1e+200,-1e+200,-1e+200,-1e+200,100252.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-425151973.193,22189.0525942,-425151973.193,-425136283.164,-425167663.223,-425166094.22,-425137852.167,2.0,492354055.026,0.250079948833,0.125012469823,109,0.25,0.0078157780142,2.57276850496e-11
240.0,-187.0,-2354.0,-1e+200,-1e+200,-1e+200,-1e+200,25063.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-426826679.159,448534.455408,-426826679.159,-426509517.404,-427143840.914,-427112124.739,-426541233.58,2.0,201183157688.0,0.250079948833,0.249975060354,29,0.125,0.00781421878785,2.57276850496e-11
240.0,-94.0,-1572.0,-1e+200,-1e+200,-1e+200,-1e+200,75189.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-433851888.091,24003.5935265,-433851888.091,-433834914.987,-433868861.195,-433867163.884,-433836612.298,2.0,576172502.186,0.125039974416,0.250024939646,95,0.25,0.0078157780142,2.57276850496e-11
240.0,-187.0,-2354.0,-1e+200,-1e+200,-1e+200,-1e+200,50126.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-436609616.385,992274.971358,-436609616.385,-435907972.024,-437311260.746,-437241096.31,-435978136.46,2.0,984609618783.0,0.250079948833,0.250024939646,54,0.125,0.0078157780142,2.57276850496e-11
240.0,-187.0,-2354.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-440108170.309,68467.4905778,-440108170.309,-440059756.482,-440156584.136,-440151742.753,-440064597.865,2.0,4687797266.02,0.250079948833,0.124962590531,4,0.125,0.00390632978075,2.57276850496e-11
