npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,PointProbability,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-meoh_capacity,prefix,ProbabilityWeight-htse_capacity
1193.0,-200.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,131111.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1797462117.26,531633.890679,1797462117.26,1797838039.19,1797086195.33,1797123787.52,1797800447.0,2.0,282634593718.0,0.00390577826328,1.21200144652e-13,0.249995232956,0.124987287705,50,0.125
1193.0,-1000.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1795906427.78,4755897.37472,1795906427.78,1799269355.06,1792543500.49,1792879793.22,1798933062.34,2.0,22618559838800.0,0.00781344350374,1.21200144652e-13,0.250004767044,0.250025424591,53,0.125
1193.0,-600.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1794401711.71,13538967.7398,1794401711.71,1803975207.61,1784828215.81,1785785565.4,1803017858.02,2.0,183303647461000.0,0.00781205308962,1.21200144652e-13,0.124992849434,0.25,14,0.25
1193.0,-1000.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1788860859.85,6227935.67258,1788860859.85,1793264675.4,1784457044.3,1784897425.86,1792824293.84,2.0,38787182741800.0,0.00390642378131,1.21200144652e-13,0.124992849434,0.250025424591,3,0.125
1193.0,-600.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1750252231.76,715631.504718,1750252231.76,1750758259.65,1749746203.87,1749796806.66,1750707656.86,2.0,512128450545.0,0.0156252979403,1.21200144652e-13,0.250004767044,0.25,64,0.25
1193.0,-200.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1746473491.09,9335844.36615,1746473491.09,1753074929.95,1739872052.23,1740532196.12,1752414786.06,2.0,87157990029000.0,0.00390592721826,1.21200144652e-13,0.250004767044,0.124987287705,75,0.125
1193.0,-1000.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,393333.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1732390011.93,3456428.15126,1732390011.93,1734834075.72,1729945948.15,1730190354.53,1734589669.34,2.0,11946895564800.0,0.00781344350374,1.21200144652e-13,0.250004767044,0.250025424591,78,0.125
1193.0,-600.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,393333.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1705980332.38,4414660.45651,1705980332.38,1709101968.73,1702858696.03,1703170859.67,1708789805.09,2.0,19489226946300.0,0.0156252979403,1.21200144652e-13,0.250004767044,0.25,89,0.25
1193.0,-200.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,393333.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1687079673.95,18644436.5352,1687079673.95,1700263281.45,1673896066.44,1675214427.19,1698944920.7,2.0,347615013713000.0,0.00390592721826,1.21200144652e-13,0.250004767044,0.124987287705,100,0.125
1193.0,-1000.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,524444.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1676490111.18,4232398.36516,1676490111.18,1679482868.76,1673497353.59,1673796629.35,1679183593.0,2.0,17913195921400.0,0.00390672175187,1.21200144652e-13,0.125002383522,0.250025424591,103,0.125
1193.0,-400.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1647774442.45,9020124.74858,1647774442.45,1654152633.83,1641396251.08,1642034070.21,1653514814.69,2.0,81362650480000.0,0.0039056293083,1.21200144652e-13,0.124992849434,0.124987287705,20,0.25
1193.0,-600.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,524444.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1637887537.77,356833.653636,1637887537.77,1638139857.27,1637635218.28,1637660450.23,1638114625.32,2.0,127330256367.0,0.00781264897013,1.21200144652e-13,0.125002383522,0.25,114,0.25
1193.0,-400.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,131111.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1637233120.07,10820227.4252,1637233120.07,1644884176.26,1629582063.88,1630347169.5,1644119070.64,2.0,117077321533000.0,0.00781155652656,1.21200144652e-13,0.249995232956,0.124987287705,45,0.25
1193.0,-200.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,524444.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1635749326.24,3084134.94493,1635749326.24,1637930138.97,1633568513.51,1633786594.78,1637712057.7,2.0,9511888358510.0,0.00195296360913,1.21200144652e-13,0.125002383522,0.124987287705,125,0.125
1193.0,-800.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,131111.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1632969430.83,10649332.9846,1632969430.83,1640499646.39,1625439215.26,1626192236.81,1639746624.84,2.0,113408293017000.0,0.0156247020597,1.21200144652e-13,0.249995232956,0.25,34,0.25
1193.0,-800.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1601862134.01,1871010.29245,1601862134.01,1603185138.08,1600539129.95,1600671430.35,1603052837.67,2.0,3500679514470.0,0.00781205308962,1.21200144652e-13,0.124992849434,0.25,9,0.25
1193.0,-400.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1586133681.97,971985.279916,1586133681.97,1586820979.35,1585446384.58,1585515114.32,1586752249.61,2.0,944755384374.0,0.00781185443652,1.21200144652e-13,0.250004767044,0.124987287705,70,0.25
1193.0,-800.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1582250092.83,2423077.32455,1582250092.83,1583963467.23,1580536718.42,1580708055.86,1583792129.79,2.0,5871303720760.0,0.0156252979403,1.21200144652e-13,0.250004767044,0.25,59,0.25
1193.0,-800.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,393333.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1524302662.91,3210712.30864,1524302662.91,1526572979.35,1522032346.46,1522259378.11,1526345947.71,2.0,10308673528900.0,0.0156252979403,1.21200144652e-13,0.250004767044,0.25,84,0.25
1193.0,-400.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,393333.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1512997215.7,263909.989146,1512997215.7,1513183828.24,1512810603.15,1512829264.41,1513165166.98,2.0,69648482371.0,0.00781185443652,1.21200144652e-13,0.250004767044,0.124987287705,95,0.25
1193.0,-800.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,524444.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1463340855.57,2482795.14129,1463340855.57,1465096456.85,1461585254.29,1461760814.42,1464920896.73,2.0,6164271713590.0,0.00781264897013,1.21200144652e-13,0.125002383522,0.25,109,0.25
1193.0,-400.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,524444.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1454600462.68,9843871.59576,1454600462.68,1461561131.04,1447639794.32,1448335861.16,1460865064.21,2.0,96901807993800.0,0.00390592721826,1.21200144652e-13,0.125002383522,0.124987287705,120,0.25
1193.0,-1000.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,131111.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1444452867.43,9667227.05166,1444452867.43,1451288629.23,1437617105.63,1438300681.81,1450605053.05,2.0,93455278868400.0,0.00781235102987,1.21200144652e-13,0.249995232956,0.25,29,0.125
1193.0,-600.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,131111.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1444219412.56,1893706.32249,1444219412.56,1445558465.14,1442880359.97,1443014265.23,1445424559.88,2.0,3586123635840.0,0.00781155652656,1.21200144652e-13,0.249995232956,0.124987287705,40,0.25
1193.0,-600.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1431710099.59,8809908.62241,1431710099.59,1437939645.72,1425480553.47,1426103508.08,1437316691.11,2.0,77614489935200.0,0.0039056293083,1.21200144652e-13,0.124992849434,0.124987287705,15,0.25
1193.0,-1000.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1398107713.64,2114268.1425,1398107713.64,1399602726.98,1396612700.29,1396762201.63,1399453225.64,2.0,4470129778390.0,0.00390602654481,1.21200144652e-13,0.124992849434,0.25,4,0.125
1193.0,-1000.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1388359915.75,685821.162815,1388359915.75,1388844864.54,1387874966.95,1387923461.83,1388796369.66,2.0,470350667364.0,0.00781264897013,1.21200144652e-13,0.250004767044,0.25,54,0.125
1193.0,-600.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1383570293.69,256650.656413,1383570293.69,1383751773.11,1383388814.27,1383406962.21,1383733625.17,2.0,65869559437.4,0.00781185443652,1.21200144652e-13,0.250004767044,0.124987287705,65,0.25
1193.0,-1000.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,393333.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1344687077.5,2946805.91842,1344687077.5,1346770783.95,1342603371.06,1342811741.7,1346562413.31,2.0,8683665120820.0,0.00781264897013,1.21200144652e-13,0.250004767044,0.25,79,0.125
1193.0,-600.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,393333.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1331563032.93,10555.8827642,1331563032.93,1331570497.07,1331555568.8,1331556315.21,1331569750.66,2.0,111426660.932,0.00781185443652,1.21200144652e-13,0.250004767044,0.124987287705,90,0.25
1193.0,-1000.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,524444.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1283574000.67,2802299.78553,1283574000.67,1285555525.85,1281592475.48,1281790628.0,1285357373.33,2.0,7852884087990.0,0.00390632448506,1.21200144652e-13,0.125002383522,0.25,104,0.125
1193.0,-600.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,524444.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1272750710.01,7670617.15419,1272750710.01,1278174655.41,1267326764.6,1267869159.14,1277632260.87,2.0,58838367526100.0,0.00390592721826,1.21200144652e-13,0.125002383522,0.124987287705,115,0.25
1193.0,-800.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,131111.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1253076831.86,16377003.3296,1253076831.86,1264657121.97,1241496541.75,1242654570.76,1263499092.96,2.0,268206238057000.0,0.00781155652656,1.21200144652e-13,0.249995232956,0.124987287705,35,0.25
1193.0,-800.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1232444448.87,7451320.13112,1232444448.87,1237713327.87,1227175569.88,1227702457.78,1237186439.97,2.0,55522171696400.0,0.0039056293083,1.21200144652e-13,0.124992849434,0.124987287705,10,0.25
1193.0,-800.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1184294982.39,3278649.05389,1184294982.39,1186613337.37,1181976627.41,1182208462.91,1186381501.87,2.0,10749539618600.0,0.00781185443652,1.21200144652e-13,0.250004767044,0.124987287705,60,0.25
1193.0,-800.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,393333.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1115544263.13,3176850.11952,1115544263.13,1117790635.39,1113297890.87,1113522528.1,1117565998.17,2.0,10092376681900.0,0.00781185443652,1.21200144652e-13,0.250004767044,0.124987287705,85,0.25
1193.0,-800.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,524444.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1072872168.75,12130359.5383,1072872168.75,1081449628.24,1064294709.26,1065152455.21,1080591882.29,2.0,147145622529000.0,0.00390592721826,1.21200144652e-13,0.125002383522,0.124987287705,110,0.25
1193.0,-1000.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,131111.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1045755021.26,5939469.32251,1045755021.26,1049954860.29,1041555182.22,1041975166.13,1049534876.39,2.0,35277295833000.0,0.00390577826328,1.21200144652e-13,0.249995232956,0.124987287705,30,0.125
1193.0,-1000.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1018000643.95,3606147.69728,1018000643.95,1020550575.44,1015450712.46,1015705705.61,1020295582.29,2.0,13004301214600.0,0.00195281465415,1.21200144652e-13,0.124992849434,0.124987287705,5,0.125
1193.0,-1000.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,braidwood,illinois,covid,993292907.204,18975845.9114,993292907.204,1006710856.53,979874957.881,981216752.814,1005369061.59,2.0,360082728055000.0,0.00390592721826,1.21200144652e-13,0.250004767044,0.124987287705,55,0.125
1193.0,-1000.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,393333.0,1e+200,-1e+200,ref,braidwood,illinois,covid,929259992.799,5774325.49397,929259992.799,933343057.513,925176928.086,925585234.557,932934751.041,2.0,33342834910400.0,0.00390592721826,1.21200144652e-13,0.250004767044,0.124987287705,80,0.125
1193.0,-1000.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,524444.0,1e+200,-1e+200,ref,braidwood,illinois,covid,876936798.88,180198.596465,876936798.88,877064218.53,876809379.231,876822121.195,877051476.565,2.0,32471534168.0,0.00195296360913,1.21200144652e-13,0.125002383522,0.124987287705,105,0.125
1193.0,-800.0,-24583.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,-235159973478000.0,3359131.66787,-235159973478000.0,-235159971102000.0,-235159975853000.0,-235159975615000.0,-235159971340000.0,2.0,11283765562100.0,0.0039056293083,1.21200144652e-13,0.124992849434,0.124987287705,6,0.25
1193.0,-800.0,-24583.0,-1e+200,-1e+200,-1e+200,-1e+200,131111.0,1e+200,-1e+200,ref,braidwood,illinois,covid,-235160033079000.0,4359739.53672,-235160033079000.0,-235160029996000.0,-235160036161000.0,-235160035853000.0,-235160030304000.0,2.0,19007328828100.0,0.00781155652656,1.21200144652e-13,0.249995232956,0.124987287705,31,0.25
1193.0,-800.0,-24583.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,braidwood,illinois,covid,-235160087983000.0,1767996.25444,-235160087983000.0,-235160086733000.0,-235160089233000.0,-235160089108000.0,-235160086858000.0,2.0,3125810755700.0,0.00781185443652,1.21200144652e-13,0.250004767044,0.124987287705,56,0.25
