npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,ProbabilityWeight-htse_capacity,PointProbability,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-meoh_capacity
1280.0,-600.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,1835556.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1222252070.47,5605932.982,1222252070.47,1226216063.69,1218288077.24,1218684476.56,1225819664.37,2.0,31426484598600.0,0.0078116948421,0.25,8.656992832709999e-15,40,0.249999659503,0.124987287705
1280.0,-1000.0,-24583.0,-1e+200,-1e+200,-1e+200,-1e+200,3671111.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1165256813.05,12340160.6021,1165256813.05,1173982624.3,1156531001.81,1157403582.94,1173110043.17,2.0,152279563685000.0,0.00390585806049,0.125,8.656992832709999e-15,51,0.250000340497,0.124987287705
1280.0,-1000.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,1835556.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1121345460.85,72475831.0605,1121345460.85,1172593612.46,1070097309.23,1075222124.4,1167468797.3,2.0,5252746087910000.0,0.00781248935947,0.125,8.656992832709999e-15,29,0.249999659503,0.25
1280.0,-800.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,3671111.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1033647328.06,31896653.2969,1033647328.06,1056201667.91,1011092988.22,1013348422.2,1053946233.92,2.0,1017396491540000.0,0.0156250212811,0.25,8.656992832709999e-15,57,0.250000340497,0.25
1280.0,-600.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,3671111.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1014612349.09,47223873.2477,1014612349.09,1048004670.1,981220028.086,984559260.187,1044665438.0,2.0,2230094204520000.0,0.0156266103201,0.25,8.656992832709999e-15,63,0.250000340497,0.250025424591
1280.0,-1000.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,3671111.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,942309107.156,21021489.901,942309107.156,957173545.216,927444669.097,928931112.903,955687101.41,2.0,441903037659000.0,0.00781251064053,0.125,8.656992832709999e-15,52,0.250000340497,0.25
1280.0,-200.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,3671111.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,917163672.111,40440376.673,917163672.111,945759336.69,888568007.532,891427573.989,942899770.232,2.0,1635424065450000.0,0.00390585806049,0.125,8.656992832709999e-15,75,0.250000340497,0.124987287705
1280.0,-800.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,3671111.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,871792980.114,81542737.4221,871792980.114,929452402.702,814133557.526,819899499.785,923686460.443,2.0,6649218026280000.0,0.0156266103201,0.25,8.656992832709999e-15,58,0.250000340497,0.250025424591
1280.0,-400.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,3671111.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,861126971.804,80345180.2516,861126971.804,917939593.595,804314350.012,809995612.191,912258331.416,2.0,6455347989670000.0,0.0156250212811,0.25,8.656992832709999e-15,69,0.250000340497,0.25
1280.0,-800.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,1835556.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,845763548.691,24785413.3587,845763548.691,863289482.551,828237614.83,829990208.216,861536889.165,2.0,614316715361000.0,0.0078116948421,0.25,8.656992832709999e-15,35,0.249999659503,0.124987287705
