npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-ft_capacity,ProbabilityWeight,ProbabilityWeight-htse_capacity
522.0,-226.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,203895.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,588337765.92,484116.939353,588134920.733,589058805.235,588022416.977,588035222.253,588924292.848,4.0,234369210969.0,1.0406674226900002e-12,94,0.250009196248,0.25,0.0156672429649,0.250666666667
522.0,-507.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,587956646.519,512951.758555,587757111.178,588716386.931,587595976.788,587614905.883,588577736.632,4.0,263119506604.0,1.0406674226900002e-12,51,0.124986205628,0.25,0.00391623444301,0.125333333333
522.0,-507.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,586511133.69,1730660.52829,586967914.963,587988470.818,584120234.013,584460610.6,587922162.996,4.0,2995185864170.0,1.0406674226900002e-12,61,0.250009196248,0.25,0.00783362148244,0.125333333333
522.0,-320.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,572402866.972,552133.051374,572503907.961,572908958.648,571694693.32,571776889.118,572887387.443,4.0,304850906419.0,1.0406674226900002e-12,83,0.249990803752,0.25,0.0155827601005,0.249333333333
522.0,-320.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,569302603.057,1084539.39831,569211425.18,570645511.907,568142049.96,568238661.026,570494194.115,4.0,1176225706490.0,1.0406674226900002e-12,78,0.124986205628,0.25,0.00779080681749,0.249333333333
522.0,-226.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,271860.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,561533372.207,1056857.28041,561383134.777,562894033.171,560473186.103,560548719.825,562728356.992,4.0,1116947311150.0,1.0406674226900002e-12,99,0.125004598124,0.25,0.00783362148244,0.250666666667
522.0,-132.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,560384879.474,1051500.8603,560205149.62,561620465.574,559508753.083,559509393.161,561511987.583,4.0,1105654059210.0,1.0406674226900002e-12,105,0.124986205628,0.125026522385,0.00195853269302,0.125333333333
522.0,-507.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,203895.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,558844794.479,241140.187685,558776015.408,559190259.887,558636887.214,558652546.377,559133333.281,4.0,58148590116.8,1.0406674226900002e-12,66,0.250009196248,0.25,0.00783362148244,0.125333333333
522.0,-320.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,544064438.278,1097962.2648,544472281.718,544864030.569,542449159.107,542732666.723,544825229.017,4.0,1205521134920.0,1.0406674226900002e-12,88,0.250009196248,0.25,0.0155839065661,0.249333333333
522.0,-132.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,533083767.534,1157821.27653,532880145.864,534571489.572,532003288.837,532055588.442,534397016.965,4.0,1340550108390.0,1.0406674226900002e-12,110,0.249990803752,0.125026522385,0.00391735359627,0.125333333333
522.0,-507.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,271860.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,530651572.266,726160.888749,530731208.903,531280124.572,529863746.684,529914955.625,531276697.614,4.0,527309636349.0,1.0406674226900002e-12,71,0.125004598124,0.25,0.00391681074122,0.125333333333
522.0,-320.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,203895.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,516811823.58,959444.888092,516722501.287,518022709.953,515779581.792,515871967.467,517876730.903,4.0,920534493286.0,1.0406674226900002e-12,93,0.250009196248,0.25,0.0155839065661,0.249333333333
522.0,-132.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,507316370.052,208061.645416,507235619.734,507620840.121,507173400.617,507176294.452,507569496.096,4.0,43289648293.3,1.0406674226900002e-12,115,0.250009196248,0.125026522385,0.00391764180651,0.125333333333
522.0,-320.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,271860.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,489242767.898,1426074.79575,489440241.531,490619267.255,487471321.278,487661108.829,490547963.883,4.0,2033689323080.0,1.0406674226900002e-12,98,0.125004598124,0.25,0.00779195328306,0.249333333333
522.0,-413.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,488939745.082,637086.382731,489058351.237,489553095.88,488089181.975,488202764.876,489510676.671,4.0,405879059062.0,1.0406674226900002e-12,82,0.249990803752,0.25,0.0155827601005,0.249333333333
522.0,-132.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,203895.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,479265857.907,419157.622827,479318600.122,479653525.848,478772705.534,478816637.92,479641238.792,4.0,175693112774.0,1.0406674226900002e-12,120,0.250009196248,0.125026522385,0.00391764180651,0.125333333333
522.0,-413.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,470000088.802,1008743.23461,469834969.174,471194702.991,469135713.871,469144326.429,471087018.656,4.0,1017562913360.0,1.0406674226900002e-12,77,0.124986205628,0.25,0.00779080681749,0.249333333333
522.0,-413.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,460355052.249,1364117.84446,460580758.57,461730454.999,458528236.857,458782914.934,461611200.715,4.0,1860817493570.0,1.0406674226900002e-12,87,0.250009196248,0.25,0.0155839065661,0.249333333333
522.0,-226.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,457442067.527,1323336.09633,457357099.924,459121710.898,455932359.361,456106555.24,458896534.457,4.0,1751218423840.0,1.0406674226900002e-12,104,0.124986205628,0.125026522385,0.00391706538603,0.250666666667
522.0,-226.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,454272733.843,2522784.65045,453153574.444,458029101.653,452754684.832,452770335.732,457341955.113,4.0,6364442392550.0,1.0406674226900002e-12,109,0.249990803752,0.125026522385,0.00783470719255,0.250666666667
522.0,-132.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,271860.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,451059051.869,771016.781564,451262891.971,451717057.983,449993365.553,450145311.448,451687416.149,4.0,594466877454.0,1.0406674226900002e-12,125,0.125004598124,0.125026522385,0.00195882090326,0.125333333333
