smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,co2_location_label,fuel_region_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,PointProbability,ProbabilityWeight-meoh_capacity,ProbabilityWeight,prefix,ProbabilityWeight-h2_storage_capacity
720.0,-357.0,-8971.4,-1e+200,-1e+200,-1e+200,-1e+200,804562.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-209383173.249,2584589.16051,-209383173.249,-207555592.727,-211210753.771,-211027995.718,-207738350.779,2.0,6680101128610.0,0.25,1.28667840979e-13,0.25,0.00781257768298,113,0.125001242928
720.0,-667.0,-8971.4,-1e+200,-1e+200,-1e+200,-1e+200,201141.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-232264728.952,2837871.56635,-232264728.952,-230258050.723,-234271407.181,-234070739.358,-230458718.546,2.0,8053515027070.0,0.125,1.28667840979e-13,0.25,0.00781240289627,28,0.249996892681
720.0,-667.0,-8971.4,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-241732568.648,3870967.8257,-241732568.648,-238995381.049,-244469756.247,-244196037.487,-239269099.809,2.0,14984391907600.0,0.125,1.28667840979e-13,0.25,0.00390611405478,3,0.124995649753
720.0,-47.0,-1181.1,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-248027056.529,439315.635374,-248027056.529,-247716413.464,-248337699.593,-248306635.287,-247747477.77,2.0,192998227484.0,0.125,0.0,0.12500160456,0.00195308209776,25,0.124995649753
720.0,-202.0,-5076.3,-1e+200,-1e+200,-1e+200,-1e+200,402281.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-251116040.391,502387.716658,-251116040.391,-250760798.63,-251471282.152,-251435757.976,-250796322.806,2.0,252393417849.0,0.25,1.28667840979e-13,0.25,0.0156251942075,69,0.250003107319
720.0,-512.0,-8971.4,-1e+200,-1e+200,-1e+200,-1e+200,603422.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-251774006.118,395660.247032,-251774006.118,-251494232.074,-252053780.162,-252025802.758,-251522209.479,2.0,156547031082.0,0.25,1.28667840979e-13,0.25,0.0156251942075,83,0.250003107319
720.0,-357.0,-5076.3,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-278329109.214,1240332.81708,-278329109.214,-277452061.468,-279206156.96,-279118452.185,-277539766.243,2.0,1538425497130.0,0.25,1.28667840979e-13,0.25,0.00781222810956,14,0.124995649753
720.0,-357.0,-5076.3,-1e+200,-1e+200,-1e+200,-1e+200,201141.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-314180833.265,742269.924177,-314180833.265,-313655969.168,-314705697.362,-314653210.953,-313708455.578,2.0,550964640337.0,0.25,1.28667840979e-13,0.25,0.0156248057925,39,0.249996892681
720.0,-667.0,-8971.4,-1e+200,-1e+200,-1e+200,-1e+200,402281.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-316547466.878,2088230.3238,-316547466.878,-315070865.055,-318024068.7,-317876408.518,-315218525.237,2.0,4360705885230.0,0.125,1.28667840979e-13,0.25,0.00781259710373,53,0.250003107319
720.0,-47.0,-1181.1,-1e+200,-1e+200,-1e+200,-1e+200,201141.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-335247036.262,6560605.50777,-335247036.262,-330607987.618,-339886084.905,-339422180.041,-331071892.483,2.0,43041544628600.0,0.125,0.0,0.12500160456,0.00390625159,50,0.249996892681
720.0,-202.0,-5076.3,-1e+200,-1e+200,-1e+200,-1e+200,603422.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-336139567.371,52327.261336,-336139567.371,-336102566.409,-336176568.332,-336172868.236,-336106266.506,2.0,2738142278.93,0.25,1.28667840979e-13,0.25,0.0156251942075,94,0.250003107319
720.0,-512.0,-8971.4,-1e+200,-1e+200,-1e+200,-1e+200,804562.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-336594794.517,638772.937336,-336594794.517,-336143113.842,-337046475.193,-337001307.125,-336188281.909,2.0,408030865473.0,0.25,1.28667840979e-13,0.25,0.00781257768298,108,0.125001242928
720.0,-667.0,-8971.4,-1e+200,-1e+200,-1e+200,-1e+200,603422.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-396190849.298,2436444.78918,-396190849.298,-394468022.665,-397913675.93,-397741393.267,-394640305.329,2.0,5936263210720.0,0.125,1.28667840979e-13,0.25,0.00781259710373,78,0.250003107319
720.0,-357.0,-5076.3,-1e+200,-1e+200,-1e+200,-1e+200,402281.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-398379985.923,3150224.75305,-398379985.923,-396152440.638,-400607531.209,-400384776.68,-396375195.167,2.0,9923915994750.0,0.25,1.28667840979e-13,0.25,0.0156251942075,64,0.250003107319
720.0,-47.0,-1181.1,-1e+200,-1e+200,-1e+200,-1e+200,402281.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-419465576.297,5797070.45672,-419465576.297,-415366428.466,-423564724.128,-423154809.345,-415776343.25,2.0,33606025880100.0,0.125,0.0,0.12500160456,0.00390634869497,75,0.250003107319
720.0,-202.0,-5076.3,-1e+200,-1e+200,-1e+200,-1e+200,804562.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-420810393.637,7513713.24437,-420810393.637,-415497396.05,-426123391.224,-425592091.465,-416028695.809,2.0,56455886718600.0,0.25,1.28667840979e-13,0.25,0.00781257768298,119,0.125001242928
720.0,-202.0,-1181.1,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-453163191.726,2927583.10537,-453163191.726,-451093077.86,-455233305.592,-455026294.206,-451300089.246,2.0,8570742838860.0,0.25,0.0,0.12500160456,0.00390616419552,20,0.124995649753
720.0,-512.0,-5076.3,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-461212707.045,2599933.83092,-461212707.045,-459374276.202,-463051137.887,-462867294.803,-459558119.286,2.0,6759655925170.0,0.25,1.28667840979e-13,0.25,0.00781222810956,9,0.124995649753
720.0,-512.0,-5076.3,-1e+200,-1e+200,-1e+200,-1e+200,201141.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-473093357.768,1084187.48175,-473093357.768,-472326721.448,-473859994.088,-473783330.456,-472403385.08,2.0,1175462495590.0,0.25,1.28667840979e-13,0.25,0.0156248057925,34,0.249996892681
720.0,-357.0,-5076.3,-1e+200,-1e+200,-1e+200,-1e+200,603422.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-479838764.15,615808.245365,-479838764.15,-479403321.964,-480274206.336,-480230662.118,-479446866.182,2.0,379219795059.0,0.25,1.28667840979e-13,0.25,0.0156251942075,89,0.250003107319
720.0,-667.0,-8971.4,-1e+200,-1e+200,-1e+200,-1e+200,804562.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-484514787.004,2330610.04443,-484514787.004,-482866796.838,-486162777.171,-485997978.154,-483031595.854,2.0,5431743179210.0,0.125,1.28667840979e-13,0.25,0.00390628884149,103,0.125001242928
720.0,-47.0,-1181.1,-1e+200,-1e+200,-1e+200,-1e+200,603422.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-504635893.34,2440888.33635,-504635893.34,-502909924.646,-506361862.035,-506189265.166,-503082521.515,2.0,5957935870530.0,0.125,0.0,0.12500160456,0.00390634869497,100,0.250003107319
720.0,-202.0,-1181.1,-1e+200,-1e+200,-1e+200,-1e+200,201141.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-508913758.551,7345038.92036,-508913758.551,-503720031.722,-514107485.38,-513588112.697,-504239404.405,2.0,53949596741600.0,0.25,0.0,0.12500160456,0.00781250317999,45,0.249996892681
720.0,-512.0,-5076.3,-1e+200,-1e+200,-1e+200,-1e+200,402281.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-563266432.362,376519.313504,-563266432.362,-563000193.002,-563532671.721,-563506047.786,-563026816.938,2.0,141766793441.0,0.25,1.28667840979e-13,0.25,0.0156251942075,59,0.250003107319
720.0,-357.0,-5076.3,-1e+200,-1e+200,-1e+200,-1e+200,804562.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-564966175.97,6321066.7629,-564966175.97,-560496506.798,-569435845.143,-568988878.225,-560943473.715,2.0,39955885021000.0,0.25,1.28667840979e-13,0.25,0.00781257768298,114,0.125001242928
720.0,-47.0,-1181.1,-1e+200,-1e+200,-1e+200,-1e+200,804562.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-588968608.623,5813343.54089,-588968608.623,-584857953.984,-593079263.263,-592668197.799,-585269019.448,2.0,33794963124400.0,0.125,0.0,0.12500160456,0.00195316949224,125,0.125001242928
720.0,-202.0,-1181.1,-1e+200,-1e+200,-1e+200,-1e+200,402281.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-594658419.692,8880174.91986,-594658419.692,-588379187.788,-600937651.596,-600309728.405,-589007110.978,2.0,78857506607300.0,0.25,0.0,0.12500160456,0.00781269738995,70,0.250003107319
720.0,-357.0,-1181.1,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-629266753.477,10844854.1315,-629266753.477,-621598283.58,-636935223.375,-636168376.385,-622365130.57,2.0,117610861133000.0,0.25,0.0,0.12500160456,0.00390616419552,15,0.124995649753
720.0,-667.0,-5076.3,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-638964242.232,2977106.04902,-638964242.232,-636859110.356,-641069374.107,-640858860.92,-637069623.544,2.0,8863160427090.0,0.125,1.28667840979e-13,0.25,0.00390611405478,4,0.124995649753
720.0,-667.0,-5076.3,-1e+200,-1e+200,-1e+200,-1e+200,201141.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-639115103.166,548983.852631,-639115103.166,-638726912.961,-639503293.371,-639464474.35,-638765731.981,2.0,301383270449.0,0.125,1.28667840979e-13,0.25,0.00781240289627,29,0.249996892681
720.0,-512.0,-5076.3,-1e+200,-1e+200,-1e+200,-1e+200,603422.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-646747503.23,477565.56288,-646747503.23,-646409813.382,-647085193.077,-647051424.093,-646443582.366,2.0,228068866849.0,0.25,1.28667840979e-13,0.25,0.0156251942075,84,0.250003107319
720.0,-202.0,-1181.1,-1e+200,-1e+200,-1e+200,-1e+200,603422.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-683884005.783,4347344.27287,-683884005.783,-680809969.168,-686958042.399,-686650638.737,-681117372.829,2.0,18899402226900.0,0.25,0.0,0.12500160456,0.00781269738995,95,0.250003107319
720.0,-357.0,-1181.1,-1e+200,-1e+200,-1e+200,-1e+200,201141.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-687031494.74,7543897.48797,-687031494.74,-681697153.67,-692365835.811,-691832401.703,-682230587.777,2.0,56910389309000.0,0.25,0.0,0.12500160456,0.00781250317999,40,0.249996892681
720.0,-667.0,-5076.3,-1e+200,-1e+200,-1e+200,-1e+200,402281.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-723577329.394,3251017.83475,-723577329.394,-721278512.637,-725876146.15,-725646264.475,-721508394.313,2.0,10569116961800.0,0.125,1.28667840979e-13,0.25,0.00781259710373,54,0.250003107319
720.0,-512.0,-5076.3,-1e+200,-1e+200,-1e+200,-1e+200,804562.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-731390057.813,2935972.58158,-731390057.813,-729314011.691,-733466103.935,-733258499.322,-729521616.303,2.0,8619934999800.0,0.25,1.28667840979e-13,0.25,0.00781257768298,109,0.125001242928
720.0,-202.0,-1181.1,-1e+200,-1e+200,-1e+200,-1e+200,804562.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-771271673.966,1906259.79732,-771271673.966,-769923744.736,-772619603.195,-772484810.272,-770058537.659,2.0,3633826414880.0,0.25,0.0,0.12500160456,0.00390633898448,120,0.125001242928
720.0,-357.0,-1181.1,-1e+200,-1e+200,-1e+200,-1e+200,402281.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-782641217.127,3631996.89358,-782641217.127,-780073007.495,-785209426.76,-784952605.797,-780329828.458,2.0,13191401435000.0,0.25,0.0,0.12500160456,0.00781269738995,65,0.250003107319
720.0,-667.0,-5076.3,-1e+200,-1e+200,-1e+200,-1e+200,603422.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-816164357.274,2340133.62667,-816164357.274,-814509632.917,-817819081.63,-817653609.194,-814675105.353,2.0,5476225390670.0,0.125,1.28667840979e-13,0.25,0.00781259710373,79,0.250003107319
720.0,-512.0,-1181.1,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-816254901.756,3339707.75412,-816254901.756,-813893371.755,-818616431.756,-818380278.756,-814129524.756,2.0,11153647882900.0,0.25,0.0,0.12500160456,0.00390616419552,10,0.124995649753
720.0,-357.0,-1181.1,-1e+200,-1e+200,-1e+200,-1e+200,603422.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-867768227.364,2076010.99086,-867768227.364,-866300265.915,-869236188.814,-869089392.669,-866447062.06,2.0,4309821634170.0,0.25,0.0,0.12500160456,0.00781269738995,90,0.250003107319
720.0,-512.0,-1181.1,-1e+200,-1e+200,-1e+200,-1e+200,201141.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-878618508.471,1146933.64882,-878618508.471,-877807503.91,-879429513.031,-879348412.575,-877888604.366,2.0,1315456794790.0,0.25,0.0,0.12500160456,0.00781250317999,35,0.249996892681
720.0,-667.0,-5076.3,-1e+200,-1e+200,-1e+200,-1e+200,804562.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-896810033.499,10557892.0262,-896810033.499,-889344476.453,-904275590.546,-903529034.841,-890091032.157,2.0,111469084037000.0,0.125,1.28667840979e-13,0.25,0.00390628884149,104,0.125001242928
720.0,-357.0,-1181.1,-1e+200,-1e+200,-1e+200,-1e+200,804562.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-955354430.535,425013.287494,-955354430.535,-955053900.757,-955654960.312,-955624907.335,-955083953.735,2.0,180636294546.0,0.25,0.0,0.12500160456,0.00390633898448,115,0.125001242928
720.0,-512.0,-1181.1,-1e+200,-1e+200,-1e+200,-1e+200,402281.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-959070602.945,3515583.60405,-959070602.945,-956584709.939,-961556495.951,-961307906.651,-956833299.24,2.0,12359328077100.0,0.25,0.0,0.12500160456,0.00781269738995,60,0.250003107319
720.0,-667.0,-1181.1,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-991636951.567,2103123.52186,-991636951.567,-990149818.663,-993124084.47,-992975371.18,-990298531.953,2.0,4423128548210.0,0.125,0.0,0.12500160456,0.00195308209776,5,0.124995649753
720.0,-667.0,-1181.1,-1e+200,-1e+200,-1e+200,-1e+200,201141.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1052639405.52,3525149.20338,-1052639405.52,-1050146748.62,-1055132062.43,-1054882796.74,-1050396014.31,2.0,12426676906100.0,0.125,0.0,0.12500160456,0.00390625159,30,0.249996892681
720.0,-512.0,-1181.1,-1e+200,-1e+200,-1e+200,-1e+200,603422.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1055014543.07,5266623.9357,-1055014543.07,-1051290477.57,-1058738608.57,-1058366202.02,-1051662884.12,2.0,27737327680100.0,0.25,0.0,0.12500160456,0.00781269738995,85,0.250003107319
720.0,-512.0,-1181.1,-1e+200,-1e+200,-1e+200,-1e+200,804562.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1136729538.44,6346948.53477,-1136729538.44,-1132241568.09,-1141217508.79,-1140768711.76,-1132690365.13,2.0,40283755703000.0,0.25,0.0,0.12500160456,0.00390633898448,110,0.125001242928
720.0,-667.0,-1181.1,-1e+200,-1e+200,-1e+200,-1e+200,402281.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1146472892.98,2824160.12132,-1146472892.98,-1144475910.2,-1148469875.75,-1148270177.47,-1144675608.48,2.0,7975880390860.0,0.125,0.0,0.12500160456,0.00390634869497,55,0.250003107319
720.0,-667.0,-1181.1,-1e+200,-1e+200,-1e+200,-1e+200,603422.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1229714621.3,2836941.56173,-1229714621.3,-1227708600.69,-1231720641.92,-1231520039.86,-1227909202.75,2.0,8048237424660.0,0.125,0.0,0.12500160456,0.00390634869497,80,0.250003107319
720.0,-667.0,-1181.1,-1e+200,-1e+200,-1e+200,-1e+200,804562.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1310403356.1,6171441.22217,-1310403356.1,-1306039488.16,-1314767224.04,-1314330837.25,-1306475874.96,2.0,38086686758700.0,0.125,0.0,0.12500160456,0.00195316949224,105,0.125001242928
720.0,-512.0,-12866.6,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1864947390.88,447232.293096,-1864947390.88,-1864631149.9,-1865263631.87,-1865232007.77,-1864662773.99,2.0,200016723988.0,0.25,1.28667840979e-13,0.25,0.00781222810956,7,0.124995649753
720.0,-202.0,-5076.3,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-2308634570.29,1182569.92789,-2308634570.29,-2307798367.08,-2309470773.51,-2309387153.19,-2307881987.4,2.0,1398471634340.0,0.25,1.28667840979e-13,0.25,0.00781222810956,19,0.124995649753
720.0,-512.0,-16761.7,-1e+200,-1e+200,-1e+200,-1e+200,804562.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-219876469515000.0,498346.187769,-219876469515000.0,-219876469162000.0,-219876469867000.0,-219876469832000.0,-219876469198000.0,2.0,248348922864.0,0.25,1.28667840979e-13,0.12499839544,0.00390623869851,106,0.125001242928
720.0,-202.0,-8971.4,-1e+200,-1e+200,-1e+200,-1e+200,804562.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-219876937313000.0,7104143.39447,-219876937313000.0,-219876932289000.0,-219876942336000.0,-219876941834000.0,-219876932792000.0,2.0,50468853369200.0,0.25,1.28667840979e-13,0.25,0.00781257768298,118,0.125001242928
720.0,-357.0,-12866.6,-1e+200,-1e+200,-1e+200,-1e+200,804562.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-219879784371000.0,4008935.90763,-219879784371000.0,-219879781536000.0,-219879787205000.0,-219879786922000.0,-219879781819000.0,2.0,16071567111500.0,0.25,1.28667840979e-13,0.25,0.00781257768298,112,0.125001242928
720.0,-47.0,-5076.3,-1e+200,-1e+200,-1e+200,-1e+200,804562.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-219880215546000.0,4603617.01954,-219880215546000.0,-219880212291000.0,-219880218801000.0,-219880218475000.0,-219880212616000.0,2.0,21193289662600.0,0.125,1.28667840979e-13,0.25,0.00390628884149,124,0.125001242928
720.0,-512.0,-16761.7,-1e+200,-1e+200,-1e+200,-1e+200,603422.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-224763537278000.0,2157811.18562,-224763537278000.0,-224763535752000.0,-224763538804000.0,-224763538651000.0,-224763535905000.0,2.0,4656149112800.0,0.25,1.28667840979e-13,0.12499839544,0.00781249681751,81,0.250003107319
