smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,prefix,PointProbability,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-meoh_capacity
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-148721072.378,1584291.05826,-148721072.378,-147600809.428,-149841335.329,-149729309.034,-147712835.723,2.0,2509978157290.0,0.249546279492,39,1.83230531396e-13,0.015596424381,0.249996504259,0.25
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-151922354.054,4360122.26262,-151922354.054,-148839282.035,-155005426.073,-154697118.871,-149147589.237,2.0,19010666145000.0,0.249546279492,113,1.83230531396e-13,0.00779728234506,0.125001398296,0.249963898917
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-183172056.839,2832853.8277,-183172056.839,-181168926.688,-185175186.991,-184974873.976,-181369239.703,2.0,8025060809120.0,0.250453720508,83,1.83230531396e-13,0.0156513159678,0.250003495741,0.249963898917
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-210603965.669,582509.125824,-210603965.669,-210192069.516,-211015861.822,-210974672.206,-210233259.131,2.0,339316881668.0,0.249546279492,94,1.83230531396e-13,0.0155968605555,0.250003495741,0.25
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-224441421.558,1403858.66174,-224441421.558,-223448743.578,-225434099.537,-225334831.739,-223548011.376,2.0,1970819142140.0,0.125226860254,53,1.83230531396e-13,0.00782565798392,0.250003495741,0.249963898917
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-231272095.478,4927128.00779,-231272095.478,-227788089.852,-234756101.104,-234407700.542,-228136490.415,2.0,24276590405200.0,0.249546279492,20,1.83230531396e-13,0.00389957098961,0.124995105963,0.125018050542
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-236544621.23,11220224.0738,-236544621.23,-228610724.701,-244478517.759,-243685128.106,-229404114.354,2.0,125893428266000.0,0.125226860254,75,1.83230531396e-13,0.00391395921408,0.250003495741,0.125018050542
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-245573212.04,2221374.64248,-245573212.04,-244002462.967,-247143961.113,-246986886.206,-244159537.874,2.0,4934505302270.0,0.249546279492,64,1.83230531396e-13,0.0155968605555,0.250003495741,0.25
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-277506747.964,4006188.71467,-277506747.964,-274673944.757,-280339551.171,-280056270.85,-274957225.077,2.0,16049548017600.0,0.250453720508,108,1.83230531396e-13,0.00782563609905,0.125001398296,0.249963898917
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-296603059.22,5620196.16878,-296603059.22,-292628980.398,-300577138.043,-300179730.16,-293026388.28,2.0,31586604975600.0,0.250453720508,9,1.83230531396e-13,0.00782637233343,0.124995105963,0.25
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-296922726.124,4358410.92853,-296922726.124,-293840864.201,-300004588.046,-299696401.854,-294149050.393,2.0,18995745822000.0,0.249546279492,45,1.83230531396e-13,0.0077993382861,0.249996504259,0.125018050542
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-305343529.818,661134.980733,-305343529.818,-304876036.79,-305811022.847,-305764273.544,-304922786.093,2.0,437099462749.0,0.249546279492,119,1.83230531396e-13,0.00779840846903,0.125001398296,0.25
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-307738797.617,1081683.35131,-307738797.617,-306973931.984,-308503663.249,-308427176.686,-307050418.547,2.0,1170038872500.0,0.250453720508,34,1.83230531396e-13,0.0156531386514,0.249996504259,0.25
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-324756971.051,4250259.11574,-324756971.051,-321751584.008,-327762358.093,-327461819.389,-322052122.712,2.0,18064702550900.0,0.125226860254,78,1.83230531396e-13,0.00782565798392,0.250003495741,0.249963898917
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-335243392.112,4648546.38255,-335243392.112,-331956373.443,-338530410.782,-338201708.915,-332285075.31,2.0,21608983470700.0,0.125226860254,100,1.83230531396e-13,0.00391395921408,0.250003495741,0.125018050542
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-349257543.983,4987619.81292,-349257543.983,-345730764.192,-352784323.775,-352431645.796,-346083442.171,2.0,24876351398200.0,0.249546279492,89,1.83230531396e-13,0.0155968605555,0.250003495741,0.25
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-407026180.231,4010251.40149,-407026180.231,-404190504.271,-409861856.192,-409578288.596,-404474071.867,2.0,16082116303200.0,0.249546279492,70,1.83230531396e-13,0.00779955640487,0.250003495741,0.125018050542
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-407977385.697,5751494.8794,-407977385.697,-403910464.666,-412044306.728,-411637614.625,-404317156.769,2.0,33079693347700.0,0.250453720508,59,1.83230531396e-13,0.0156535764121,0.250003495741,0.25
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-423530494.525,2097323.30784,-423530494.525,-422047462.992,-425013526.059,-424865222.905,-422195766.145,2.0,4398765057590.0,0.125226860254,125,1.83230531396e-13,0.00195697413424,0.125001398296,0.125018050542
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-432297244.028,1308673.28815,-432297244.028,-431371872.271,-433222615.784,-433130078.608,-431464409.447,2.0,1712625775130.0,0.125226860254,103,1.83230531396e-13,0.00391281804952,0.125001398296,0.249963898917
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-433475027.556,6711313.06192,-433475027.556,-428729412.579,-438220642.533,-437746081.035,-429203974.077,2.0,45041723015100.0,0.249546279492,15,1.83230531396e-13,0.00389957098961,0.124995105963,0.125018050542
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-444564917.926,4913832.81547,-444564917.926,-441090313.42,-448039522.431,-447692061.981,-441437773.871,2.0,24145752938400.0,0.249546279492,114,1.83230531396e-13,0.00779840846903,0.125001398296,0.25
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-471341660.266,4215956.38127,-471341660.266,-468360528.92,-474322791.613,-474024678.478,-468658642.054,2.0,17774288208800.0,0.249546279492,40,1.83230531396e-13,0.0077993382861,0.249996504259,0.125018050542
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-475932958.19,66256.762684,-475932958.19,-475886107.584,-475979808.796,-475975123.736,-475890792.645,2.0,4389958601.37,0.125226860254,29,1.83230531396e-13,0.00782656932572,0.249996504259,0.25
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-481910830.675,274194.223128,-481910830.675,-481716946.08,-482104715.269,-482085326.81,-481736334.54,2.0,75182471996.9,0.125226860254,4,1.83230531396e-13,0.00391318616671,0.124995105963,0.25
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-493800500.083,4655776.26443,-493800500.083,-490508369.114,-497092631.051,-496763417.954,-490837582.211,2.0,21676252624500.0,0.249546279492,95,1.83230531396e-13,0.00779955640487,0.250003495741,0.125018050542
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-507157959.47,4881019.795,-507157959.47,-503706557.274,-510609361.666,-510264221.447,-504051697.494,2.0,23824354239200.0,0.250453720508,84,1.83230531396e-13,0.0156535764121,0.250003495741,0.25
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-575996605.406,2176200.78354,-575996605.406,-574457799.075,-577535411.738,-577381531.105,-574611679.708,2.0,4735849850270.0,0.125226860254,54,1.83230531396e-13,0.00782678820604,0.250003495741,0.25
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-578342984.117,7940211.74002,-578342984.117,-572728406.551,-583957561.682,-583396103.925,-573289864.308,2.0,63046962476300.0,0.249546279492,65,1.83230531396e-13,0.00779955640487,0.250003495741,0.125018050542
