smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,co2_location_label,fuel_region_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-ft_capacity,ProbabilityWeight-htse_capacity,prefix,ProbabilityWeight-h2_storage_capacity,PointProbability,ProbabilityWeight
720.0,-705.1,-11486.9,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,340208.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,93635743.2774,2276144.92812,93635743.2774,95245220.7911,92026265.7638,92187213.5152,95084273.0397,2.0,5180835733810.0,0.199998716352,0.1,85,0.20000235153,1.2171516948100001e-13,0.00400002135735
720.0,-333.1,-8370.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,340208.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,93355130.3881,1851475.34972,93355130.3881,94664321.1631,92045939.6132,92176858.6907,94533402.0856,2.0,3427960970620.0,0.199998716352,0.2,124,0.20000235153,1.2171516948100001e-13,0.0080000427147
720.0,-457.1,-8370.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,83486759.0371,2057981.65046,83486759.0371,84941971.8177,82031546.2565,82177067.5346,84796450.5397,2.0,4235288473630.0,0.199998716352,0.2,111,0.0999952969395,1.2171516948100001e-13,0.00399978620583
720.0,-457.1,-11486.9,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,850520.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,80490835.511,2447404.39595,80490835.511,82221411.7557,78760259.2664,78933316.8908,82048354.1313,2.0,5989788277330.0,0.199998716352,0.2,105,0.100001175765,1.2171516948100001e-13,0.00400002135735
720.0,-457.1,-8370.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,170104.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,66628146.2888,259902.703119,66628146.2888,66811925.2526,66444367.325,66462745.2214,66793547.3562,2.0,67549415088.7,0.199998716352,0.2,117,0.199996472705,1.2171516948100001e-13,0.00799980756319
720.0,-581.1,-11486.9,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,680416.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,60195314.2594,232664.251303,60195314.2594,60359832.7292,60030795.7896,60047247.6365,60343380.8822,2.0,54132653834.4,0.199998716352,0.2,98,0.20000235153,1.2171516948100001e-13,0.0080000427147
720.0,-333.1,-8370.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,510312.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,25504354.8121,652668.719212,25504354.8121,25965861.2893,25042848.3349,25088998.9826,25919710.6416,2.0,425976457037.0,0.199998716352,0.2,130,0.20000235153,1.2171516948100001e-13,0.0080000427147
720.0,-705.1,-11486.9,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,510312.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,22657695.1681,3205069.60326,22657695.1681,24924021.6187,20391368.7174,20618001.3625,24697388.9737,2.0,10272471161800.0,0.199998716352,0.1,91,0.20000235153,1.2171516948100001e-13,0.00400002135735
720.0,-457.1,-8370.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,340208.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-638773.259649,2452298.15861,-638773.259649,1095263.39779,-2372809.91709,-2199406.25135,921859.73205,2.0,6013766258720.0,0.199998716352,0.2,123,0.20000235153,1.2171516948100001e-13,0.0080000427147
720.0,-581.1,-11486.9,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,850520.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-11204935.5099,166000.656222,-11204935.5099,-11087555.3202,-11322315.6996,-11310577.6806,-11099293.3391,2.0,27556217866.2,0.199998716352,0.2,104,0.100001175765,1.2171516948100001e-13,0.00400002135735
720.0,-209.1,-5254.7,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,170104.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-24915619.7648,3129970.43885,-24915619.7648,-22702396.4426,-27128843.087,-26907520.7548,-22923718.7748,2.0,9796714948050.0,0.199998716352,0.2,155,0.199996472705,1.2171516948100001e-13,0.00799980756319
720.0,-333.1,-8370.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,680416.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-43131115.4668,242783.476498,-43131115.4668,-42959441.6242,-43302789.3094,-43285621.9251,-42976609.0084,2.0,58943816460.4,0.199998716352,0.2,136,0.20000235153,1.2171516948100001e-13,0.0080000427147
720.0,-581.1,-8370.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,170104.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-45832212.1051,4508949.91196,-45832212.1051,-42643903.0464,-49020521.1639,-48701690.258,-42962733.9522,2.0,20330629308600.0,0.199998716352,0.2,116,0.199996472705,1.2171516948100001e-13,0.00799980756319
720.0,-705.1,-11486.9,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,680416.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-47578356.0,212034.783834,-47578356.0,-47428424.7665,-47728287.2335,-47713294.1101,-47443417.8898,2.0,44958749555.5,0.199998716352,0.1,97,0.20000235153,1.2171516948100001e-13,0.00400002135735
720.0,-581.1,-8370.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-59965251.3595,238361.312024,-59965251.3595,-59796704.4594,-60133798.2596,-60116943.5696,-59813559.1494,2.0,56816115069.8,0.199998716352,0.2,110,0.0999952969395,1.2171516948100001e-13,0.00399978620583
720.0,-457.1,-8370.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,510312.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-75187468.8934,3364300.17844,-75187468.8934,-72808549.4232,-77566388.3635,-77328496.4165,-73046441.3703,2.0,11318515690700.0,0.199998716352,0.2,129,0.20000235153,1.2171516948100001e-13,0.0080000427147
720.0,-209.1,-5254.7,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,340208.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-100932435.119,4063893.41983,-100932435.119,-98058828.5243,-103806041.715,-103518681.055,-98346189.1838,2.0,16515229727700.0,0.199998716352,0.2,161,0.20000235153,1.2171516948100001e-13,0.0080000427147
720.0,-333.1,-5254.7,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-107932842.211,2667475.46665,-107932842.211,-106046652.219,-109819032.202,-109630413.203,-106235271.219,2.0,7115425365180.0,0.199998716352,0.2,148,0.0999952969395,1.2171516948100001e-13,0.00399978620583
720.0,-333.1,-8370.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,850520.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-114346750.2,464485.190239,-114346750.2,-114018309.573,-114675190.828,-114642346.765,-114051153.635,2.0,215746491951.0,0.199998716352,0.2,142,0.100001175765,1.2171516948100001e-13,0.00400002135735
720.0,-705.1,-11486.9,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,850520.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-118005212.876,182273.64841,-118005212.876,-117876325.943,-118134099.809,-118121211.116,-117889214.636,2.0,33223682904.8,0.199998716352,0.1,103,0.100001175765,1.2171516948100001e-13,0.00200001067868
720.0,-581.1,-8370.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,340208.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-118241034.842,4745126.33783,-118241034.842,-114885723.831,-121596345.853,-121260814.752,-115221254.932,2.0,22516223961900.0,0.199998716352,0.2,122,0.20000235153,1.2171516948100001e-13,0.0080000427147
720.0,-333.1,-5254.7,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,170104.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-135437381.483,398710.971044,-135437381.483,-135155450.252,-135719312.714,-135691119.591,-135183643.375,2.0,158970438431.0,0.199998716352,0.2,154,0.199996472705,1.2171516948100001e-13,0.00799980756319
720.0,-457.1,-8370.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,680416.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-144288957.706,1364580.19988,-144288957.706,-143324053.794,-145253861.619,-145157371.228,-143420544.185,2.0,1862079121910.0,0.199998716352,0.2,135,0.20000235153,1.2171516948100001e-13,0.0080000427147
720.0,-209.1,-5254.7,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,510312.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-170469475.603,3222535.552,-170469475.603,-168190798.861,-172748152.344,-172520284.67,-168418666.535,2.0,10384735383900.0,0.199998716352,0.2,167,0.20000235153,1.2171516948100001e-13,0.0080000427147
720.0,-705.1,-8370.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,170104.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-172401753.077,1999756.12772,-172401753.077,-170987711.958,-173815794.195,-173674390.083,-171129116.07,2.0,3999024570350.0,0.199998716352,0.1,115,0.199996472705,1.2171516948100001e-13,0.00399990378159
720.0,-581.1,-8370.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,510312.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-187036835.099,3403215.68515,-187036835.099,-184630398.21,-189443271.988,-189202628.299,-184871041.899,2.0,11581876999700.0,0.199998716352,0.2,128,0.20000235153,1.2171516948100001e-13,0.0080000427147
720.0,-705.1,-8370.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-204671452.009,664604.563516,-204671452.009,-204201505.615,-205141398.402,-205094403.763,-204248500.255,2.0,441699225846.0,0.199998716352,0.1,109,0.0999952969395,1.2171516948100001e-13,0.00199989310292
720.0,-85.1,-2138.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,170104.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-206005748.493,3883442.88069,-206005748.493,-203259739.698,-208751757.289,-208477156.409,-203534340.577,2.0,15081128607600.0,0.0999993581762,0.1,192,0.199996472705,0.0,0.0019999518908
720.0,-333.1,-5254.7,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,340208.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-206022834.273,2102420.06906,-206022834.273,-204536198.785,-207509469.761,-207360806.212,-204684862.334,2.0,4420170146780.0,0.199998716352,0.2,160,0.20000235153,1.2171516948100001e-13,0.0080000427147
720.0,-457.1,-8370.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,850520.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-212801648.823,2082421.04481,-212801648.823,-211329154.781,-214274142.865,-214126893.461,-211476404.185,2.0,4336477407870.0,0.199998716352,0.2,141,0.100001175765,1.2171516948100001e-13,0.00400002135735
720.0,-209.1,-5254.7,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,680416.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-236888291.47,1050909.51364,-236888291.47,-236145186.226,-237631396.713,-237557086.189,-236219496.75,2.0,1104410805860.0,0.199998716352,0.2,173,0.20000235153,1.2171516948100001e-13,0.0080000427147
720.0,-705.1,-8370.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,340208.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-243102870.191,108489.798921,-243102870.191,-243026156.318,-243179584.063,-243171912.676,-243033827.706,2.0,11770036469.8,0.199998716352,0.1,121,0.20000235153,1.2171516948100001e-13,0.00400002135735
720.0,-457.1,-5254.7,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-255220115.897,3220294.13197,-255220115.897,-252943024.079,-257497207.715,-257269498.533,-253170733.261,2.0,10370294296400.0,0.199998716352,0.2,147,0.0999952969395,1.2171516948100001e-13,0.00399978620583
720.0,-457.1,-5254.7,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,170104.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-256260996.887,896102.026774,-256260996.887,-255627357.067,-256894636.707,-256831272.725,-255690721.049,2.0,802998842388.0,0.199998716352,0.2,153,0.199996472705,1.2171516948100001e-13,0.00799980756319
720.0,-581.1,-8370.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,680416.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-262386868.968,1866569.04232,-262386868.968,-261067005.341,-263706732.596,-263574746.233,-261198991.704,2.0,3484079989750.0,0.199998716352,0.2,134,0.20000235153,1.2171516948100001e-13,0.0080000427147
720.0,-85.1,-2138.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,340208.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-272964107.771,1825702.06034,-272964107.771,-271673141.463,-274255074.078,-274125977.447,-271802238.094,2.0,3333188013120.0,0.0999993581762,0.1,198,0.20000235153,0.0,0.00200001067868
720.0,-333.1,-5254.7,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,510312.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-277465966.915,1918512.20276,-277465966.915,-276109373.927,-278822559.903,-278686900.605,-276245033.226,2.0,3680689072160.0,0.199998716352,0.2,166,0.20000235153,1.2171516948100001e-13,0.0080000427147
720.0,-209.1,-2138.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-285265664.87,3432457.28096,-285265664.87,-282838551.05,-287692778.689,-287450067.307,-283081262.432,2.0,11781762985600.0,0.0999993581762,0.2,185,0.0999952969395,0.0,0.00199989310292
720.0,-209.1,-5254.7,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,850520.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-304191236.422,3814404.51135,-304191236.422,-301494045.126,-306888427.718,-306618708.588,-301763764.255,2.0,14549681776200.0,0.199998716352,0.2,179,0.100001175765,1.2171516948100001e-13,0.00400002135735
720.0,-705.1,-8370.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,510312.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-319648302.85,3529364.19302,-319648302.85,-317152665.496,-322143940.204,-321894376.469,-317402229.231,2.0,12456411607000.0,0.199998716352,0.1,127,0.20000235153,1.2171516948100001e-13,0.00400002135735
720.0,-209.1,-2138.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,170104.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-326727574.786,9033861.19225,-326727574.786,-320339670.277,-333115479.296,-332476688.845,-320978460.728,2.0,81610648040900.0,0.0999993581762,0.2,191,0.199996472705,0.0,0.00399990378159
720.0,-581.1,-8370.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,850520.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-331822066.84,729620.203685,-331822066.84,-331306147.446,-332337986.234,-332286394.295,-331357739.386,2.0,532345641625.0,0.199998716352,0.2,140,0.100001175765,1.2171516948100001e-13,0.00400002135735
720.0,-457.1,-5254.7,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,340208.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-334788617.58,647561.438176,-334788617.58,-334330722.496,-335246512.665,-335200723.156,-334376512.005,2.0,419335816213.0,0.199998716352,0.2,159,0.20000235153,1.2171516948100001e-13,0.0080000427147
720.0,-85.1,-2138.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,510312.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-340618736.965,3412620.688,-340618736.965,-338205649.735,-343031824.195,-342790515.472,-338446958.458,2.0,11645979960200.0,0.0999993581762,0.1,204,0.20000235153,0.0,0.00200001067868
720.0,-333.1,-5254.7,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,680416.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-346862468.94,1843142.51736,-346862468.94,-345559170.367,-348165767.512,-348035437.655,-345689500.224,2.0,3397174339290.0,0.199998716352,0.2,172,0.20000235153,1.2171516948100001e-13,0.0080000427147
720.0,-705.1,-8370.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,680416.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-386452941.87,5126260.54558,-386452941.87,-382828128.276,-390077755.464,-389715274.104,-383190609.635,2.0,26278547181100.0,0.199998716352,0.1,133,0.20000235153,1.2171516948100001e-13,0.00400002135735
720.0,-581.1,-5254.7,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,170104.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-389576012.069,100880.333265,-389576012.069,-389504678.901,-389647345.237,-389640211.92,-389511812.218,2.0,10176841639.6,0.199998716352,0.2,152,0.199996472705,1.2171516948100001e-13,0.00799980756319
