smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,co2_location_label,fuel_region_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,ProbabilityWeight-meoh_capacity,ProbabilityWeight-h2_storage_capacity,PointProbability,prefix,ProbabilityWeight
240.0,-94.0,-2354.0,-1e+200,-1e+200,-1e+200,-1e+200,100252.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-312482891.846,120009.788245,-312482891.846,-312398032.111,-312567751.581,-312559265.607,-312406518.084,2.0,14402349274.7,0.25,0.250079948833,0.250012469201,1.28632009175e-11,69,0.0156307763763
240.0,-187.0,-3136.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-314817301.392,683883.383855,-314817301.392,-314333722.814,-315300879.971,-315252522.113,-314382080.672,2.0,467696482713.0,0.125,0.249920051167,0.124981296198,1.28632009175e-11,3,0.00390441649261
240.0,-63.0,-1572.0,-1e+200,-1e+200,-1e+200,-1e+200,50126.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-317095267.867,1284318.12592,-317095267.867,-316187117.811,-318003417.924,-317912602.918,-316277932.817,2.0,1649473048570.0,0.125,0.125039974416,0.249987530799,1.28632009175e-11,50,0.00390730430694
240.0,-125.0,-2354.0,-1e+200,-1e+200,-1e+200,-1e+200,50126.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-317331520.385,428928.8971,-317331520.385,-317028221.854,-317634818.917,-317604489.064,-317058551.707,2.0,183979998768.0,0.25,0.250079948833,0.249987530799,1.28632009175e-11,39,0.0156292172278
240.0,-125.0,-3136.0,-1e+200,-1e+200,-1e+200,-1e+200,200504.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-319467871.283,2547212.84371,-319467871.283,-317666719.808,-321269022.758,-321088907.61,-317846834.956,2.0,6488293271160.0,0.25,0.249920051167,0.125006234601,1.28632009175e-11,113,0.0078103911369
240.0,-156.0,-3136.0,-1e+200,-1e+200,-1e+200,-1e+200,150378.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-322886042.301,791906.177192,-322886042.301,-322326080.073,-323446004.529,-323390008.306,-322382076.296,2.0,627115393474.0,0.25,0.249920051167,0.250012469201,1.28632009175e-11,83,0.0156207822738
240.0,-94.0,-2354.0,-1e+200,-1e+200,-1e+200,-1e+200,150378.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-331073768.617,246817.903675,-331073768.617,-330899242.003,-331248295.23,-331230842.569,-330916694.665,2.0,60919077574.5,0.25,0.250079948833,0.250012469201,1.28632009175e-11,94,0.0156307763763
240.0,-187.0,-3136.0,-1e+200,-1e+200,-1e+200,-1e+200,100252.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-332440875.973,50421.2745058,-332440875.973,-332405222.747,-332476529.198,-332472963.875,-332408788.07,2.0,2542304922.79,0.125,0.249920051167,0.250012469201,1.28632009175e-11,53,0.0078103911369
240.0,-94.0,-1572.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-335408547.844,1469217.94503,-335408547.844,-334369653.872,-336447441.816,-336343552.418,-334473543.269,2.0,2158601370000.0,0.25,0.125039974416,0.124981296198,1.28632009175e-11,20,0.00390691451979
240.0,-125.0,-2354.0,-1e+200,-1e+200,-1e+200,-1e+200,100252.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-337110636.413,18045.2196853,-337110636.413,-337097876.516,-337123396.311,-337122120.321,-337099152.506,2.0,325629953.49,0.25,0.250079948833,0.250012469201,1.28632009175e-11,64,0.0156307763763
