smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight-ft_capacity,ProbabilityWeight,ProbabilityWeight-htse_capacity,prefix,ProbabilityWeight-h2_storage_capacity
720.0,-601.8,-12525.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,141753.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,351519032.498,613364.913051,351519032.498,351952746.987,351085318.009,351128689.458,351909375.538,2.0,376216516562.0,2.43433201164e-13,0.16666559696,0.00463044462198,0.166693548387,114,0.166670194004
720.0,-498.4,-12525.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,354383.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,336702383.167,157226.440108,336702383.167,336813559.049,336591207.286,336602324.874,336802441.461,2.0,24720153469.0,2.43433201164e-13,0.16666559696,0.00463044462198,0.166693548387,136,0.166670194004
720.0,-601.8,-12525.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,212630.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,322043608.877,450405.671221,322043608.877,322362093.782,321725123.973,321756972.463,322330245.291,2.0,202865268668.0,2.43433201164e-13,0.16666559696,0.00463047728757,0.166693548387,121,0.166671369782
720.0,-498.4,-12525.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,425260.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,308011561.52,456338.22268,308011561.52,308334241.372,307688881.668,307721149.654,308301973.387,2.0,208244573479.0,2.43433201164e-13,0.16666559696,0.00231523864378,0.166693548387,143,0.0833356848912
720.0,-705.1,-12525.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,70877.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,294677002.07,1408085.91432,294677002.07,295672669.168,293681334.971,293780901.681,295573102.458,2.0,1982705942100.0,2.43433201164e-13,0.16666559696,0.00231393897388,0.0833064516129,106,0.166658436214
720.0,-601.8,-12525.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,290894876.991,452305.463159,290894876.991,291214705.251,290575048.731,290607031.557,291182722.425,2.0,204580232004.0,2.43433201164e-13,0.16666559696,0.00463044462198,0.166693548387,128,0.166670194004
720.0,-705.1,-12525.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,141753.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,265239358.831,1359732.69603,265239358.831,266200835.041,264277882.621,264374030.242,266104687.42,2.0,1848873004640.0,2.43433201164e-13,0.16666559696,0.00231410222279,0.0833064516129,113,0.166670194004
720.0,-601.8,-12525.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,354383.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,260506761.909,1034964.84796,260506761.909,261238592.572,259774931.247,259848114.313,261165409.506,2.0,1071152236510.0,2.43433201164e-13,0.16666559696,0.00463044462198,0.166693548387,135,0.166670194004
720.0,-705.1,-12525.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,246621629.706,59495.6333699,246621629.706,246663699.471,246579559.94,246583766.916,246659492.495,2.0,3539730390.09,2.43433201164e-13,0.16666559696,0.00115689602493,0.0833064516129,99,0.0833239271017
720.0,-705.1,-12525.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,212630.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,233368817.682,1085893.42945,233368817.682,234136660.29,232600975.075,232677759.336,234059876.029,2.0,1179164540120.0,2.43433201164e-13,0.16666559696,0.00231411854768,0.0833064516129,120,0.166671369782
