npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight,ProbabilityWeight-ft_capacity,PointProbability,prefix
894.0,-526.0,-8790.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,942583.0,ref,davis_besse,ohio,covid,628110863.217,6200834.75914,629091617.961,634510324.637,619749892.311,620981168.843,633867500.951,4.0,38450351710200.0,0.125001458773,0.25,0.00781259117331,0.25,8.47275451554e-14,98
894.0,-703.0,-4356.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,235646.0,ref,davis_besse,ohio,covid,612736946.798,3294807.01752,612410633.6869999,616281930.269,609844589.548,609871036.007,616059695.9430001,4.0,10855753282700.0,0.249997082454,0.25,0.007812408826689999,0.125,8.47275451554e-14,107
894.0,-703.0,-4356.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,471291.0,ref,davis_besse,ohio,covid,571507174.154,10253847.8083,570696277.63,584505833.138,560130308.219,561294790.471,582854812.971,4.0,105141394876000.0,0.250002387083,0.25,0.00781257459634,0.125,8.47275451554e-14,112
894.0,-703.0,-4356.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,10.0,ref,davis_besse,ohio,covid,565643473.231,3083722.3394,565002551.836,569806901.023,562761888.228,562945429.332,569238807.082,4.0,9509343466530.0,0.124996154144,0.25,0.003906129817,0.125,8.47275451554e-14,102
894.0,-526.0,-13224.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,235646.0,ref,davis_besse,ohio,covid,554291169.17,3199448.85248,554015359.721,558089482.767,551044474.471,551239354.44,557729117.128,4.0,10236472959700.0,0.249997082454,0.25,0.0156248176534,0.25,8.47275451554e-14,58
894.0,-526.0,-13224.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,471291.0,ref,davis_besse,ohio,covid,553190540.951,1693373.71129,552614116.925,555610073.652,551923856.3019999,551953957.735,555234117.803,4.0,2867514526090.0,0.250002387083,0.25,0.015625149192700003,0.25,8.47275451554e-14,63
894.0,-526.0,-13224.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,706937.0,ref,davis_besse,ohio,covid,544665064.466,4272137.62504,545706661.3069999,548633505.705,538613429.546,539628483.419,548243409.936,4.0,18251159887300.0,0.250002917546,0.25,0.0156251823466,0.25,8.47275451554e-14,68
894.0,-526.0,-13224.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,942583.0,ref,davis_besse,ohio,covid,535526711.305,4132647.0246,535400745.234,540077964.915,531227389.839,531485870.114,539743904.9959999,4.0,17078771429900.0,0.125001458773,0.25,0.00781259117331,0.25,8.47275451554e-14,73
894.0,-703.0,-8790.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,235646.0,ref,davis_besse,ohio,covid,535011368.253,5883193.23701,537650445.628,538505232.455,526239349.3,527859095.09800005,538468933.082,4.0,34611962664000.0,0.249997082454,0.25,0.0156248176534,0.25,8.47275451554e-14,82
894.0,-703.0,-4356.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,706937.0,ref,davis_besse,ohio,covid,525848088.386,8056442.09561,524908773.126,536561470.501,517013336.791,518160188.361,534851029.77599996,4.0,64906259240000.0,0.250002917546,0.25,0.00781259117331,0.125,8.47275451554e-14,117
894.0,-703.0,-8790.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,471291.0,ref,davis_besse,ohio,covid,506139632.996,6731336.88065,503761852.568,515677989.775,501356837.07199997,501369511.46,514238647.13,4.0,45310896200700.0,0.250002387083,0.25,0.015625149192700003,0.25,8.47275451554e-14,87
894.0,-703.0,-8790.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,706937.0,ref,davis_besse,ohio,covid,486282392.264,3646920.69851,487076748.54800004,489715460.883,481260611.078,481997456.196,489455229.536,4.0,13300030581300.0,0.250002917546,0.25,0.0156251823466,0.25,8.47275451554e-14,92
894.0,-703.0,-4356.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,942583.0,ref,davis_besse,ohio,covid,479870228.607,7144878.693539999,478665738.361,489650247.756,472499189.949,473369540.934,488057202.623,4.0,51049291545300.0,0.125001458773,0.25,0.00390629558665,0.125,8.47275451554e-14,122
894.0,-703.0,-8790.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,10.0,ref,davis_besse,ohio,covid,459060730.922,5110990.8137300005,456773379.695,466705157.754,455991006.54300004,456086558.09800005,465237195.46300006,4.0,26122227098000.0,0.124996154144,0.25,0.007812259634,0.25,8.47275451554e-14,77
894.0,-703.0,-8790.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,942583.0,ref,davis_besse,ohio,covid,446217211.799,2400602.40213,445321592.02599996,449731890.02199996,444493773.121,444554200.171,449134091.10800004,4.0,5762891893120.0,0.125001458773,0.25,0.00781259117331,0.25,8.47275451554e-14,97
894.0,-879.0,-4356.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,235646.0,ref,davis_besse,ohio,covid,433346159.90800005,4411773.05728,434066487.395,437732053.77099997,427519611.07199997,428285082.184,437398779.15099996,4.0,19463741509000.0,0.249997082454,0.12464589235099999,0.0038951386784600002,0.125,8.47275451554e-14,106
894.0,-703.0,-13224.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,235646.0,ref,davis_besse,ohio,covid,428019141.15199995,4285329.49323,428495135.518,432336350.14599997,422749943.425,423307324.464,432064565.727,4.0,18364048865500.0,0.249997082454,0.25,0.0156248176534,0.25,8.47275451554e-14,57
894.0,-703.0,-13224.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,471291.0,ref,davis_besse,ohio,covid,415656401.114,4500213.52075,415699970.52900004,420129231.744,411096431.65599996,411313185.246,419938619.80300003,4.0,20251921732400.0,0.250002387083,0.25,0.015625149192700003,0.25,8.47275451554e-14,62
894.0,-703.0,-13224.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,706937.0,ref,davis_besse,ohio,covid,395823133.64,2059511.32383,396037883.194,397996248.123,393220520.049,393530050.889,397815567.015,4.0,4241586892980.0,0.250002917546,0.25,0.0156251823466,0.25,8.47275451554e-14,67
894.0,-879.0,-4356.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,471291.0,ref,davis_besse,ohio,covid,389471605.09300005,4672438.55238,390403271.59800005,393977076.442,383102800.735,384017306.622,393621570.45699996,4.0,21831682025800.0,0.250002387083,0.12464589235099999,0.00389522132849,0.125,8.47275451554e-14,111
894.0,-879.0,-4356.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,10.0,ref,davis_besse,ohio,covid,388107381.374,4114078.3876400003,388057856.309,392939499.22800004,383374313.65199995,383839183.21,392444914.63,4.0,16925640979700.0,0.124996154144,0.12464589235099999,0.00194753214672,0.125,8.47275451554e-14,101
894.0,-703.0,-13224.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,942583.0,ref,davis_besse,ohio,covid,378117644.61300004,3425248.0378,379157754.458,380752053.865,373403015.67,374057692.03400004,380721443.40800005,4.0,11732324120400.0,0.125001458773,0.25,0.00781259117331,0.25,8.47275451554e-14,72
894.0,-879.0,-8790.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,235646.0,ref,davis_besse,ohio,covid,367903955.247,4906846.05396,370185544.89599997,370677064.88,360567666.315,361951403.675,370662281.31,4.0,24077138197300.0,0.249997082454,0.12464589235099999,0.00779027735693,0.25,8.47275451554e-14,81
894.0,-703.0,-13224.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,10.0,ref,davis_besse,ohio,covid,358734015.172,2960750.014,358056226.011,362852999.91,355970608.755,356189964.191,362226970.977,4.0,8766040645370.0,0.124996154144,0.25,0.007812259634,0.25,8.47275451554e-14,52
894.0,-879.0,-4356.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,706937.0,ref,davis_besse,ohio,covid,345430535.013,11087087.2471,349649349.79800004,353060881.865,329362558.59,331971202.871,352983526.455,4.0,122923503625000.0,0.250002917546,0.12464589235099999,0.0038952295934899994,0.125,8.47275451554e-14,116
894.0,-879.0,-8790.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,471291.0,ref,davis_besse,ohio,covid,339922174.991,3269049.1641599997,340310579.304,343233646.167,335833895.189,336291195.432,343009388.512,4.0,10686682437700.0,0.250002387083,0.12464589235099999,0.00779044265698,0.25,8.47275451554e-14,86
894.0,-879.0,-8790.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,706937.0,ref,davis_besse,ohio,covid,308292024.389,5262391.893130001,307767602.39599997,315218327.255,302414565.507,303206875.182,314111364.384,4.0,27692768436900.0,0.250002917546,0.12464589235099999,0.007790459186979999,0.25,8.47275451554e-14,91
894.0,-879.0,-4356.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,942583.0,ref,davis_besse,ohio,covid,299005131.864,2270491.16791,299110108.845,301657977.818,296142331.948,296538877.297,301324418.657,4.0,5155130143570.0,0.125001458773,0.12464589235099999,0.00194761479675,0.125,8.47275451554e-14,121
894.0,-879.0,-13224.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,235646.0,ref,davis_besse,ohio,covid,274555359.314,3283560.82554,274594795.834,277458651.383,271573194.205,271615371.621,277440135.879,4.0,10781771695000.0,0.249997082454,0.12464589235099999,0.00779027735693,0.25,8.47275451554e-14,56
894.0,-879.0,-8790.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,10.0,ref,davis_besse,ohio,covid,273335254.208,4402856.324580001,272748647.484,278987323.665,268856398.197,269192368.22099996,278299389.607,4.0,19385143814900.0,0.124996154144,0.12464589235099999,0.00389506429344,0.25,8.47275451554e-14,76
894.0,-703.0,-17658.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,706937.0,ref,davis_besse,ohio,covid,271963239.18799996,939967.726152,271935801.927,273113281.078,270868071.819,270990414.009,272974476.53099996,4.0,883539326207.0,0.250002917546,0.25,0.0156251823466,0.25,8.47275451554e-14,42
894.0,-703.0,-17658.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,471291.0,ref,davis_besse,ohio,covid,269040494.253,1548598.97946,268426842.505,271322087.993,267986204.01099998,268014928.77400002,270925172.181,4.0,2398158799180.0,0.250002387083,0.25,0.015625149192700003,0.25,8.47275451554e-14,37
894.0,-879.0,-8790.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,942583.0,ref,davis_besse,ohio,covid,268199232.76400003,3551093.16715,268397454.749,272033461.581,263968559.975,264392138.32099998,271728816.427,4.0,12610262681700.0,0.125001458773,0.12464589235099999,0.0038952295934899994,0.25,8.47275451554e-14,96
894.0,-703.0,-17658.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,235646.0,ref,davis_besse,ohio,covid,266811363.982,1895239.4000400002,266340975.129,269494190.257,265069315.412,265226360.10599998,269054912.25,4.0,3591932383450.0,0.249997082454,0.25,0.0156248176534,0.25,8.47275451554e-14,32
894.0,-703.0,-17658.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,942583.0,ref,davis_besse,ohio,covid,261499113.032,2432126.3903099997,261662962.607,263853351.97599998,258817174.937,259007899.30200002,263760937.357,4.0,5915238778440.0,0.125001458773,0.25,0.00781259117331,0.25,8.47275451554e-14,47
894.0,-703.0,-17658.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,10.0,ref,davis_besse,ohio,covid,259923115.60599998,584536.762937,259735938.712,260752307.393,259468277.60599998,259482328.781,260625950.08200002,4.0,341683227225.0,0.124996154144,0.25,0.007812259634,0.25,8.47275451554e-14,27
