npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-meoh_capacity,PointProbability,ProbabilityWeight-h2_storage_capacity,prefix,ProbabilityWeight-htse_capacity,ProbabilityWeight
894.0,-894.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,937707.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,-58515202.5259,3892614.92723,-58515202.5259,-55762708.1143,-61267696.9375,-60992447.4963,-56037957.5554,2.0,15152450971700.0,0.125007204196,8.705791516489999e-14,0.125001466359,105,0.124645892351,0.00194772716293
894.0,-894.0,-17640.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,-63099562.7465,2084667.95563,-63099562.7465,-61625479.8985,-64573645.5944,-64426237.3096,-61772888.1833,2.0,4345840485240.0,0.250014408391,8.705791516489999e-14,0.124996134146,2,0.124645892351,0.00389528815667
894.0,-894.0,-17640.0,-1e+200,-1e+200,-1e+200,-1e+200,234427.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,-78751670.2178,256030.58145,-78751670.2178,-78570629.2575,-78932711.1782,-78914607.0821,-78588733.3535,2.0,65551658637.8,0.250014408391,8.705791516489999e-14,0.249997067283,27,0.124645892351,0.00779072586561
894.0,-718.0,-13302.0,-1e+200,-1e+200,-1e+200,-1e+200,937707.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,-89370796.1942,592325.571196,-89370796.1942,-88951958.7662,-89789633.6223,-89747749.8795,-88993842.509,2.0,350849582292.0,0.249985591609,8.705791516489999e-14,0.125001466359,108,0.25,0.00781214137989
894.0,-894.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,937707.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,-136136295.838,7856267.42245,-136136295.838,-130581075.868,-141691515.807,-141135993.81,-131136597.865,2.0,61720937813100.0,0.249985591609,8.705791516489999e-14,0.125001466359,104,0.124645892351,0.00389500533388
894.0,-894.0,-13302.0,-1e+200,-1e+200,-1e+200,-1e+200,703280.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,-143976218.841,3758207.16928,-143976218.841,-141318765.067,-146633672.616,-146367927.238,-141584510.444,2.0,14124121127200.0,0.249985591609,8.705791516489999e-14,0.250002932717,78,0.124645892351,0.00779001066777
894.0,-894.0,-21978.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,-150219282.922,131130.91705,-150219282.922,-150126559.362,-150312006.483,-150302734.127,-150135831.718,2.0,17195317406.2,0.125007204196,8.705791516489999e-14,0.124996134146,1,0.124645892351,0.00194764407834
894.0,-718.0,-17640.0,-1e+200,-1e+200,-1e+200,-1e+200,703280.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,-155269687.77,3246053.67494,-155269687.77,-152974381.205,-157564994.336,-157335463.679,-153203911.861,2.0,10536864460600.0,0.250014408391,8.705791516489999e-14,0.250002932717,82,0.25,0.0156260838298
894.0,-894.0,-17640.0,-1e+200,-1e+200,-1e+200,-1e+200,468853.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,-174399566.628,2321950.36044,-174399566.628,-172757699.782,-176041433.473,-175877246.788,-172921886.467,2.0,5391453476330.0,0.250014408391,8.705791516489999e-14,0.250002399496,52,0.124645892351,0.00779089203479
894.0,-894.0,-13302.0,-1e+200,-1e+200,-1e+200,-1e+200,937707.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,-237751154.683,7347520.01611,-237751154.683,-232555673.455,-242946635.912,-242427087.789,-233075221.578,2.0,53986050387200.0,0.249985591609,8.705791516489999e-14,0.125001466359,103,0.124645892351,0.00389500533388
