smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,co2_location_label,fuel_region_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,prefix,ProbabilityWeight-htse_capacity,PointProbability,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-meoh_capacity
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-359778563.916,3868265.28724,-359778563.916,-357043287.3,-362513840.532,-362240312.87,-357316814.961,2.0,14963476332500.0,0.00391395921408,75,0.125226860254,1.83230531396e-13,0.250003495741,0.125018050542
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-364210803.859,1174013.45331,-364210803.859,-363380650.985,-365040956.733,-364957941.446,-363463666.273,2.0,1378307588560.0,0.00779840846903,119,0.249546279492,1.83230531396e-13,0.125001398296,0.25
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-385872952.094,5683423.56507,-385872952.094,-381854164.751,-389891739.437,-389489860.703,-382256043.485,2.0,32301303419900.0,0.00389957098961,20,0.249546279492,1.83230531396e-13,0.124995105963,0.125018050542
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-400928162.643,4405897.6242,-400928162.643,-397812722.556,-404043602.73,-403732058.722,-398124266.564,2.0,19411933874900.0,0.00782637233343,9,0.250453720508,1.83230531396e-13,0.124995105963,0.25
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-401386010.498,1165494.19848,-401386010.498,-400561881.647,-402210139.35,-402127726.465,-400644294.532,2.0,1358376726690.0,0.0156531386514,34,0.250453720508,1.83230531396e-13,0.249996504259,0.25
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-407680084.219,705705.404398,-407680084.219,-407181075.142,-408179093.296,-408129192.388,-407230976.05,2.0,498020117797.0,0.0155968605555,89,0.249546279492,1.83230531396e-13,0.250003495741,0.25
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-422787123.096,4097112.44262,-422787123.096,-419890027.105,-425684219.087,-425394509.488,-420179736.704,2.0,16786330367500.0,0.0077993382861,45,0.249546279492,1.83230531396e-13,0.249996504259,0.125018050542
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-434691276.839,3743292.3139,-434691276.839,-432044369.46,-437338184.218,-437073493.48,-432309060.198,2.0,14012237347300.0,0.00391281804952,103,0.125226860254,1.83230531396e-13,0.125001398296,0.249963898917
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-436428158.825,1592409.23572,-436428158.825,-435302155.456,-437554162.194,-437441561.857,-435414755.793,2.0,2535767174010.0,0.00391395921408,100,0.125226860254,1.83230531396e-13,0.250003495741,0.125018050542
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-472883112.39,7478256.53178,-472883112.39,-467595186.485,-478171038.295,-477642245.704,-468123979.075,2.0,55924320755000.0,0.0156535764121,59,0.250453720508,1.83230531396e-13,0.250003495741,0.25
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-482595296.244,4847101.71956,-482595296.244,-479167877.749,-486022714.739,-485679972.89,-479510619.599,2.0,23494395079800.0,0.00779840846903,114,0.249546279492,1.83230531396e-13,0.125001398296,0.25
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-503041186.783,3294423.51147,-503041186.783,-500711677.578,-505370695.988,-505137745.068,-500944628.499,2.0,10853226272900.0,0.00779955640487,70,0.249546279492,1.83230531396e-13,0.250003495741,0.125018050542
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-511358256.113,2992263.52127,-511358256.113,-509242406.286,-513474105.94,-513262520.958,-509453991.269,2.0,8953640980730.0,0.00195697413424,125,0.125226860254,1.83230531396e-13,0.125001398296,0.125018050542
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-544899983.416,3925038.93593,-544899983.416,-542124561.768,-547675405.064,-547397862.899,-542402103.933,2.0,15405930648500.0,0.00782656932572,29,0.125226860254,1.83230531396e-13,0.249996504259,0.25
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-545417990.774,4016307.71537,-545417990.774,-542578032.353,-548257949.195,-547973953.353,-542862028.195,2.0,16130727664500.0,0.00389957098961,15,0.249546279492,1.83230531396e-13,0.124995105963,0.125018050542
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-547702173.926,2584202.92519,-547702173.926,-545874866.513,-549529481.338,-549346750.597,-546057597.255,2.0,6678104758570.0,0.0156535764121,84,0.250453720508,1.83230531396e-13,0.250003495741,0.25
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-557915629.587,4757346.57751,-557915629.587,-554551677.561,-561279581.612,-560943186.41,-554888072.764,2.0,22632346458600.0,0.00391318616671,4,0.125226860254,1.83230531396e-13,0.124995105963,0.25
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-576465525.941,4986204.196,-576465525.941,-572939747.141,-579991304.74,-579638726.86,-573292325.021,2.0,24862232284200.0,0.00779955640487,95,0.249546279492,1.83230531396e-13,0.250003495741,0.125018050542
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-579563527.586,4661035.74597,-579563527.586,-576267677.603,-582859377.569,-582529792.571,-576597262.601,2.0,21725254225200.0,0.0077993382861,40,0.249546279492,1.83230531396e-13,0.249996504259,0.125018050542
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-620362100.283,504118.287975,-620362100.283,-620005634.823,-620718565.743,-620682919.197,-620041281.369,2.0,254135248270.0,0.00782676631801,109,0.250453720508,1.83230531396e-13,0.125001398296,0.25
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-621530545.924,313400.697828,-621530545.924,-621308938.165,-621752153.682,-621729992.907,-621331098.941,2.0,98219997399.1,0.00782678820604,54,0.125226860254,1.83230531396e-13,0.250003495741,0.25
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-646499621.578,12706978.0821,-646499621.578,-637514431.208,-655484811.948,-654586292.911,-638412950.245,2.0,161467291980000.0,0.0038997672965,120,0.249546279492,1.83230531396e-13,0.125001398296,0.125018050542
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-655864017.396,2986377.9382,-655864017.396,-653752329.305,-657975705.488,-657764536.679,-653963498.114,2.0,8918453189750.0,0.00779955640487,65,0.249546279492,1.83230531396e-13,0.250003495741,0.125018050542
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-692028494.403,2179292.01247,-692028494.403,-690487502.242,-693569486.563,-693415387.347,-690641601.458,2.0,4749313675610.0,0.00782678820604,79,0.125226860254,1.83230531396e-13,0.250003495741,0.25
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-704536230.739,624140.038455,-704536230.739,-704094897.085,-704977564.393,-704933431.027,-704139030.451,2.0,389550787603.0,0.00391375124775,10,0.250453720508,1.83230531396e-13,0.124995105963,0.125018050542
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-728782118.604,3597824.09452,-728782118.604,-726238072.789,-731326164.419,-731071759.837,-726492477.371,2.0,12944338215100.0,0.00779955640487,90,0.249546279492,1.83230531396e-13,0.250003495741,0.125018050542
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-731585915.45,57939.8655477,-731585915.45,-731544945.778,-731626885.122,-731622788.155,-731549042.746,2.0,3357028019.69,0.00782769951624,35,0.250453720508,1.83230531396e-13,0.249996504259,0.125018050542
