npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-ft_capacity,ProbabilityWeight,PointProbability
522.0,-132.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,450588073.42,281266.057522,450588073.42,450786958.557,450389188.284,450409076.798,450767070.043,2.0,79110595113.8,0.125333333333,115,0.250009196248,0.125026522385,0.00391764180651,1.0406674226900002e-12
522.0,-507.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,203895.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,431399850.782,68625.216669,431399850.782,431448376.138,431351325.426,431356177.961,431443523.602,2.0,4709420362.87,0.125333333333,66,0.250009196248,0.25,0.00783362148244,1.0406674226900002e-12
522.0,-320.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,203895.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,423619731.642,377402.639451,423619731.642,423886595.608,423352867.676,423379554.073,423859909.211,2.0,142432752265.0,0.249333333333,93,0.250009196248,0.25,0.0155839065661,1.0406674226900002e-12
522.0,-132.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,203895.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,423091141.294,270207.099157,423091141.294,423282206.566,422900076.022,422919182.549,423263100.039,2.0,73011876434.9,0.125333333333,120,0.250009196248,0.125026522385,0.00391764180651,1.0406674226900002e-12
522.0,-226.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,406909376.036,1687152.99116,406909376.036,408102373.357,405716378.715,405835678.447,407983073.624,2.0,2846485215580.0,0.250666666667,104,0.124986205628,0.125026522385,0.00391706538603,1.0406674226900002e-12
522.0,-226.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,403771247.701,723559.26676,403771247.701,404282881.365,403259614.036,403310777.403,404231717.998,2.0,523538012514.0,0.250666666667,109,0.249990803752,0.125026522385,0.00783470719255,1.0406674226900002e-12
522.0,-413.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,401524246.56,704438.775427,401524246.56,402022359.995,401026133.125,401075944.468,401972548.651,2.0,496233988325.0,0.249333333333,82,0.249990803752,0.25,0.0155827601005,1.0406674226900002e-12
522.0,-507.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,271860.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,400736686.693,1721734.50737,400736686.693,401954136.838,399519236.547,399640981.562,401832391.824,2.0,2964369713880.0,0.125333333333,71,0.125004598124,0.25,0.00391681074122,1.0406674226900002e-12
522.0,-320.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,271860.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,394575434.084,1345336.79715,394575434.084,395526730.856,393624137.312,393719266.989,395431601.179,2.0,1809931097770.0,0.249333333333,98,0.125004598124,0.25,0.00779195328306,1.0406674226900002e-12
522.0,-132.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,271860.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,392648068.187,656543.201964,392648068.187,393112314.337,392183822.037,392230246.652,393065889.722,2.0,431048976045.0,0.125333333333,125,0.125004598124,0.125026522385,0.00195882090326,1.0406674226900002e-12
522.0,-413.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,383736363.16,1496789.97926,383736363.16,384794753.505,382677972.816,382783811.851,384688914.47,2.0,2240380242020.0,0.249333333333,77,0.124986205628,0.25,0.00779080681749,1.0406674226900002e-12
522.0,-226.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,374368878.299,48169.2271545,374368878.299,374402939.086,374334817.511,374338223.59,374399533.007,2.0,2320274444.67,0.250666666667,114,0.250009196248,0.125026522385,0.00783528361303,1.0406674226900002e-12
