npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,PointProbability,ProbabilityWeight-meoh_capacity,ProbabilityWeight-htse_capacity,prefix,ProbabilityWeight
894.0,-541.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1635645914.76,1641021.25524,1635645914.76,1636806292.02,1634485537.5,1634601575.23,1636690254.29,2.0,2692950760160.0,0.124991734973,1.74117872884e-13,0.249985591609,0.25,14,0.00781153320336
894.0,-541.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,234427.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1624452749.94,704374.484389,1624452749.94,1624950817.92,1623954681.97,1624004488.77,1624901011.12,2.0,496143414259.0,0.250005865503,1.74117872884e-13,0.249985591609,0.25,64,0.0156244660483
894.0,-188.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1611940005.67,6896559.5659,1611940005.67,1616816609.71,1607063401.64,1607551062.04,1616328949.3,2.0,47562533846100.0,0.124991734973,1.74117872884e-13,0.125007204196,0.125354107649,25,0.0019586413021
894.0,-541.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,351640.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1597331596.39,4304615.93695,1597331596.39,1600375419.5,1594287773.27,1594592155.58,1600071037.19,2.0,18529718364600.0,0.250004799048,1.74117872884e-13,0.249985591609,0.25,89,0.0156243993987
894.0,-188.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,117213.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1564620429.5,1009805.10976,1564620429.5,1565334469.54,1563906389.46,1563977793.47,1565263065.54,2.0,1019706359690.0,0.249995200952,1.74117872884e-13,0.125007204196,0.125354107649,50,0.00391746643102
894.0,-541.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,468853.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1546046099.08,5350071.1075,1546046099.08,1549829170.64,1542263027.52,1542641334.68,1549450863.49,2.0,28623260855300.0,0.125002399524,1.74117872884e-13,0.249985591609,0.25,114,0.00781219969937
894.0,-718.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,117213.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1545608531.83,5309263.05184,1545608531.83,1549362747.74,1541854315.92,1542229737.51,1548987326.15,2.0,28188274153600.0,0.249995200952,1.74117872884e-13,0.249985591609,0.25,34,0.0156237995523
894.0,-188.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,234427.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1538455184.79,8023943.87789,1538455184.79,1544128969.92,1532781399.66,1533348778.18,1543561591.41,2.0,64383675355500.0,0.250005865503,1.74117872884e-13,0.125007204196,0.125354107649,75,0.00391763354631
894.0,-718.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,234427.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1492308246.76,3545882.59116,1492308246.76,1494815564.39,1489800929.14,1490051660.9,1494564832.63,2.0,12573283350300.0,0.250005865503,1.74117872884e-13,0.249985591609,0.25,59,0.0156244660483
894.0,-718.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1480555163.9,8718968.11074,1480555163.9,1486720405.37,1474389922.42,1475006446.57,1486103881.22,2.0,76020404916200.0,0.124991734973,1.74117872884e-13,0.249985591609,0.25,9,0.00781153320336
