smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-ft_capacity,PointProbability,prefix,ProbabilityWeight-htse_capacity
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-559671703.387,4797839.71488,-560579171.045,-553484918.93,-564043552.529,-563859664.801,-554213287.253,4.0,23019265929700.0,0.00391300948845,0.124998488314,0.249981948155,4.95258127397e-14,76,0.125226860254
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-575217343.515,18162876.2315,-567209000.414,-564202754.138,-602248619.093,-597317731.207,-564328636.164,4.0,329890073000000.0,0.00391304202267,0.249999055196,0.124990974078,4.95258127397e-14,110,0.125226860254
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-597773485.622,9432989.84308,-597087177.516,-588304604.626,-608614982.83,-607699166.79,-588808635.802,4.0,88981297379700.0,0.0155954573367,0.249999055196,0.249981948155,4.95258127397e-14,82,0.249546279492
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-628427278.014,4163440.81162,-628504598.645,-623744323.111,-632955591.656,-632615806.303,-624130500.843,4.0,17334239391900.0,0.00389883191784,0.124998488314,0.124990974078,4.95258127397e-14,103,0.249546279492
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-651230077.101,10736311.2724,-652559746.114,-637657715.24,-662143100.936,-661367691.019,-639230926.564,4.0,115268379738000.0,0.00782727349068,0.250000944804,0.250018051845,4.95258127397e-14,61,0.125226860254
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-667834136.899,25629478.3254,-668760481.192,-637536836.309,-696278748.901,-693800571.898,-640570819.888,4.0,656870159232000.0,0.015652286397,0.250000944804,0.249981948155,4.95258127397e-14,89,0.250453720508
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-693358511.3,15553879.8346,-696834158.024,-672348236.489,-707417492.662,-706668670.145,-675182447.04,4.0,241923177910000.0,0.0155978276082,0.250000944804,0.250018051845,4.95258127397e-14,68,0.249546279492
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-726579279.967,10718514.2009,-723077694.825,-718145045.4,-742016684.817,-739522587.23,-718538191.902,4.0,114886546674000.0,0.00779891969886,0.125000566882,0.250018051845,4.95258127397e-14,47,0.249546279492
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-726836461.642,41491966.3257,-717712311.743,-689794100.461,-782127122.62,-774995094.374,-691451638.768,4.0,1721583269570000.0,0.00782608404535,0.249999055196,0.124990974078,4.95258127397e-14,109,0.250453720508
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-748369669.25,14832187.9363,-749017040.956,-731569241.162,-763875353.927,-762885640.465,-732947377.647,4.0,219993798979000.0,0.00782608404535,0.249999055196,0.249981948155,4.95258127397e-14,81,0.125226860254
