npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,prefix,ProbabilityWeight-ft_capacity,ProbabilityWeight
894.0,-879.0,-19875.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,68730.0,ref,davis_besse,ohio,covid,2366676773.05,1016610.14198,2366474222.68,2367998580.27,2365760066.56,2365797564.27,2367839552.34,4.0,1033496180780.0,7.14381720314e-13,0.111128716457,0.055415617128499996,171,0.111111111111,0.000684251822574
894.0,-879.0,-19875.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,49093.0,ref,davis_besse,ohio,covid,2366041118.14,1276544.4861700002,2365684574.83,2367869363.98,2364925958.94,2365016419.62,2367564977.31,4.0,1629565825180.0,7.14381720314e-13,0.11112305759600001,0.055415617128499996,151,0.111111111111,0.0006842169793200001
894.0,-879.0,-19875.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,88367.0,ref,davis_besse,ohio,covid,2365060763.87,2402800.25457,2364986771.5,2368045202.1,2362224310.37,2362575300.55,2367649816.5,4.0,5773449063350.0,7.14381720314e-13,0.0555586993673,0.055415617128499996,191,0.111111111111,0.00034209106803299996
894.0,-879.0,-19875.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,29456.0,ref,davis_besse,ohio,covid,2364515032.84,2328573.88407,2365170585.78,2366425870.17,2361293089.65,2361750338.27,2366361953.31,4.0,5422256333570.0,7.14381720314e-13,0.11112305759600001,0.055415617128499996,131,0.111111111111,0.0006842169793200001
894.0,-879.0,-19875.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,19637.0,ref,davis_besse,ohio,covid,2361853140.02,762793.049416,2362029472.7,2362520325.05,2360833289.62,2360965503.69,2362493910.58,4.0,581853236238.0,7.14381720314e-13,0.11112305759600001,0.055415617128499996,121,0.111111111111,0.0006842169793200001
894.0,-879.0,-19875.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,9819.0,ref,davis_besse,ohio,covid,2351643196.0,861722.884248,2351456203.51,2352844724.44,2350815652.54,2350893589.57,2352654591.91,4.0,742566329236.0,7.14381720314e-13,0.111066468984,0.055415617128499996,111,0.111111111111,0.00068386854678
894.0,-879.0,-19875.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,10.0,ref,davis_besse,ohio,covid,2319473367.56,274844.268083,2319493161.37,2319737734.84,2319169412.63,2319191235.39,2319727788.37,4.0,75539371697.9,7.14381720314e-13,0.055507769616400006,0.055415617128499996,101,0.111111111111,0.000341777478747
894.0,-703.0,-17658.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,88367.0,ref,davis_besse,ohio,covid,2300426343.43,2061264.66563,2300562909.05,2302741786.55,2297837769.06,2298161215.13,2302500279.85,4.0,4248812021760.0,7.14381720314e-13,0.0555586993673,0.11146095717900001,293,0.111111111111,0.0006880695345660001
894.0,-703.0,-17658.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,49093.0,ref,davis_besse,ohio,covid,2300405283.8,2134625.6489,2300246618.8,2302925722.85,2298202174.77,2298344072.39,2302688626.23,4.0,4556626660950.0,7.14381720314e-13,0.11112305759600001,0.11146095717900001,253,0.111111111111,0.0013762091515899999
894.0,-703.0,-17658.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,39274.0,ref,davis_besse,ohio,covid,2300289803.19,1621708.94193,2300244153.97,2302149547.47,2298521357.37,2298658861.48,2301984653.82,4.0,2629939892330.0,7.14381720314e-13,0.11112305759600001,0.11146095717900001,243,0.111111111111,0.0013762091515899999
894.0,-703.0,-17658.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,78549.0,ref,davis_besse,ohio,covid,2300037504.03,1380450.71048,2299906171.93,2301846516.07,2298491156.2,2298688896.46,2301569976.54,4.0,1905644164060.0,7.14381720314e-13,0.11112305759600001,0.11146095717900001,283,0.111111111111,0.0013762091515899999
894.0,-703.0,-17658.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,68730.0,ref,davis_besse,ohio,covid,2299508891.64,1411509.81754,2299069102.62,2301559053.11,2298338308.22,2298434170.02,2301199317.9,4.0,1992359965010.0,7.14381720314e-13,0.111128716457,0.11146095717900001,273,0.111111111111,0.00137627923404
894.0,-703.0,-17658.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,58911.0,ref,davis_besse,ohio,covid,2299030643.5,1781390.69798,2298814781.39,2301009865.34,2297483145.89,2297495697.53,2300867796.43,4.0,3173352818850.0,7.14381720314e-13,0.11112305759600001,0.11146095717900001,263,0.111111111111,0.0013762091515899999
894.0,-703.0,-17658.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,19637.0,ref,davis_besse,ohio,covid,2298667340.16,1764353.58993,2299170002.69,2300081243.22,2296248112.03,2296581304.33,2300049648.44,4.0,3112943590310.0,7.14381720314e-13,0.11112305759600001,0.11146095717900001,223,0.111111111111,0.0013762091515899999
894.0,-703.0,-17658.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,29456.0,ref,davis_besse,ohio,covid,2298444930.17,1715139.9462899999,2298326181.11,2300634102.34,2296493256.13,2296721308.65,2300334800.38,4.0,2941705035370.0,7.14381720314e-13,0.11112305759600001,0.11146095717900001,233,0.111111111111,0.0013762091515899999
894.0,-703.0,-17658.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,10.0,ref,davis_besse,ohio,covid,2297606234.7,1237111.92882,2297520794.93,2299201557.23,2296181791.72,2296377186.14,2298954898.95,4.0,1530445924430.0,7.14381720314e-13,0.055507769616400006,0.11146095717900001,203,0.111111111111,0.0006874387924789999
894.0,-703.0,-17658.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,9819.0,ref,davis_besse,ohio,covid,2296622820.56,448290.76207399997,2296809678.86,2296916748.81,2295955175.71,2296080137.0,2296903902.5,4.0,200964607361.0,7.14381720314e-13,0.111066468984,0.11146095717900001,213,0.111111111111,0.00137550832705
894.0,-791.0,-17658.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,78549.0,ref,davis_besse,ohio,covid,2259058849.23,1224616.69372,2259451407.82,2259974392.72,2257358188.55,2257600203.71,2259967912.71,4.0,1499686046540.0,7.14381720314e-13,0.11112305759600001,0.11083123425699999,282,0.111111111111,0.0013684339586400001
894.0,-791.0,-17658.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,88367.0,ref,davis_besse,ohio,covid,2257283698.27,1635529.4347,2257726124.53,2258735143.14,2254947400.87,2255336467.56,2258611532.21,4.0,2674956531780.0,7.14381720314e-13,0.0555586993673,0.11083123425699999,292,0.111111111111,0.0006841821360659999
894.0,-791.0,-17658.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,58911.0,ref,davis_besse,ohio,covid,2256792727.77,913559.5812479999,2256896748.29,2257736829.13,2255640585.39,2255774576.84,2257665249.99,4.0,834591108491.0,7.14381720314e-13,0.11112305759600001,0.11083123425699999,262,0.111111111111,0.0013684339586400001
894.0,-791.0,-17658.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,29456.0,ref,davis_besse,ohio,covid,2256755581.11,386553.003265,2256715479.27,2257194906.23,2256396459.65,2256407101.92,2257160202.86,4.0,149423224333.0,7.14381720314e-13,0.11112305759600001,0.11083123425699999,232,0.111111111111,0.0013684339586400001
894.0,-791.0,-17658.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,49093.0,ref,davis_besse,ohio,covid,2256350879.51,2587382.46453,2256327690.91,2259057646.98,2253690489.23,2253833322.77,2258900900.28,4.0,6694548017760.0,7.14381720314e-13,0.11112305759600001,0.11083123425699999,252,0.111111111111,0.0013684339586400001
894.0,-791.0,-17658.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,68730.0,ref,davis_besse,ohio,covid,2256124982.76,2518972.36824,2255780374.53,2259461996.19,2253477185.8,2253737041.28,2258995375.77,4.0,6345221791960.0,7.14381720314e-13,0.111128716457,0.11083123425699999,272,0.111111111111,0.0013685036451500001
894.0,-791.0,-17658.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,39274.0,ref,davis_besse,ohio,covid,2256107445.85,1556003.87846,2255953731.82,2257808922.3,2254713397.47,2254735892.75,2257694198.6,4.0,2421148069770.0,7.14381720314e-13,0.11112305759600001,0.11083123425699999,242,0.111111111111,0.0013684339586400001
894.0,-791.0,-17658.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,19637.0,ref,davis_besse,ohio,covid,2253133258.38,1202054.32601,2253259199.16,2254447645.62,2251566989.59,2251783732.8,2254306466.88,4.0,1444934602670.0,7.14381720314e-13,0.11112305759600001,0.11083123425699999,222,0.111111111111,0.0013684339586400001
894.0,-791.0,-17658.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,9819.0,ref,davis_besse,ohio,covid,2243625952.16,962471.6734459999,2243882327.41,2244488402.51,2242250751.32,2242483581.53,2244409397.44,4.0,926351722185.0,7.14381720314e-13,0.111066468984,0.11083123425699999,212,0.111111111111,0.00136773709356
894.0,-791.0,-17658.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,10.0,ref,davis_besse,ohio,covid,2210253670.25,1782893.7256099998,2210495782.96,2211981350.78,2208041764.28,2208278179.18,2211890203.52,4.0,3178710036810.0,7.14381720314e-13,0.055507769616400006,0.11083123425699999,202,0.111111111111,0.000683554957493
894.0,-879.0,-17658.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,58911.0,ref,davis_besse,ohio,covid,2205870014.8,2329427.51805,2206529119.59,2207828005.98,2202593814.02,2203086746.2,2207730536.68,4.0,5426232561840.0,7.14381720314e-13,0.11112305759600001,0.055415617128499996,261,0.111111111111,0.0006842169793200001
894.0,-879.0,-17658.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,39274.0,ref,davis_besse,ohio,covid,2205139998.65,2088505.5017900001,2204519450.79,2208145626.45,2203375466.58,2203503585.62,2207645178.7,4.0,4361855231010.0,7.14381720314e-13,0.11112305759600001,0.055415617128499996,241,0.111111111111,0.0006842169793200001
894.0,-879.0,-17658.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,68730.0,ref,davis_besse,ohio,covid,2205045279.27,2336951.28249,2205790238.05,2206931653.78,2201668987.19,2202227518.96,2206820097.28,4.0,5461341296750.0,7.14381720314e-13,0.111128716457,0.055415617128499996,271,0.111111111111,0.000684251822574
894.0,-879.0,-17658.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,49093.0,ref,davis_besse,ohio,covid,2204990636.62,2112973.47884,2205804644.87,2206455065.98,2201898190.75,2202420432.95,2206421228.73,4.0,4464656922280.0,7.14381720314e-13,0.11112305759600001,0.055415617128499996,251,0.111111111111,0.0006842169793200001
894.0,-879.0,-17658.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,88367.0,ref,davis_besse,ohio,covid,2204573646.82,2491699.86754,2203811259.48,2208057691.66,2202614376.67,2202664616.06,2207550019.86,4.0,6208568229900.0,7.14381720314e-13,0.0555586993673,0.055415617128499996,291,0.111111111111,0.00034209106803299996
894.0,-879.0,-17658.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,78549.0,ref,davis_besse,ohio,covid,2203384622.99,1231538.2679,2203424507.6,2204589442.76,2202100034.0,2202171199.82,2204542207.71,4.0,1516686505290.0,7.14381720314e-13,0.11112305759600001,0.055415617128499996,281,0.111111111111,0.0006842169793200001
894.0,-879.0,-17658.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,29456.0,ref,davis_besse,ohio,covid,2197243836.28,1337991.85545,2197645703.17,2198363141.23,2195320797.55,2195636541.73,2198288517.18,4.0,1790222205260.0,7.14381720314e-13,0.11112305759600001,0.055415617128499996,231,0.111111111111,0.0006842169793200001
894.0,-614.0,-15441.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,78549.0,ref,davis_besse,ohio,covid,2194915137.71,2121215.3787700003,2195662626.97,2196510161.94,2191825134.98,2192343742.55,2196440047.92,4.0,4499554683150.0,7.14381720314e-13,0.11112305759600001,0.11146095717900001,384,0.111111111111,0.0013762091515899999
894.0,-614.0,-15441.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,58911.0,ref,davis_besse,ohio,covid,2194628054.06,2352219.8709400003,2194201229.27,2197746157.99,2192363599.72,2192514458.46,2197339204.38,4.0,5532938321270.0,7.14381720314e-13,0.11112305759600001,0.11146095717900001,364,0.111111111111,0.0013762091515899999
894.0,-614.0,-15441.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,88367.0,ref,davis_besse,ohio,covid,2194569048.67,2461752.65779,2194712557.24,2196691747.28,2192159332.93,2192245579.77,2196691605.59,4.0,6060226148150.0,7.14381720314e-13,0.0555586993673,0.11146095717900001,394,0.111111111111,0.0006880695345660001
894.0,-614.0,-15441.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,39274.0,ref,davis_besse,ohio,covid,2194272664.05,1881578.4807099998,2194499994.12,2196315545.45,2191775122.5,2192149226.85,2196077839.14,4.0,3540337579070.0,7.14381720314e-13,0.11112305759600001,0.11146095717900001,344,0.111111111111,0.0013762091515899999
894.0,-614.0,-15441.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,49093.0,ref,davis_besse,ohio,covid,2193335852.57,2264258.4227,2193104752.65,2195942200.08,2191191704.88,2191269645.57,2195725599.44,4.0,5126866204750.0,7.14381720314e-13,0.11112305759600001,0.11146095717900001,354,0.111111111111,0.0013762091515899999
894.0,-614.0,-15441.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,68730.0,ref,davis_besse,ohio,covid,2192910890.75,2164565.61779,2193136366.2,2195189594.9,2190181235.7,2190503068.01,2195003047.86,4.0,4685344313700.0,7.14381720314e-13,0.111128716457,0.11146095717900001,374,0.111111111111,0.00137627923404
894.0,-614.0,-15441.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,9819.0,ref,davis_besse,ohio,covid,2192758376.97,3258282.74913,2193872138.4,2195198595.1,2188090635.98,2188822619.06,2195134868.87,4.0,10616406473300.0,7.14381720314e-13,0.111066468984,0.11146095717900001,314,0.111111111111,0.00137550832705
894.0,-614.0,-15441.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,19637.0,ref,davis_besse,ohio,covid,2192652294.49,2347430.90523,2193252006.96,2194798863.72,2189306300.32,2189888349.34,2194576642.18,4.0,5510431854820.0,7.14381720314e-13,0.11112305759600001,0.11146095717900001,324,0.111111111111,0.0013762091515899999
894.0,-614.0,-15441.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,29456.0,ref,davis_besse,ohio,covid,2192636607.81,2906405.15618,2192294800.82,2196458818.65,2189498010.96,2189832159.61,2195919585.8,4.0,8447190931880.0,7.14381720314e-13,0.11112305759600001,0.11146095717900001,334,0.111111111111,0.0013762091515899999
894.0,-879.0,-17658.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,19637.0,ref,davis_besse,ohio,covid,2188755399.22,1944923.68738,2189068944.27,2190479112.51,2186404595.84,2186631451.64,2190440383.74,4.0,3782728149750.0,7.14381720314e-13,0.11112305759600001,0.055415617128499996,221,0.111111111111,0.0006842169793200001
