npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,ProbabilityWeight-meoh_capacity,PointProbability,prefix,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity
1280.0,-1000.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,393333.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2441824122.95,29033077.1914,2441824122.95,2462353608.72,2421294637.19,2423347585.77,2460300660.14,2.0,842919571201000.0,0.125,0.250025424591,1.21200144652e-13,78,0.00781344350374,0.250004767044
1280.0,-600.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2435186557.69,50816740.3156,2435186557.69,2471119419.36,2399253696.01,2402846982.18,2467526133.2,2.0,2582341096310000.0,0.25,0.25,1.21200144652e-13,14,0.00781205308962,0.124992849434
1280.0,-600.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,393333.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2413488274.95,13390105.6374,2413488274.95,2422956509.44,2404020040.45,2404966863.9,2422009685.99,2.0,179294928982000.0,0.25,0.25,1.21200144652e-13,89,0.0156252979403,0.250004767044
1280.0,-200.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,131111.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2403106716.88,25449659.1528,2403106716.88,2421102343.45,2385111090.31,2386910652.97,2419302780.79,2.0,647685150995000.0,0.125,0.124987287705,1.21200144652e-13,50,0.00390577826328,0.249995232956
1280.0,-400.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,524444.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2401849784.44,72423929.5388,2401849784.44,2453061236.14,2350638332.74,2355759477.91,2447940090.97,2.0,5245225569850000.0,0.25,0.25,1.21200144652e-13,119,0.00781264897013,0.125002383522
1280.0,-1000.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2399023509.56,9330818.51443,2399023509.56,2405621394.6,2392425624.51,2393085413.02,2404961606.1,2.0,87064174149300.0,0.125,0.250025424591,1.21200144652e-13,3,0.00390642378131,0.124992849434
1280.0,-1000.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,524444.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2397929944.38,32085335.2325,2397929944.38,2420617702.5,2375242186.26,2377510962.07,2418348926.69,2.0,1029468736980000.0,0.125,0.250025424591,1.21200144652e-13,103,0.00390672175187,0.125002383522
1280.0,-200.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,393333.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2394408590.96,8488643.47327,2394408590.96,2400410968.33,2388406213.6,2389006451.34,2399810730.59,2.0,72057068016400.0,0.125,0.124987287705,1.21200144652e-13,100,0.00390592721826,0.250004767044
1280.0,-600.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2387245840.03,68749264.148,2387245840.03,2435858910.91,2338632769.15,2343494076.24,2430997603.82,2.0,4726461320890000.0,0.25,0.25,1.21200144652e-13,64,0.0156252979403,0.250004767044
1280.0,-400.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,131111.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2343887647.17,110764205.528,2343887647.17,2422209768.01,2265565526.33,2273397738.41,2414377555.93,2.0,1.22687092263e+16,0.25,0.124987287705,1.21200144652e-13,45,0.00781155652656,0.249995232956
1280.0,-800.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2327336456.1,29305162.8723,2327336456.1,2348058335.49,2306614576.71,2308686764.65,2345986147.55,2.0,858792570975000.0,0.25,0.25,1.21200144652e-13,59,0.0156252979403,0.250004767044
1280.0,-400.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2325718516.7,53860952.6937,2325718516.7,2363803961.59,2287633071.81,2291441616.3,2359995417.1,2.0,2901002225070000.0,0.25,0.124987287705,1.21200144652e-13,70,0.00781185443652,0.250004767044
1280.0,-600.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,524444.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2314387154.55,28006613.3899,2314387154.55,2334190820.79,2294583488.3,2296563854.93,2332210454.17,2.0,784370393573000.0,0.25,0.25,1.21200144652e-13,114,0.00781264897013,0.125002383522
1280.0,-200.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2286675476.14,43280216.1769,2286675476.14,2317279210.49,2256071741.79,2259132115.22,2314218837.05,2.0,1873177112320000.0,0.125,0.124987287705,1.21200144652e-13,75,0.00390592721826,0.250004767044
1280.0,-400.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,393333.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2284095408.26,111598836.265,2284095408.26,2363007702.16,2205183114.37,2213074343.76,2355116472.77,2.0,1.24543002557e+16,0.25,0.124987287705,1.21200144652e-13,95,0.00781185443652,0.250004767044
1280.0,-400.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2279057489.91,2448476.3944,2279057489.91,2280788824.17,2277326155.64,2277499289.07,2280615690.74,2.0,5995036653920.0,0.25,0.124987287705,1.21200144652e-13,20,0.0039056293083,0.124992849434
1280.0,-200.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,524444.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2272536487.01,37246054.7713,2272536487.01,2298873424.91,2246199549.11,2248833242.9,2296239731.12,2.0,1387268596020000.0,0.125,0.124987287705,1.21200144652e-13,125,0.00195296360913,0.125002383522
1280.0,-800.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,131111.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2245013512.15,2998488.71316,2245013512.15,2247133763.86,2242893260.45,2243105285.62,2246921738.69,2.0,8990934562940.0,0.25,0.25,1.21200144652e-13,34,0.0156247020597,0.249995232956
1280.0,-800.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2212053775.13,39301056.4274,2212053775.13,2239843818.64,2184263731.62,2187042735.97,2237064814.29,2.0,1544573036310000.0,0.25,0.25,1.21200144652e-13,9,0.00781205308962,0.124992849434
1280.0,-800.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,393333.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2200918114.92,4344287.45385,2200918114.92,2203989990.03,2197846239.8,2198153427.31,2203682802.52,2.0,18872833481700.0,0.25,0.25,1.21200144652e-13,84,0.0156252979403,0.250004767044
1280.0,-800.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,524444.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2185626749.25,88008479.5569,2185626749.25,2247858141.94,2123395356.55,2129618495.82,2241635002.67,2.0,7745492473920000.0,0.25,0.25,1.21200144652e-13,109,0.00781264897013,0.125002383522
1280.0,-400.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,524444.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2184521368.61,20218462.2879,2184521368.61,2198817980.4,2170224756.82,2171654418.0,2197388319.22,2.0,408786217287000.0,0.25,0.124987287705,1.21200144652e-13,120,0.00390592721826,0.125002383522
1280.0,-1000.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,131111.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2147122853.05,26452132.6352,2147122853.05,2165827335.41,2128418370.68,2130288818.92,2163956887.17,2.0,699715320948000.0,0.125,0.25,1.21200144652e-13,29,0.00781235102987,0.249995232956
1280.0,-600.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2125722046.36,10664346.7237,2125722046.36,2133262878.25,2118181214.48,2118935297.66,2132508795.06,2.0,113728291044000.0,0.25,0.124987287705,1.21200144652e-13,65,0.00781185443652,0.250004767044
1280.0,-1000.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,393333.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2123310000.12,62342762.7228,2123310000.12,2167392990.4,2079227009.84,2083635308.87,2162984691.37,2.0,3886620063910000.0,0.125,0.25,1.21200144652e-13,79,0.00781264897013,0.250004767044
1280.0,-600.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,393333.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2113229060.18,67550154.0473,2113229060.18,2160994232.18,2065463888.19,2070240405.39,2156217714.98,2.0,4563023311820000.0,0.25,0.124987287705,1.21200144652e-13,90,0.00781185443652,0.250004767044
1280.0,-1000.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,262222.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2105346946.43,10166461.683,2105346946.43,2112535720.43,2098158172.44,2098877049.84,2111816843.03,2.0,103356943151000.0,0.125,0.25,1.21200144652e-13,54,0.00781264897013,0.250004767044
1280.0,-600.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2086197956.54,54363241.6571,2086197956.54,2124638573.36,2047757339.71,2051601401.4,2120794511.68,2.0,2955362043470000.0,0.25,0.124987287705,1.21200144652e-13,15,0.0039056293083,0.124992849434
1280.0,-600.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,131111.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2051687466.61,31364452.4284,2051687466.61,2073865483.61,2029509449.6,2031727251.3,2071647681.91,2.0,983728876133000.0,0.25,0.124987287705,1.21200144652e-13,40,0.00781155652656,0.249995232956
