smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-ft_capacity,ProbabilityWeight-h2_storage_capacity,PointProbability,ProbabilityWeight,ProbabilityWeight-htse_capacity
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1109227611.0,23918503.2091,-1110729171.63,-1078606020.08,-1136846080.66,-1133285300.34,-1083067736.78,4.0,572094795761000.0,109,0.124990974078,0.249999055196,4.95258127397e-14,0.00782608404535,0.250453720508
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1113304830.28,17775542.4847,-1106063080.48,-1101379820.43,-1139713339.74,-1134861624.67,-1101886485.62,4.0,315969910625000.0,47,0.250018051845,0.125000566882,4.95258127397e-14,0.00779891969886,0.249546279492
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1114314403.24,5788306.64178,-1113051697.87,-1109541352.0,-1121612865.22,-1120817918.59,-1109578675.41,4.0,33504493779300.0,81,0.249981948155,0.249999055196,4.95258127397e-14,0.00782608404535,0.125226860254
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1138295523.81,17456965.0499,-1137666205.1,-1119312593.41,-1158537091.62,-1156676472.81,-1120795620.99,4.0,304745628753000.0,88,0.249981948155,0.250000944804,4.95258127397e-14,0.0155955752144,0.249546279492
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1169519424.43,9692969.92482,-1168854806.88,-1158361256.78,-1182006827.17,-1180111795.37,-1159857518.05,4.0,93953665963500.0,67,0.250018051845,0.250000944804,4.95258127397e-14,0.0155978276082,0.249546279492
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1180070741.45,38028148.108,-1176246332.26,-1143564870.44,-1224225430.81,-1220427403.06,-1145068252.69,4.0,1446140048520000.0,102,0.124990974078,0.124998488314,4.95258127397e-14,0.00389883191784,0.249546279492
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1206271524.79,2929177.46491,-1206878914.19,-1202552509.34,-1208775761.43,-1208726024.38,-1202966680.03,4.0,8580080620960.0,46,0.250018051845,0.125000566882,4.95258127397e-14,0.00391363970343,0.125226860254
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1225984519.36,6731034.81405,-1225730205.9,-1218398823.7,-1234078841.93,-1233204985.28,-1219120092.27,4.0,45306829668000.0,108,0.124990974078,0.249999055196,4.95258127397e-14,0.00779772866837,0.249546279492
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1227571371.87,9761087.25751,-1226417326.23,-1219142739.74,-1238308095.26,-1237568321.28,-1219190086.34,4.0,95278824448700.0,115,0.124990974078,0.250000944804,4.95258127397e-14,0.00391307159924,0.125226860254
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1273587990.76,20582523.8912,-1273188026.8,-1252614899.69,-1295361009.77,-1294038183.07,-1253697748.01,4.0,423640289733000.0,87,0.249981948155,0.250000944804,4.95258127397e-14,0.0155955752144,0.249546279492
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1296702541.29,19919386.826,-1290524076.29,-1280140043.9,-1325621968.69,-1320551401.71,-1281503531.88,4.0,396781971524000.0,94,0.249981948155,0.250000944804,4.95258127397e-14,0.015652286397,0.250453720508
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1301066142.89,12173462.172,-1300862001.13,-1287218024.02,-1315322545.29,-1313899559.43,-1288518524.82,4.0,148193181253000.0,66,0.250018051845,0.250000944804,4.95258127397e-14,0.00782727349068,0.125226860254
720.0,-705.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1332218720.34,14291105.4079,-1335671780.22,-1312830016.41,-1344701304.52,-1344148520.9,-1315454635.96,4.0,204235693778000.0,101,0.124990974078,0.124998488314,4.95258127397e-14,0.00195650474422,0.125226860254
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1336884605.24,1846512.04363,-1337425011.4,-1334229331.01,-1338459067.13,-1338339979.24,-1334672662.6,4.0,3409606727260.0,73,0.250018051845,0.125000566882,4.95258127397e-14,0.00779891969886,0.249546279492
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1389068309.5,14795857.936,-1387213208.81,-1375537738.8,-1406309081.59,-1404825796.19,-1375907963.79,4.0,218917412063000.0,107,0.124990974078,0.249999055196,4.95258127397e-14,0.00779772866837,0.249546279492
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1389632363.67,36512747.3436,-1377773870.42,-1360676711.68,-1442305002.15,-1433714552.43,-1362152065.44,4.0,1333180718580000.0,114,0.124990974078,0.250000944804,4.95258127397e-14,0.00782614319848,0.250453720508
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1429498173.19,25476251.5682,-1426701055.91,-1404477607.13,-1460112973.82,-1457136370.82,-1405775939.76,4.0,649039393966000.0,86,0.249981948155,0.250000944804,4.95258127397e-14,0.00782614319848,0.125226860254
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1432679545.59,22304442.4622,-1437675886.78,-1401297117.98,-1454069290.82,-1451652659.72,-1406711553.79,4.0,497488153552000.0,93,0.249981948155,0.250000944804,4.95258127397e-14,0.0155955752144,0.249546279492
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1460775699.91,8223074.21131,-1458081377.52,-1454186033.82,-1472754010.79,-1470680150.46,-1454643300.72,4.0,67618949484800.0,72,0.250018051845,0.125000566882,4.95258127397e-14,0.00779891969886,0.249546279492
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1520295313.41,6749775.56015,-1521959527.01,-1510733480.92,-1526528718.69,-1525941427.47,-1512319300.3,4.0,45559470112400.0,120,0.124990974078,0.250000944804,4.95258127397e-14,0.00391307159924,0.125226860254
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1546702457.89,38236473.0429,-1545823841.43,-1507192278.45,-1587969870.25,-1585198383.98,-1509436594.84,4.0,1462027870760000.0,113,0.124990974078,0.250000944804,4.95258127397e-14,0.00779778760718,0.249546279492
720.0,-705.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1549585358.45,13030221.356,-1549409748.5,-1533943083.19,-1565578853.61,-1563468588.99,-1535947981.84,4.0,169786668587000.0,106,0.124990974078,0.249999055196,4.95258127397e-14,0.00391304202267,0.125226860254
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1556092384.16,23197313.1253,-1548648726.85,-1537471238.83,-1589600844.1,-1584076183.04,-1538529705.51,4.0,538115336235000.0,92,0.249981948155,0.250000944804,4.95258127397e-14,0.0155955752144,0.249546279492
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1588688058.61,9418902.3153,-1585447432.85,-1581433366.95,-1602424001.78,-1600085285.83,-1581827707.46,4.0,88715720825200.0,71,0.250018051845,0.125000566882,4.95258127397e-14,0.00391363970343,0.125226860254
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1601058032.96,24660056.8816,-1595051398.73,-1579501660.01,-1634627674.37,-1630035378.11,-1580489975.74,4.0,608118405402000.0,99,0.249981948155,0.125000566882,4.95258127397e-14,0.0078261491138,0.250453720508
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1689433623.29,23224527.427,-1688428792.8,-1662625681.84,-1718251225.74,-1714646027.3,-1665627981.98,4.0,539378674208000.0,112,0.124990974078,0.250000944804,4.95258127397e-14,0.00779778760718,0.249546279492
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1694352765.25,10338231.243,-1695519176.39,-1681068659.17,-1705304049.08,-1704328331.37,-1682744223.56,4.0,106879025234000.0,91,0.249981948155,0.250000944804,4.95258127397e-14,0.00782614319848,0.125226860254
