smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-ft_capacity,ProbabilityWeight-h2_storage_capacity,prefix,ProbabilityWeight,PointProbability,ProbabilityWeight-htse_capacity
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-886822445.381,258117.406651,-886929945.135,-886437832.718,-886992058.538,-886983602.358,-886510788.75,4.0,66624595616.1,0.250018051845,0.125002976198,71,0.00391371513664,3.46688419418e-13,0.125226860254
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1063729828.14,371603.317102,-1063760375.14,-1063259996.47,-1064138565.8,-1064098470.49,-1063318419.98,4.0,138089025281.0,0.249981948155,0.12498974865,79,0.00782547179608,3.46688419418e-13,0.250453720508
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1079512223.42,756761.173604,-1079372271.37,-1078866827.78,-1080437523.14,-1080345333.15,-1078875046.54,4.0,572687473875.0,0.249981948155,0.249992724848,84,0.0156517717545,3.46688419418e-13,0.250453720508
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1096242670.21,319088.864438,-1096141107.89,-1095981045.13,-1096707419.93,-1096624549.74,-1096002977.93,4.0,101817703408.0,0.249981948155,0.250007275152,89,0.0156526827331,3.46688419418e-13,0.250453720508
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1113635335.46,809388.355373,-1113566207.71,-1112910660.89,-1114498265.52,-1114446304.21,-1112921145.55,4.0,655109509813.0,0.249981948155,0.250007275152,94,0.0156526827331,3.46688419418e-13,0.250453720508
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1131577292.71,489818.191374,-1131456128.84,-1131187286.25,-1132209626.91,-1132136068.54,-1131188146.3,4.0,239921860601.0,0.249981948155,0.125002976198,99,0.00782629995845,3.46688419418e-13,0.250453720508
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1188974614.61,324037.562136,-1188891403.02,-1188679692.25,-1189435960.17,-1189358150.2,-1188707575.27,4.0,105000341675.0,0.249981948155,0.249992724848,83,0.0155950624366,3.46688419418e-13,0.249546279492
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1190150154.29,512874.571692,-1190058500.6,-1189704842.08,-1190778773.87,-1190715589.48,-1189713034.26,4.0,263040326288.0,0.249981948155,0.12498974865,78,0.0077971186374,3.46688419418e-13,0.249546279492
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1207975315.21,459189.99192,-1208036104.2,-1207388854.22,-1208440198.23,-1208406651.34,-1207458874.5,4.0,210855448679.0,0.249981948155,0.250007275152,88,0.0155959701145,3.46688419418e-13,0.249546279492
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1226820162.53,446460.291351,-1226801019.88,-1226296692.08,-1227381918.27,-1227304064.55,-1226363060.22,4.0,199326791753.0,0.249981948155,0.250007275152,93,0.0155959701145,3.46688419418e-13,0.249546279492
