cfYears,smr_smrCAPEX_CashFlow,smr_smrCAPEX_depreciation,smr_smrCAPEX_depreciation_tax_credit,smr_smrVOM_CashFlow,htse_htseCAPEX_CashFlow,htse_htseCAPEX_depreciation,htse_htseCAPEX_depreciation_tax_credit,htse_htseFOM_CashFlow,htse_htseVOM_CashFlow,htse_htseELEC_CAP_MARKET_CashFlow,ft_ftCAPEX_CashFlow,ft_ftCAPEX_depreciation,ft_ftCAPEX_depreciation_tax_credit,ft_ftFOM_CashFlow,ft_ftVOM_CashFlow,ft_co2_shipping_CashFlow,ft_h2_ptc_CashFlow,ft_elec_consumption_ftELEC_CAP_MARKET_CashFlow,electricity_market_e_sales_CashFlow,naphtha_market_naphtha_sales_CashFlow,jet_fuel_market_jet_fuel_sales_CashFlow,diesel_market_diesel_sales_CashFlow,h2_storage_storageCAPEX_CashFlow,h2_storage_storageCAPEX_depreciation,h2_storage_storageCAPEX_depreciation_tax_credit,h2_import_h2IMPORTS_CashFlow,h2_export_h2EXPORTS_CashFlow
10,0.0,-97210033.4272,133475262.155,-106569983.232,0.0,-16578208.2252,22762883.7363,-21378632.0,-12572382.3638,-19695875.595,0.0,-6934150.08216,9521007.93926,-21732221.0,-5564217.0981,-15311576.9573,407166552.0,-416208.405,15409212.3332,15188038.6998,49173463.6112,24546688.936,0.0,-1052026.72759,1444496.39928,0.0,0.0
11,0.0,-95297314.7345,130848983.571,-106569983.232,0.0,-16252012.9998,22314997.9401,-21378632.0,-12576486.5718,-19695875.595,0.0,-6797712.74116,9333671.20851,-21732221.0,-5564217.0981,-15311576.9573,0.0,-416208.405,15143940.401,15983811.077,48937999.9641,24478653.9183,0.0,-1031326.89738,1416074.27898,0.0,0.0
12,0.0,-93106348.7601,127840654.62,-106569983.232,0.0,-15878365.4569,21801957.2386,-21378632.0,-12569976.1234,-19695875.595,0.0,-6641427.56815,9119082.2026,-21732221.0,-5564217.0981,-15311576.9573,0.0,-416208.405,14618560.5126,16381265.4486,50528353.3123,24890139.1885,0.0,-1007615.81856,1383517.53201,0.0,0.0
13,0.0,-91274374.761,125325243.39,-106569983.232,0.0,-15565940.4391,21372978.7713,-21378632.0,-12583532.3624,-19695875.595,0.0,-6510749.87772,8939653.82084,-21732221.0,-5564217.0981,-15311576.9573,0.0,-416208.405,18698598.0521,16729986.769,51208502.4561,25035655.9014,0.0,-987789.823824,1356295.24073,0.0,0.0
14,0.0,-89175899.5837,122443909.905,-106569983.232,0.0,-15208066.2854,20881595.8882,-21378632.0,-12578985.733,-19695875.595,0.0,-6361062.22398,8734123.60837,-21732221.0,-5564217.0981,-15311576.9573,0.0,-416208.405,16553449.0416,16913181.4031,51579169.6919,25162348.7087,0.0,-965079.699201,1325112.86448,0.0,0.0
15,0.0,-87421261.6718,120034685.805,-106569983.232,0.0,-14908830.1712,20470726.5841,-21378632.0,-12580512.3356,-19695875.595,0.0,-6235901.04264,8562269.72765,-21732221.0,-5564217.0981,-15311576.9573,0.0,-416208.405,14454001.297,17189671.5184,52227531.8525,25203560.5293,0.0,-946090.651306,1299039.7519,0.0,0.0
16,0.0,-42705686.4138,58637493.3596,-106569983.232,0.0,-7283031.76953,10000043.6215,-21378632.0,-12558272.2558,-19695875.595,0.0,-3046266.1982,4182707.94755,-21732221.0,-5564217.0981,-15311576.9573,0.0,-416208.405,55252454.2935,17322251.5162,52638012.1925,25346019.8964,0.0,-462169.612987,634586.863912,0.0,0.0
17,0.0,0.0,0.0,-106569983.232,0.0,0.0,0.0,-21378632.0,-12581437.5165,-19695875.595,0.0,0.0,0.0,-21732221.0,-5564217.0981,-15311576.9573,0.0,-416208.405,24207744.3038,17565187.1505,53354876.9633,25606606.1364,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,-106569983.232,0.0,0.0,0.0,-21378632.0,-12580415.8383,-19695875.595,0.0,0.0,0.0,-21732221.0,-5564217.0981,-15311576.9573,0.0,-416208.405,14693600.5694,17784403.9846,54284201.3519,25933866.82,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,-106569983.232,0.0,0.0,0.0,-21378632.0,-12575100.074,-19695875.595,0.0,0.0,0.0,-21732221.0,-5564217.0981,-15311576.9573,0.0,-416208.405,15134041.5809,18155770.6542,54940711.4651,26130621.3007,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,-106569983.232,0.0,0.0,0.0,-21378632.0,-12572129.3472,-19695875.595,0.0,0.0,0.0,-21732221.0,-5564217.0981,-15311576.9573,0.0,-416208.405,14903365.364,18156558.4833,55280784.1911,26234403.7452,0.0,0.0,0.0,0.0,0.0
