npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-meoh_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight,prefix,PointProbability
894.0,-894.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,234427.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,828363104.85,250502.506908,828363104.85,828540236.871,828185972.829,828203686.031,828522523.669,2.0,62751505967.1,0.249985591609,0.249997067283,0.124645892351,0.00778982790274,29,8.705791516489999e-14
894.0,-365.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,468853.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,804978168.333,819000.480077,804978168.333,805557289.126,804399047.539,804456959.619,805499377.047,2.0,670761786366.0,0.125007204196,0.250002399496,0.25,0.0078130252508,70,8.705791516489999e-14
894.0,-718.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,703280.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,794043114.48,951887.805698,794043114.48,794716200.802,793370028.157,793437336.789,794648892.17,2.0,906090394636.0,0.249985591609,0.250002932717,0.25,0.0156242827598,84,8.705791516489999e-14
894.0,-188.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,937707.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,783785848.588,1191044.29153,783785848.588,784628044.083,782943653.093,783027872.642,784543824.534,2.0,1418586504380.0,0.125007204196,0.125001466359,0.125354107649,0.00195879379453,125,8.705791516489999e-14
894.0,-541.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,778199463.856,4725965.87815,778199463.856,781541226.376,774857701.335,775191877.587,781207050.124,2.0,22334753481500.0,0.125007204196,0.124996134146,0.25,0.00390635431621,15,8.705791516489999e-14
894.0,-541.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,234427.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,739749410.89,2291516.4851,739749410.89,741369757.736,738129064.045,738291098.729,741207723.052,2.0,5251047801500.0,0.125007204196,0.249997067283,0.25,0.00781285860954,40,8.705791516489999e-14
894.0,-894.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,468853.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,725628756.739,5783742.40181,725628756.739,729718480.212,721539033.266,721948005.614,729309507.865,2.0,33451676170500.0,0.249985591609,0.250002399496,0.124645892351,0.00778999405277,54,8.705791516489999e-14
894.0,-365.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,703280.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,720397483.755,1579397.20599,720397483.755,721514286.23,719280681.281,719392361.528,721402605.982,2.0,2494495534280.0,0.125007204196,0.250002932717,0.25,0.00781304191492,95,8.705791516489999e-14
894.0,-718.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,937707.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,707073065.249,2541295.89118,707073065.249,708870032.806,705276097.691,705455794.447,708690336.05,2.0,6458184806550.0,0.249985591609,0.125001466359,0.25,0.00781214137989,109,8.705791516489999e-14
894.0,-894.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,703280.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,628094164.249,300539.746003,628094164.249,628306677.941,627881650.556,627902901.926,628285426.572,2.0,90324138927.7,0.249985591609,0.250002932717,0.124645892351,0.00779001066777,79,8.705791516489999e-14
894.0,-541.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,468853.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,625979070.024,1055503.54625,625979070.024,626725423.739,625232716.309,625307351.68,626650788.367,2.0,1114087736140.0,0.125007204196,0.250002399496,0.25,0.0078130252508,65,8.705791516489999e-14
894.0,-365.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,937707.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,619756613.83,3622057.5648,619756613.83,622317795.296,617195432.364,617451550.511,622061677.149,2.0,13119301002700.0,0.125007204196,0.125001466359,0.25,0.00390652095746,120,8.705791516489999e-14
894.0,-718.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,602825299.022,6658259.67938,602825299.022,607533399.592,598117198.452,598588008.509,607062589.535,2.0,44332421958000.0,0.125007204196,0.124996134146,0.25,0.00390635431621,10,8.705791516489999e-14
894.0,-718.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,234427.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,566757874.568,858866.285881,566757874.568,567365184.743,566150564.393,566211295.41,567304453.725,2.0,737651297022.0,0.125007204196,0.249997067283,0.25,0.00781285860954,35,8.705791516489999e-14
894.0,-894.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,937707.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,531662766.68,2285642.9889,531662766.68,533278960.337,530046573.023,530208192.389,533117340.971,2.0,5224163872730.0,0.249985591609,0.125001466359,0.124645892351,0.00389500533388,104,8.705791516489999e-14
894.0,-541.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,703280.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,529455939.528,7066461.17222,529455939.528,534452682.141,524459196.914,524958871.175,533953007.88,2.0,49934873498500.0,0.125007204196,0.250002932717,0.25,0.00781304191492,90,8.705791516489999e-14
894.0,-718.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,468853.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,454297666.768,3253765.27028,454297666.768,456598426.255,451996907.281,452226983.23,456368350.307,2.0,10586988434100.0,0.125007204196,0.250002399496,0.25,0.0078130252508,60,8.705791516489999e-14
894.0,-541.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,937707.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,428036962.131,210331.085283,428036962.131,428185688.667,427888235.594,427903108.248,428170816.014,2.0,44239165436.2,0.125007204196,0.125001466359,0.25,0.00390652095746,115,8.705791516489999e-14
