smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight,PointProbability,prefix,ProbabilityWeight-meoh_capacity
960.0,-415.6,-7355.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2743296979.67,507285.930436,-2743296979.67,-2742938274.35,-2743655684.99,-2743619814.46,-2742974144.88,2.0,257339015218.0,0.142848837209,0.0714206061936,0.00145747864965,9.835748238069999e-14,38,0.142857142857
960.0,-169.9,-4268.5,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2758514911.46,20395997.8696,-2758514911.46,-2744092763.06,-2772937059.87,-2771494845.03,-2745534977.9,2.0,415996729097000.0,0.142848837209,0.0714206061936,0.00145747864965,9.835748238069999e-14,55,0.142857142857
960.0,-538.4,-7355.9,-1e+200,-1e+200,-1e+200,-1e+200,78147.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2765382332.15,5432638.6976,-2765382332.15,-2761540876.48,-2769223787.81,-2768839642.24,-2761925022.05,2.0,29513563218700.0,0.142848837209,0.142850352821,0.00291514382791,9.835748238069999e-14,94,0.142857142857
960.0,-784.1,-10443.3,-1e+200,-1e+200,-1e+200,-1e+200,156294.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2800321360.28,28815915.2522,-2800321360.28,-2779945431.2,-2820697289.36,-2818659696.45,-2781983024.11,2.0,830356971823000.0,0.142848837209,0.142859493254,0.00291533035653,9.835748238069999e-14,141,0.142857142857
960.0,-292.7,-4268.5,-1e+200,-1e+200,-1e+200,-1e+200,78147.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2807815597.46,81855082.3857,-2807815597.46,-2749935313.63,-2865695881.29,-2859907852.9,-2755723342.01,2.0,6700254512370000.0,0.142848837209,0.142850352821,0.00291514382791,9.835748238069999e-14,111,0.142857142857
960.0,-415.6,-7355.9,-1e+200,-1e+200,-1e+200,-1e+200,156294.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2815585042.26,42689117.0278,-2815585042.26,-2785399278.13,-2845770806.39,-2842752229.98,-2788417854.54,2.0,1822360712610000.0,0.142848837209,0.142859493254,0.00291533035653,9.835748238069999e-14,166,0.142857142857
960.0,-169.9,-4268.5,-1e+200,-1e+200,-1e+200,-1e+200,78147.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2818773561.45,19594035.8201,-2818773561.45,-2804918485.85,-2832628637.05,-2831243129.49,-2806303993.41,2.0,383926239720000.0,0.142848837209,0.142850352821,0.00291514382791,9.835748238069999e-14,119,0.142857142857
960.0,-784.1,-10443.3,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2877442017.28,19446133.591,-2877442017.28,-2863691524.35,-2891192510.21,-2889817460.92,-2865066573.64,2.0,378152111638000.0,0.142848837209,0.0714206061936,0.00145747864965,9.835748238069999e-14,13,0.142857142857
960.0,-538.4,-7355.9,-1e+200,-1e+200,-1e+200,-1e+200,156294.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2880723624.2,21537551.8958,-2880723624.2,-2865494275.2,-2895952973.19,-2894430038.29,-2867017210.1,2.0,463866141664000.0,0.142848837209,0.142859493254,0.00291533035653,9.835748238069999e-14,158,0.142857142857
960.0,-907.0,-10443.3,-1e+200,-1e+200,-1e+200,-1e+200,156294.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2884334541.56,1971083.12191,-2884334541.56,-2882940775.32,-2885728307.8,-2885588931.18,-2883080151.94,2.0,3885168673480.0,0.0714534883721,0.142859493254,0.00145825844858,9.835748238069999e-14,133,0.142857142857
960.0,-47.0,-1181.1,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2886604837.65,27435429.7931,-2886604837.65,-2867205059.2,-2906004616.1,-2904064638.25,-2869145037.04,2.0,752702807931000.0,0.0714534883721,0.0714206061936,0.000364517961013,9.835748238069999e-14,64,0.0714285714286
960.0,-538.4,-7355.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2892509142.76,18674963.2271,-2892509142.76,-2879303949.63,-2905714335.9,-2904393816.59,-2880624468.94,2.0,348754251535000.0,0.142848837209,0.0714206061936,0.00145747864965,9.835748238069999e-14,30,0.142857142857
960.0,-292.7,-4268.5,-1e+200,-1e+200,-1e+200,-1e+200,156294.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2915418406.02,66003517.8654,-2915418406.02,-2868746870.96,-2962089941.09,-2957422787.58,-2873414024.47,2.0,4356464370610000.0,0.142848837209,0.142859493254,0.00291533035653,9.835748238069999e-14,175,0.142857142857
960.0,-47.0,-1181.1,-1e+200,-1e+200,-1e+200,-1e+200,78147.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2917442260.12,53450366.9546,-2917442260.12,-2879647143.19,-2955237377.05,-2951457865.36,-2883426654.88,2.0,2856941727590000.0,0.0714534883721,0.142850352821,0.000729082573159,9.835748238069999e-14,128,0.0714285714286
960.0,-907.0,-10443.3,-1e+200,-1e+200,-1e+200,-1e+200,78147.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2921966555.26,3575403.60677,-2921966555.26,-2919438363.12,-2924494747.4,-2924241928.18,-2919691182.34,2.0,12783510951300.0,0.0714534883721,0.142850352821,0.00145816514632,9.835748238069999e-14,69,0.142857142857
960.0,-292.7,-4268.5,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2931970522.48,49710660.3329,-2931970522.48,-2896819777.46,-2967121267.5,-2963606193.0,-2900334851.96,2.0,2471149750730000.0,0.142848837209,0.0714206061936,0.00145747864965,9.835748238069999e-14,47,0.142857142857
960.0,-169.9,-1181.1,-1e+200,-1e+200,-1e+200,-1e+200,78147.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2960879478.79,99918960.7944,-2960879478.79,-2890226104.05,-3031532853.54,-3024467516.07,-2897291441.52,2.0,9983798726230000.0,0.142848837209,0.142850352821,0.00145757191396,9.835748238069999e-14,120,0.0714285714286
960.0,-415.6,-4268.5,-1e+200,-1e+200,-1e+200,-1e+200,78147.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2974256676.43,53447153.1291,-2974256676.43,-2936463832.01,-3012049520.84,-3008270236.4,-2940243116.45,2.0,2856598177610000.0,0.142848837209,0.142850352821,0.00291514382791,9.835748238069999e-14,103,0.142857142857
960.0,-661.3,-7355.9,-1e+200,-1e+200,-1e+200,-1e+200,156294.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2976875130.97,21806851.0479,-2976875130.97,-2961455358.72,-2992294903.23,-2990752926.0,-2962997335.95,2.0,475538752626000.0,0.142848837209,0.142859493254,0.00291533035653,9.835748238069999e-14,150,0.142857142857
960.0,-661.3,-7355.9,-1e+200,-1e+200,-1e+200,-1e+200,78147.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-2991175962.77,3241167.04322,-2991175962.77,-2988884111.57,-2993467813.96,-2993238628.84,-2989113296.69,2.0,10505163802100.0,0.142848837209,0.142850352821,0.00291514382791,9.835748238069999e-14,86,0.142857142857
960.0,-907.0,-10443.3,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-3009911978.49,41200009.3232,-3009911978.49,-2980779172.51,-3039044784.47,-3036131503.87,-2983692453.11,2.0,1697440768230000.0,0.0714534883721,0.0714206061936,0.000729035922026,9.835748238069999e-14,5,0.142857142857
960.0,-415.6,-4268.5,-1e+200,-1e+200,-1e+200,-1e+200,156294.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-3018974568.3,15978233.9631,-3018974568.3,-3007676250.72,-3030272885.89,-3029143054.13,-3008806082.48,2.0,255303960579000.0,0.142848837209,0.142859493254,0.00291533035653,9.835748238069999e-14,167,0.142857142857
960.0,-169.9,-1181.1,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-3035800517.8,59612774.6862,-3035800517.8,-2993647920.57,-3077953115.03,-3073737855.3,-2997863180.3,2.0,3553682905790000.0,0.142848837209,0.0714206061936,0.000728739324824,9.835748238069999e-14,56,0.0714285714286
960.0,-661.3,-7355.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-3049216229.25,24773181.5956,-3049216229.25,-3031698944.56,-3066733513.95,-3064981785.48,-3033450673.03,2.0,613710526369000.0,0.142848837209,0.0714206061936,0.00145747864965,9.835748238069999e-14,22,0.142857142857
960.0,-415.6,-4268.5,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-3057531763.47,121034378.32,-3057531763.47,-2971947533.8,-3143115993.14,-3134557570.17,-2980505956.77,2.0,1.46493207353e+16,0.142848837209,0.0714206061936,0.00145747864965,9.835748238069999e-14,39,0.142857142857
960.0,-784.1,-7355.9,-1e+200,-1e+200,-1e+200,-1e+200,156294.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-3061693544.56,8343737.29492,-3061693544.56,-3055793631.34,-3067593457.78,-3067003466.46,-3056383622.66,2.0,69617952046700.0,0.142848837209,0.142859493254,0.00291533035653,9.835748238069999e-14,142,0.142857142857
960.0,-784.1,-7355.9,-1e+200,-1e+200,-1e+200,-1e+200,78147.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-3068487342.96,4934183.26899,-3068487342.96,-3064998348.52,-3071976337.41,-3071627437.97,-3065347247.96,2.0,24346164532000.0,0.142848837209,0.142850352821,0.00291514382791,9.835748238069999e-14,78,0.142857142857
960.0,-292.7,-1181.1,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-3173590992.23,26871992.8681,-3173590992.23,-3154589623.85,-3192592360.61,-3190692223.78,-3156489760.69,2.0,722104000703000.0,0.142848837209,0.0714206061936,0.000728739324824,9.835748238069999e-14,48,0.0714285714286
960.0,-538.4,-4268.5,-1e+200,-1e+200,-1e+200,-1e+200,78147.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-3178917297.28,40326184.3208,-3178917297.28,-3150402378.89,-3207432215.67,-3204580723.83,-3153253870.73,2.0,1626201141870000.0,0.142848837209,0.142850352821,0.00291514382791,9.835748238069999e-14,95,0.142857142857
960.0,-907.0,-7355.9,-1e+200,-1e+200,-1e+200,-1e+200,78147.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-3180060807.16,28088875.3386,-3180060807.16,-3160198972.93,-3199922641.39,-3197936457.96,-3162185156.35,2.0,788984917790000.0,0.0714534883721,0.142850352821,0.00145816514632,9.835748238069999e-14,70,0.142857142857
960.0,-538.4,-4268.5,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-3184469469.76,53310051.8488,-3184469469.76,-3146773570.59,-3222165368.93,-3218395779.01,-3150543160.51,2.0,2841961628120000.0,0.142848837209,0.0714206061936,0.00145747864965,9.835748238069999e-14,31,0.142857142857
960.0,-784.1,-7355.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-3193403716.35,11846733.3026,-3193403716.35,-3185026810.9,-3201780621.81,-3200942931.26,-3185864501.44,2.0,140345089943000.0,0.142848837209,0.0714206061936,0.00145747864965,9.835748238069999e-14,14,0.142857142857
960.0,-292.7,-1181.1,-1e+200,-1e+200,-1e+200,-1e+200,156294.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-3205224034.44,11228730.7258,-3205224034.44,-3197284122.8,-3213163946.08,-3212369954.92,-3198078113.97,2.0,126084393713000.0,0.142848837209,0.142859493254,0.00145766517826,9.835748238069999e-14,176,0.0714285714286
960.0,-538.4,-4268.5,-1e+200,-1e+200,-1e+200,-1e+200,156294.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-3238036992.22,45282657.5699,-3238036992.22,-3206017317.98,-3270056666.46,-3266854699.03,-3209219285.41,2.0,2050519076590000.0,0.142848837209,0.142859493254,0.00291533035653,9.835748238069999e-14,159,0.142857142857
960.0,-292.7,-1181.1,-1e+200,-1e+200,-1e+200,-1e+200,78147.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-3260484719.45,30512689.125,-3260484719.45,-3238908990.06,-3282060448.85,-3279902875.91,-3241066563.0,2.0,931024197640000.0,0.142848837209,0.142850352821,0.00145757191396,9.835748238069999e-14,112,0.0714285714286
960.0,-907.0,-7355.9,-1e+200,-1e+200,-1e+200,-1e+200,156294.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-3265445496.14,58360586.0121,-3265445496.14,-3224178330.02,-3306712662.26,-3302585945.65,-3228305046.63,2.0,3405957999670000.0,0.0714534883721,0.142859493254,0.00145825844858,9.835748238069999e-14,134,0.142857142857
960.0,-415.6,-1181.1,-1e+200,-1e+200,-1e+200,-1e+200,78147.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-3290300016.53,41469077.9433,-3290300016.53,-3260976950.31,-3319623082.75,-3316690776.13,-3263909256.93,2.0,1719684425460000.0,0.142848837209,0.142850352821,0.00145757191396,9.835748238069999e-14,104,0.0714285714286
960.0,-661.3,-4268.5,-1e+200,-1e+200,-1e+200,-1e+200,78147.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-3320854165.06,63619542.2802,-3320854165.06,-3275868355.29,-3365839974.82,-3361341393.84,-3280366936.27,2.0,4047446159940000.0,0.142848837209,0.142850352821,0.00291514382791,9.835748238069999e-14,87,0.142857142857
