npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-htse_capacity,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,PointProbability,ProbabilityWeight-meoh_capacity
769.0,-174.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,403298.0,1e+200,-1e+200,ref,cooper,nebraska,covid,865470958.076,1269959.72069,865470958.076,866368955.206,864572960.946,864662760.659,866279155.493,2.0,1612797692190.0,125,0.125210084034,0.00195606428571,0.125003719426,2.85069050095e-13,0.124974348451
769.0,-323.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,100824.0,1e+200,-1e+200,ref,cooper,nebraska,covid,845673864.812,44773163.4584,845673864.812,877333272.308,814014457.315,817180398.065,874167331.559,2.0,2004636166070000.0,45,0.250420168067,0.0078238303299,0.249993800956,2.85069050095e-13,0.124974348451
769.0,-323.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,201649.0,1e+200,-1e+200,ref,cooper,nebraska,covid,840046580.31,16769336.5275,840046580.31,851904291.885,828188868.736,829374639.893,850718520.728,2.0,281210647574000.0,70,0.250420168067,0.00782421834166,0.250006199044,2.85069050095e-13,0.124974348451
769.0,-769.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,201649.0,1e+200,-1e+200,ref,cooper,nebraska,covid,826985492.39,25743787.6653,826985492.39,845189099.222,808781885.559,810602246.242,843368738.539,2.0,662742603357000.0,54,0.125210084034,0.00782528897909,0.250006199044,2.85069050095e-13,0.249982898967
769.0,-769.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,815751177.691,25746118.0009,815751177.691,833956432.318,797545923.063,799366448.526,832135906.856,2.0,662862592115000.0,4,0.125210084034,0.00391223702145,0.12499008153,2.85069050095e-13,0.249982898967
769.0,-769.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,302473.0,1e+200,-1e+200,ref,cooper,nebraska,covid,773261891.088,41979272.75,773261891.088,802945719.519,743578062.658,746546445.501,799977336.676,2.0,1762259340620000.0,79,0.125210084034,0.00782528897909,0.250006199044,2.85069050095e-13,0.249982898967
769.0,-769.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,403298.0,1e+200,-1e+200,ref,cooper,nebraska,covid,760065630.002,1923536.03065,760065630.002,761425775.373,758705484.631,758841499.168,761289760.836,2.0,3699990861210.0,104,0.125210084034,0.00391266389279,0.125003719426,2.85069050095e-13,0.249982898967
769.0,-323.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,403298.0,1e+200,-1e+200,ref,cooper,nebraska,covid,756032053.399,4282550.42036,756032053.399,759060273.842,753003832.956,753306655.0,758757451.798,2.0,18340238102900.0,120,0.250420168067,0.00391212857142,0.125003719426,2.85069050095e-13,0.124974348451
769.0,-472.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,100824.0,1e+200,-1e+200,ref,cooper,nebraska,covid,720115044.204,44801789.5516,720115044.204,751794693.405,688435395.003,691603359.923,748626728.485,2.0,2007200347030000.0,40,0.249579831933,0.0077975758657,0.249993800956,2.85069050095e-13,0.124974348451
769.0,-472.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,713126717.628,19447825.2667,713126717.628,726878406.753,699375028.502,700750197.415,725503237.841,2.0,378217907602000.0,15,0.249579831933,0.00389857524251,0.12499008153,2.85069050095e-13,0.124974348451
