npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight-meoh_capacity,prefix,ProbabilityWeight-htse_capacity,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity
1193.0,-900.0,-19333.0,-1e+200,-1e+200,-1e+200,-1e+200,257778.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2366110979.58,545970.32512,2366110979.58,2366497038.9,2365724920.26,2365763526.19,2366458432.97,2.0,298083595911.0,4.4039662692699996e-14,0.111103448276,213,0.111111111111,0.00137166051669,0.11111216476
1193.0,-1000.0,-24167.0,-1e+200,-1e+200,-1e+200,-1e+200,1031111.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2364283736.01,1975220.8829,2364283736.01,2365680428.09,2362887043.93,2363026713.13,2365540758.88,2.0,3901497536230.0,4.4039662692699996e-14,0.0555632183908,801,0.0555555555556,0.000342986082024,0.11111216476
1193.0,-700.0,-16917.0,-1e+200,-1e+200,-1e+200,-1e+200,128889.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2360002251.24,1729987.29321,2360002251.24,2361225536.99,2358778965.49,2358901294.07,2361103208.41,2.0,2992856034660.0,4.4039662692699996e-14,0.111103448276,134,0.111111111111,0.00137160730577,0.111107854378
1193.0,-1000.0,-19333.0,-1e+200,-1e+200,-1e+200,-1e+200,128889.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2341791561.8,4240997.61303,2341791561.8,2344790399.97,2338792723.63,2339092607.45,2344490516.16,2.0,17986060753700.0,4.4039662692699996e-14,0.111103448276,103,0.0555555555556,0.000685803652885,0.111107854378
1193.0,-900.0,-21750.0,-1e+200,-1e+200,-1e+200,-1e+200,773333.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2341517792.02,1911118.474,2341517792.02,2342869156.85,2340166427.19,2340301563.67,2342734020.37,2.0,3652373821660.0,4.4039662692699996e-14,0.111126436782,612,0.111111111111,0.0013719443281,0.11111216476
1193.0,-1000.0,-21750.0,-1e+200,-1e+200,-1e+200,-1e+200,644444.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2333766671.11,3995319.44075,2333766671.11,2336591788.58,2330941553.64,2331224065.38,2336309276.83,2.0,15962577433600.0,4.4039662692699996e-14,0.111126436782,502,0.0555555555556,0.000685969502952,0.111111733722
1193.0,-800.0,-19333.0,-1e+200,-1e+200,-1e+200,-1e+200,515556.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2325192783.53,1294531.85163,2325192783.53,2326108155.78,2324277411.28,2324368948.51,2326016618.56,2.0,1675812714870.0,4.4039662692699996e-14,0.111103448276,423,0.111111111111,0.0013716551956,0.111111733722
1193.0,-1000.0,-24167.0,-1e+200,-1e+200,-1e+200,-1e+200,1160000.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2315302966.82,85293.4246575,2315302966.82,2315363278.38,2315242655.26,2315248686.41,2315357247.22,2.0,7274968289.8,4.4039662692699996e-14,0.0555632183908,901,0.0555555555556,0.000171493041012,0.05555608238
1193.0,-900.0,-19333.0,-1e+200,-1e+200,-1e+200,-1e+200,386667.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2313840816.56,5713018.46412,2313840816.56,2317880530.66,2309801102.47,2310205073.88,2317476559.25,2.0,32638579971400.0,4.4039662692699996e-14,0.111103448276,313,0.111111111111,0.00137166051669,0.11111216476
1193.0,-1000.0,-19333.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2308726591.47,4576185.27488,2308726591.47,2311962443.11,2305490739.83,2305814324.99,2311638857.94,2.0,20941471670100.0,4.4039662692699996e-14,0.111103448276,3,0.0555555555556,0.000342888523712,0.055551771998
1193.0,-700.0,-16917.0,-1e+200,-1e+200,-1e+200,-1e+200,257778.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2305916288.83,912664.326485,2305916288.83,2306561639.97,2305270937.7,2305335472.81,2306497104.85,2.0,832956172839.0,4.4039662692699996e-14,0.111103448276,234,0.111111111111,0.00137166051669,0.11111216476
1193.0,-800.0,-16917.0,-1e+200,-1e+200,-1e+200,-1e+200,128889.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2298529587.65,5129981.44739,2298529587.65,2302157032.32,2294902142.98,2295264887.45,2301794287.85,2.0,26316709650600.0,4.4039662692699996e-14,0.111103448276,124,0.111111111111,0.00137160730577,0.111107854378
1193.0,-800.0,-16917.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2296733900.05,1854212.44578,2296733900.05,2298045026.25,2295422773.86,2295553886.48,2297913913.63,2.0,3438103794070.0,4.4039662692699996e-14,0.111103448276,24,0.111111111111,0.000685777047424,0.055551771998
1193.0,-1000.0,-19333.0,-1e+200,-1e+200,-1e+200,-1e+200,257778.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2296026925.03,2655149.05773,2296026925.03,2297904398.94,2294149451.13,2294337198.52,2297716651.54,2.0,7049816518760.0,4.4039662692699996e-14,0.111103448276,203,0.0555555555556,0.000685830258346,0.11111216476
1193.0,-900.0,-21750.0,-1e+200,-1e+200,-1e+200,-1e+200,902222.0,1e+200,-1e+200,ref,braidwood,illinois,covid,2293294961.04,5679716.8124,2293294961.04,2297311127.31,2289278794.76,2289680411.39,2296909510.68,2.0,32259183069000.0,4.4039662692699996e-14,0.111126436782,712,0.111111111111,0.0013719443281,0.11111216476
