smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight,ProbabilityWeight-htse_capacity,ProbabilityWeight-ft_capacity,prefix,ProbabilityWeight-h2_storage_capacity
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-752048999.188,32846403.1233,-757331200.295,-702648491.679,-805723385.758,-798238639.646,-705430399.189,10.0,1078886198140000.0,2.4762864257000002e-14,0.00782610031248,0.125226860254,0.249981948155,81,0.249999574839
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-763929305.404,9673305.97842,-761801266.545,-750492934.217,-781179121.256,-777986896.3,-752435961.015,10.0,93572848552200.0,2.4762864257000002e-14,0.0155978010819,0.249546279492,0.250018051845,37,0.250000519641
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-840859148.637,15036313.8317,-841762613.562,-816211223.349,-869274297.169,-861641248.503,-819072165.413,10.0,226090733646000.0,2.4762864257000002e-14,0.0155978010819,0.249546279492,0.250018051845,63,0.250000519641
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-843108873.705,13483644.6401,-844142285.317,-820595017.511,-862801719.863,-860900174.914,-822728870.675,10.0,181808672781000.0,2.4762864257000002e-14,0.00782726017928,0.125226860254,0.250018051845,36,0.250000519641
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-858694849.507,43763240.1268,-869570910.962,-772925266.981,-901923569.153,-901702764.337,-784008910.057,10.0,1915221186400000.0,2.4762864257000002e-14,0.00779774487657,0.249546279492,0.124990974078,107,0.249999574839
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-922405981.019,26593425.456,-923159200.653,-868177269.255,-964423669.412,-955399633.413,-885393829.757,10.0,707210277485000.0,2.4762864257000002e-14,0.015652259778,0.250453720508,0.249981948155,89,0.250000519641
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-928575740.096,24099438.1533,-937390505.309,-889668373.639,-969189254.728,-959809338.306,-896032407.412,10.0,580782919304000.0,2.4762864257000002e-14,0.0155978010819,0.249546279492,0.250018051845,62,0.250000519641
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1022024679.23,30067976.8521,-1020548133.06,-966239020.013,-1073866657.88,-1067170146.11,-982435599.701,10.0,904083231975000.0,2.4762864257000002e-14,0.0039130649445,0.125226860254,0.124990974078,115,0.250000519641
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1022337877.54,30857792.6535,-1008507053.95,-993359280.104,-1078892820.81,-1072520945.23,-994109302.801,10.0,952203367448000.0,2.4762864257000002e-14,0.0155955486918,0.249546279492,0.249981948155,88,0.250000519641
720.0,-705.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1046133049.38,46146144.7565,-1055477078.05,-967878181.783,-1115053052.96,-1108771391.54,-984720494.042,10.0,2129466675890000.0,2.4762864257000002e-14,0.00391305015624,0.125226860254,0.124990974078,106,0.249999574839
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1061073859.88,15991132.7766,-1060557321.88,-1032800263.88,-1086187585.96,-1084102060.67,-1036614348.05,10.0,255716327478000.0,2.4762864257000002e-14,0.00782726017928,0.125226860254,0.250018051845,61,0.250000519641
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1136998678.24,33336889.944,-1137810599.31,-1087418010.28,-1190037366.85,-1183895234.95,-1096364632.34,10.0,1111348231140000.0,2.4762864257000002e-14,0.007826129889,0.250453720508,0.124990974078,114,0.250000519641
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1186751562.57,21606392.509,-1189729919.46,-1147080647.79,-1211943065.85,-1210246624.68,-1152480720.79,10.0,466836197252000.0,2.4762864257000002e-14,0.0155955486918,0.249546279492,0.249981948155,87,0.250000519641
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3969093.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1230179408.64,5140147.87677,-1231885571.3,-1222015983.25,-1235089626.64,-1234993821.9,-1222252526.36,10.0,26421120195000.0,2.4762864257000002e-14,0.00391306346567,0.125226860254,0.124990974078,16,0.250000425161
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1299921908.16,54110281.1912,-1298414049.91,-1210222727.33,-1414088923.78,-1383783848.99,-1234014474.11,10.0,2927922530590000.0,2.4762864257000002e-14,0.00779777434592,0.249546279492,0.124990974078,113,0.250000519641
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1317177398.22,15214855.9127,-1313258898.4,-1299909115.07,-1340933383.69,-1340680265.4,-1301540482.84,10.0,231491840443000.0,2.4762864257000002e-14,0.007826129889,0.125226860254,0.249981948155,86,0.250000519641
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3969093.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1322176442.26,10987167.3152,-1321279767.41,-1307185409.67,-1340126350.81,-1337294320.26,-1307746093.6,10.0,120717845613000.0,2.4762864257000002e-14,0.0155977951872,0.249546279492,0.250018051845,42,0.250000425161
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3969093.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1405538273.34,14686414.5854,-1404756106.17,-1385973255.74,-1428570982.29,-1427413971.45,-1386388048.61,10.0,215690773373000.0,2.4762864257000002e-14,0.0078272572212,0.125226860254,0.250018051845,41,0.250000425161
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3969093.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1412873900.78,30107134.471,-1410076798.97,-1361128841.48,-1465433713.23,-1460707650.26,-1375563284.09,10.0,906439546054000.0,2.4762864257000002e-14,0.0155977951872,0.249546279492,0.250018051845,68,0.250000425161
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1448020424.97,24799644.7953,-1443846858.6,-1415580966.21,-1496123752.18,-1484184375.7,-1416584708.14,10.0,615022381971000.0,2.4762864257000002e-14,0.00779777434592,0.249546279492,0.124990974078,112,0.250000519641
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3969093.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1482502999.85,29624037.941,-1482981305.4,-1418511370.01,-1528247962.9,-1520639602.64,-1439461220.96,10.0,877583623929000.0,2.4762864257000002e-14,0.0156522538627,0.250453720508,0.249981948155,94,0.250000425161
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3969093.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1505950034.45,26097729.5231,-1511453457.77,-1466876972.66,-1549638540.01,-1542052022.88,-1472608799.32,10.0,681091486263000.0,2.4762864257000002e-14,0.0155977951872,0.249546279492,0.250018051845,67,0.250000425161
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3969093.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1558141305.46,52527700.2091,-1568186171.01,-1449373804.54,-1631105010.15,-1617208261.48,-1475855419.31,10.0,2759159289260000.0,2.4762864257000002e-14,0.00391306346567,0.125226860254,0.124990974078,120,0.250000425161
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3969093.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1607903713.92,26530318.5233,-1601602116.0,-1565294096.84,-1647745718.71,-1644548634.72,-1570567105.43,10.0,703857800947000.0,2.4762864257000002e-14,0.015595542798,0.249546279492,0.249981948155,93,0.250000425161
720.0,-705.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1618354444.38,33673967.8145,-1612618104.15,-1570918722.01,-1699434734.02,-1671169319.04,-1581794324.38,10.0,1133936108370000.0,2.4762864257000002e-14,0.0039130649445,0.125226860254,0.124990974078,111,0.250000519641
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3969093.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1624895594.62,16902941.5568,-1626092298.18,-1599696537.02,-1657975827.47,-1649757945.16,-1603276597.91,10.0,285709433274000.0,2.4762864257000002e-14,0.0078272572212,0.125226860254,0.250018051845,66,0.250000425161
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3969093.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1730577819.89,61936604.895,-1730814944.91,-1645636095.06,-1824952960.85,-1820621404.67,-1651503463.74,10.0,3836143025920000.0,2.4762864257000002e-14,0.00782612693135,0.250453720508,0.124990974078,119,0.250000425161
