smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-ft_capacity,PointProbability,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight
720.0,-528.0,-17719.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,60751.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-306985681920000.0,3131173.4789,-306985681920000.0,-306985679706000.0,-306985684135000.0,-306985683913000.0,-306985679928000.0,2.0,9804247354950.0,0.0714285714286,2.43433201164e-13,11,0.142848912404,0.142822580645,0.001457289308
720.0,-528.0,-17719.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,121503.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-306985708062000.0,13844860.7735,-306985708062000.0,-306985698272000.0,-306985717851000.0,-306985716872000.0,-306985699251000.0,2.0,191680169837000.0,0.0714285714286,2.43433201164e-13,19,0.142860670194,0.142822580645,0.00145740925641
720.0,-528.0,-17719.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,182254.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-306985731389000.0,5863848.97631,-306985731389000.0,-306985727243000.0,-306985735536000.0,-306985735121000.0,-306985727658000.0,2.0,34384724816900.0,0.0714285714286,2.43433201164e-13,27,0.142860670194,0.142822580645,0.00145740925641
720.0,-528.0,-17719.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,243006.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-306985760046000.0,13885546.9905,-306985760046000.0,-306985750227000.0,-306985769864000.0,-306985768882000.0,-306985751209000.0,2.0,192808415227000.0,0.0714285714286,2.43433201164e-13,35,0.142860670194,0.142822580645,0.00145740925641
720.0,-528.0,-17719.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,303757.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-306985788860000.0,6829202.02575,-306985788860000.0,-306985784031000.0,-306985793689000.0,-306985793206000.0,-306985784514000.0,2.0,46638000308500.0,0.0714285714286,2.43433201164e-13,43,0.142859494415,0.142822580645,0.00145739726157
720.0,-528.0,-17719.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,364508.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-306985829624000.0,19298998.0712,-306985829624000.0,-306985815978000.0,-306985843271000.0,-306985841906000.0,-306985817342000.0,2.0,372451326552000.0,0.0714285714286,2.43433201164e-13,51,0.142860670194,0.142822580645,0.00145740925641
720.0,-528.0,-17719.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,425260.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-306985844677000.0,16392576.052,-306985844677000.0,-306985833086000.0,-306985856268000.0,-306985855109000.0,-306985834245000.0,2.0,268716549621000.0,0.0714285714286,2.43433201164e-13,59,0.0714309229865,0.142822580645,0.000728710625628
720.0,-439.4,-15493.4,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-307035301692000.0,3143806.73704,-307035301692000.0,-307035299469000.0,-307035303915000.0,-307035303693000.0,-307035299691000.0,2.0,9883520799850.0,0.142857142857,2.43433201164e-13,68,0.071417989418,0.142903225806,0.00145798015263
720.0,-439.4,-15493.4,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,60751.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-307035344054000.0,24393149.3838,-307035344054000.0,-307035326805000.0,-307035361302000.0,-307035359578000.0,-307035328530000.0,2.0,595025736858000.0,0.142857142857,2.43433201164e-13,76,0.142848912404,0.142903225806,0.00291622434079
720.0,-439.4,-17719.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-460563205959000.0,3767183.45747,-460563205959000.0,-460563203295000.0,-460563208623000.0,-460563208356000.0,-460563203561000.0,2.0,14191671202200.0,0.0714285714286,2.43433201164e-13,4,0.071417989418,0.142903225806,0.000728990076317
720.0,-439.4,-17719.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,60751.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-460563235524000.0,17504051.392,-460563235524000.0,-460563223147000.0,-460563247901000.0,-460563246663000.0,-460563224384000.0,2.0,306391815133000.0,0.0714285714286,2.43433201164e-13,12,0.142848912404,0.142903225806,0.0014581121704
720.0,-439.4,-17719.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,121503.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-460563247939000.0,42254479.3816,-460563247939000.0,-460563218061000.0,-460563277818000.0,-460563274830000.0,-460563221049000.0,2.0,1785441027810000.0,0.0714285714286,2.43433201164e-13,20,0.142860670194,0.142903225806,0.00145823218654
