smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,PointProbability,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight,ProbabilityWeight-ft_capacity
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-271970011.73,3419500.79594,-271816430.653,-268516550.685,-275730634.928,-275461049.411,-268693987.556,4.0,11692985693400.0,125,3.46688419418e-13,0.125226860254,0.125002976198,0.00195657498961,0.124990974078
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-289310236.276,1974991.35638,-289195986.245,-287251580.18,-291597392.436,-291394735.72,-287385686.877,4.0,3900590857780.0,81,3.46688419418e-13,0.125226860254,0.249992724848,0.00782588587727,0.249981948155
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-290002947.38,1084664.71098,-290031122.677,-288695471.449,-291254072.718,-291123990.695,-288842458.65,4.0,1176497535250.0,104,3.46688419418e-13,0.250453720508,0.12498974865,0.00391273589804,0.124990974078
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-293622190.845,841667.866328,-293557018.001,-292705359.881,-294669367.497,-294547460.218,-292788163.453,4.0,708404797210.0,109,3.46688419418e-13,0.250453720508,0.249992724848,0.00782588587727,0.124990974078
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-332417639.81,1472459.10043,-332601671.737,-330551914.542,-333915301.222,-333807802.617,-330769832.303,4.0,2168135802450.0,114,3.46688419418e-13,0.250453720508,0.250007275152,0.00782634136657,0.124990974078
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-332952087.512,2585551.39853,-333736168.067,-329307174.657,-335028839.257,-334952445.937,-329854016.31,4.0,6685076034440.0,86,3.46688419418e-13,0.125226860254,0.250007275152,0.00782634136657,0.249981948155
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-342665055.082,2528957.67916,-342288600.703,-340016320.197,-346066698.726,-345559652.078,-340297494.217,4.0,6395626942970.0,76,3.46688419418e-13,0.125226860254,0.12498974865,0.00391273589804,0.249981948155
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-371001127.59,1265924.97984,-370790485.895,-369799270.532,-372624268.038,-372434047.764,-369863105.789,4.0,1602566054580.0,91,3.46688419418e-13,0.125226860254,0.250007275152,0.00782634136657,0.249981948155
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-375942660.094,2146583.47797,-376234224.401,-373231779.068,-378070412.505,-377936384.1,-373540746.057,4.0,4607820627880.0,119,3.46688419418e-13,0.250453720508,0.250007275152,0.00782634136657,0.124990974078
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-412199047.394,1378493.53563,-412065396.965,-410675742.196,-413989653.452,-413740456.655,-410844748.735,4.0,1900244427770.0,96,3.46688419418e-13,0.125226860254,0.125002976198,0.00391314997922,0.249981948155
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-413860725.536,2580500.62789,-413835307.994,-411062772.787,-416709513.37,-416491348.934,-411265686.697,4.0,6658983490540.0,124,3.46688419418e-13,0.250453720508,0.125002976198,0.00391314997922,0.124990974078
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-451235137.226,1769825.72332,-451796967.999,-448698018.881,-452648594.024,-452581846.106,-449101865.263,4.0,3132283090940.0,108,3.46688419418e-13,0.249546279492,0.249992724848,0.00779753121829,0.124990974078
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-464246255.643,2152219.58218,-464963816.499,-461200326.967,-465857062.608,-465828821.95,-461659104.139,4.0,4632049129930.0,103,3.46688419418e-13,0.249546279492,0.12498974865,0.0038985593187,0.124990974078
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-492216378.834,2823469.72797,-492271057.592,-489025236.456,-495298163.698,-495062222.147,-489293985.262,4.0,7971981304760.0,113,3.46688419418e-13,0.249546279492,0.250007275152,0.00779798505727,0.124990974078
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-530265304.809,1326375.07329,-530552699.181,-528475335.382,-531480485.494,-531411028.569,-528717228.93,4.0,1759270835040.0,118,3.46688419418e-13,0.249546279492,0.250007275152,0.00779798505727,0.124990974078
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-575792904.847,1327704.24509,-575990819.089,-574195353.01,-576994628.201,-576960909.852,-574347819.903,4.0,1762798562430.0,123,3.46688419418e-13,0.249546279492,0.125002976198,0.00389897189959,0.124990974078
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-613113117.971,4075239.32248,-614338850.806,-607222077.708,-616552692.566,-616277026.66,-608233183.314,4.0,16607575535500.0,107,3.46688419418e-13,0.249546279492,0.249992724848,0.00779753121829,0.124990974078
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-633366173.394,2743287.8126,-632475416.161,-631263073.509,-637250787.743,-636663374.231,-631316032.681,4.0,7525628022780.0,102,3.46688419418e-13,0.249546279492,0.12498974865,0.0038985593187,0.124990974078
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-652041996.001,1417450.3033,-652156243.928,-650207120.206,-653648375.942,-653449241.331,-650474803.574,4.0,2009165362320.0,112,3.46688419418e-13,0.249546279492,0.250007275152,0.00779798505727,0.124990974078
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-692353181.225,3442566.85032,-692594171.793,-688688956.837,-695535424.478,-695459886.523,-688909089.132,4.0,11851266518900.0,117,3.46688419418e-13,0.249546279492,0.250007275152,0.00779798505727,0.124990974078
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-734730801.747,1249379.46898,-734417348.369,-733673300.442,-736415209.806,-736192806.189,-733707632.033,4.0,1560949057510.0,122,3.46688419418e-13,0.249546279492,0.125002976198,0.00389897189959,0.124990974078
