smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-meoh_capacity,ProbabilityWeight,ProbabilityWeight-htse_capacity,prefix,ProbabilityWeight-h2_storage_capacity,PointProbability
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1591429704.99,25933749.6322,-1591429704.99,-1573091774.77,-1609767635.22,-1607933842.2,-1574925567.79,2.0,672559369987000.0,0.125018050542,0.00195695849761,0.125226860254,125,0.125000399509,5.2351036610599995e-14
720.0,-667.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1626903287.59,7318685.58891,-1626903287.59,-1621728195.38,-1632078379.8,-1631560870.58,-1622245704.6,2.0,53563158749300.0,0.125018050542,0.0039139201225,0.125226860254,55,0.250000998773,5.2351036610599995e-14
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1629941494.7,3100179.50286,-1629941494.7,-1627749336.76,-1632133652.65,-1631914436.86,-1627968552.55,2.0,9611112949950.0,0.25,0.00782670378051,0.250453720508,109,0.125000399509,5.2351036610599995e-14
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1691382834.29,1692432.60107,-1691382834.29,-1690186103.73,-1692579564.86,-1692459891.81,-1690305776.78,2.0,2864328109180.0,0.125018050542,0.00389973613654,0.249546279492,120,0.125000399509,5.2351036610599995e-14
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,1877312.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1729576509.13,8376717.28591,-1729576509.13,-1723653275.54,-1735499742.73,-1734907419.37,-1724245598.9,2.0,70169392488100.0,0.125018050542,0.00782784024501,0.250453720508,85,0.250000998773,5.2351036610599995e-14
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1788788701.49,2231020.33661,-1788788701.49,-1787211131.88,-1790366271.1,-1790208514.14,-1787368888.84,2.0,4977451742380.0,0.25,0.00391335189026,0.125226860254,104,0.125000399509,5.2351036610599995e-14
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1878063178.8,1068292.43414,-1878063178.8,-1877307781.98,-1878818575.63,-1878743035.94,-1877383321.66,2.0,1141248724840.0,0.125018050542,0.00389973613654,0.249546279492,115,0.125000399509,5.2351036610599995e-14
720.0,-667.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,1877312.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1884828214.61,3568781.92358,-1884828214.61,-1882304704.71,-1887351724.51,-1887099373.52,-1882557055.7,2.0,12736204418000.0,0.125018050542,0.0039139201225,0.125226860254,80,0.250000998773,5.2351036610599995e-14
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2014431470.85,5412676.77034,-2014431470.85,-2010604130.41,-2018258811.3,-2017876077.26,-2010986864.45,2.0,29297069820200.0,0.125018050542,0.00391391699522,0.250453720508,110,0.125000399509,5.2351036610599995e-14
720.0,-667.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2195538414.72,18467663.7971,-2195538414.72,-2182479804.42,-2208597025.03,-2207291164.0,-2183785665.45,2.0,341054606124000.0,0.125018050542,0.00195695849761,0.125226860254,105,0.125000399509,5.2351036610599995e-14
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-17865735890.1,592631.507999,-17865735890.1,-17865316836.3,-17866154943.9,-17866113038.5,-17865358741.7,2.0,351212104273.0,0.125018050542,0.00195693035208,0.125226860254,1,0.124998601718,5.2351036610599995e-14
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-332219092182.0,4143189.44793,-332219092182.0,-332216162505.0,-332222021860.0,-332221728892.0,-332216455473.0,2.0,17166018801400.0,0.25,0.00782659121466,0.250453720508,7,0.124998601718,5.2351036610599995e-14
