cfYears,smr_smrCAPEX_CashFlow,smr_smrCAPEX_depreciation,smr_smrCAPEX_depreciation_tax_credit,smr_smrVOM_CashFlow,htse_htseCAPEX_CashFlow,htse_htseCAPEX_depreciation,htse_htseCAPEX_depreciation_tax_credit,htse_htseFOM_CashFlow,htse_htseVOM_CashFlow,htse_htseELEC_CAP_MARKET_CashFlow,ft_ftCAPEX_CashFlow,ft_ftCAPEX_depreciation,ft_ftCAPEX_depreciation_tax_credit,ft_ftFOM_CashFlow,ft_ftVOM_CashFlow,ft_co2_shipping_CashFlow,ft_h2_ptc_CashFlow,ft_elec_consumption_ftELEC_CAP_MARKET_CashFlow,electricity_market_e_sales_CashFlow,naphtha_market_naphtha_sales_CashFlow,jet_fuel_market_jet_fuel_sales_CashFlow,diesel_market_diesel_sales_CashFlow,h2_storage_storageCAPEX_CashFlow,h2_storage_storageCAPEX_depreciation,h2_storage_storageCAPEX_depreciation_tax_credit,h2_import_h2IMPORTS_CashFlow,h2_export_h2EXPORTS_CashFlow
10,0.0,-105445457.102,133475262.155,115598361.6,0.0,-17980362.3982,22759952.4027,-21375600.0,-15456298.176,-19693082.25,0.0,-8180900.44697,10355570.186,-21732221.0,-6035605.53,-12145066.5688,465655320.0,-416208.405,26077.0951734,30553249.3535,59433583.0175,30128832.7012,0.0,-1775133.9236,2247004.96658,-16262940000.0,0.0
11,0.0,-103370697.021,130848983.571,115598361.6,0.0,-17626578.1843,22312124.2839,-21375600.0,-15456298.176,-19693082.25,0.0,-8019931.86527,10151812.4877,-21732221.0,-6035605.53,-12145066.5688,0.0,-416208.405,22464.8328409,31517775.1489,59326477.6185,30041115.8945,0.0,-1740206.13149,2202792.57151,-16262940000.0,0.0
12,0.0,-100994117.15,127840654.62,115598361.6,0.0,-17221328.2236,21799149.6501,-21375600.0,-15456298.176,-19693082.25,0.0,-7835546.83949,9918413.72088,-21732221.0,-6035605.53,-12145066.5688,0.0,-416208.405,25433.5343485,32010666.932,61045728.5738,30541261.0784,0.0,-1700197.31872,2152148.50472,-16262940000.0,0.0
13,0.0,-99006942.2782,125325243.39,115598361.6,0.0,-16882478.876,21370226.4253,-21375600.0,-15456298.176,-19693082.25,0.0,-7681373.48537,9723257.57642,-21732221.0,-6035605.53,-12145066.5688,0.0,-416208.405,32246.9900428,32441765.2522,61880881.3883,30714775.8011,0.0,-1666743.99011,2109802.51913,-16262940000.0,0.0
14,0.0,-96730688.8248,122443909.905,115598361.6,0.0,-16494336.3886,20878906.821,-21375600.0,-15456298.176,-19693082.25,0.0,-7504772.20348,9499711.64997,-21732221.0,-6035605.53,-12145066.5688,0.0,-416208.405,23481.9921188,32668934.0619,62465170.5139,30865537.9613,0.0,-1628424.13419,2061296.37239,-16262940000.0,0.0
15,0.0,-94827401.7859,120034685.805,115598361.6,0.0,-16169791.4376,20468090.4274,-21375600.0,-15456298.176,-19693082.25,0.0,-7357107.21899,9312793.94809,-21732221.0,-6035605.53,-12145066.5688,0.0,-416208.405,19395.0103414,33016307.7647,62903626.6575,30914074.1505,0.0,-1596383.02515,2020738.00651,-16262940000.0,0.0
16,0.0,-46323619.7541,58637493.3596,115598361.6,0.0,-7899017.11903,9998755.84687,-21375600.0,-15456298.176,-19693082.25,0.0,-3593980.54659,4549342.46404,-21732221.0,-6035605.53,-12145066.5688,0.0,-416208.405,20162.0264951,33178054.2276,63467081.8456,31080718.0692,0.0,-779840.413699,987139.764176,-16262940000.0,0.0
17,0.0,0.0,0.0,115598361.6,0.0,0.0,0.0,-21375600.0,-15456298.176,-19693082.25,0.0,0.0,0.0,-21732221.0,-6035605.53,-12145066.5688,0.0,-416208.405,24620.6082851,33484840.1812,64416878.5646,31393883.0079,0.0,0.0,0.0,-16262940000.0,0.0
18,0.0,0.0,0.0,115598361.6,0.0,0.0,0.0,-21375600.0,-15456298.176,-19693082.25,0.0,0.0,0.0,-21732221.0,-6035605.53,-12145066.5688,0.0,-416208.405,17923.3356155,33758944.3484,65567769.2653,31793080.8287,0.0,0.0,0.0,-16262940000.0,0.0
19,0.0,0.0,0.0,115598361.6,0.0,0.0,0.0,-21375600.0,-15456298.176,-19693082.25,0.0,0.0,0.0,-21732221.0,-6035605.53,-12145066.5688,0.0,-416208.405,14021.9272501,34218259.2988,66305164.2443,32029090.6922,0.0,0.0,0.0,-16262940000.0,0.0
20,0.0,0.0,0.0,115598361.6,0.0,0.0,0.0,-21375600.0,-15456298.176,-19693082.25,0.0,0.0,0.0,-21732221.0,-6035605.53,-12145066.5688,0.0,-416208.405,26102.0764686,34220815.1347,66710319.9793,32148913.6751,0.0,0.0,0.0,-16262940000.0,0.0
