smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,co2_location_label,fuel_region_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,PointProbability,ProbabilityWeight-htse_capacity,ProbabilityWeight-ft_capacity,ProbabilityWeight,prefix
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-327853221.693,1026116.09383,-327982503.576,-326496257.307,-328951622.313,-328835778.0,-326689670.75,4.0,1052914238020.0,0.125001984106,1.7334191682000001e-13,0.125226860254,0.250018051845,0.00391368407525,71
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-337547498.64,3423811.39847,-338240672.69,-333339581.016,-340369068.166,-340359743.976,-333764809.635,4.0,11722484492300.0,0.250003306843,1.7334191682000001e-13,0.125226860254,0.124990974078,0.00391310857042,120
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-348852891.036,2082594.26761,-349245017.735,-346098930.21,-350822598.465,-350704072.539,-346452732.156,4.0,4337198883490.0,0.250003306843,1.7334191682000001e-13,0.249546279492,0.249981948155,0.0155957225633,87
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-374863307.574,1915453.35766,-374616246.466,-373083718.137,-377137019.225,-376928214.148,-373144286.549,4.0,3668961565390.0,0.125001984106,1.7334191682000001e-13,0.249546279492,0.249981948155,0.00779788191041,98
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-385261825.186,4603696.10303,-384234765.87,-381232998.548,-391344770.457,-390582712.211,-381378821.204,4.0,21194017809100.0,0.250003306843,1.7334191682000001e-13,0.250453720508,0.124990974078,0.00782621714084,114
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-413347021.523,3912634.11765,-411864672.281,-410520677.053,-419138064.478,-418055927.927,-410713404.058,4.0,15308705738600.0,0.249996693157,1.7334191682000001e-13,0.125226860254,0.249981948155,0.00782601010299,81
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-414949109.931,3047025.26041,-415876579.258,-410577901.181,-417465380.028,-417315395.075,-411284367.73,4.0,9284362937560.0,0.125001984106,1.7334191682000001e-13,0.125226860254,0.124990974078,0.00195655946116,125
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-430149301.526,4752934.94675,-429039487.305,-425711475.653,-436806755.842,-435762217.425,-426090125.537,4.0,22590390608000.0,0.250003306843,1.7334191682000001e-13,0.249546279492,0.249981948155,0.0155957225633,92
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-436572705.265,3837395.79102,-436979456.828,-432374666.121,-439957241.283,-439918166.827,-432657791.516,4.0,14725606456900.0,0.124994709051,1.7334191682000001e-13,0.125226860254,0.249981948155,0.00391289118068,76
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-437822174.344,5391136.05907,-438799306.865,-430458619.894,-443231463.755,-442708987.061,-431567376.1,4.0,29064348007400.0,0.124994709051,1.7334191682000001e-13,0.249546279492,0.124990974078,0.00389871403872,103
