smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,ProbabilityWeight-ft_capacity,prefix,PointProbability,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight
240.0,-132.0,-3311.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,120678.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-830859144.597,143126.054837,-830909617.311,-830653249.515,-830964094.25,-830961686.496,-830685940.898,4.0,20485067573.3,0.25,0.25,99,2.13658146151e-11,0.125012430802,0.00781327692512
240.0,-163.0,-3311.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-830881031.175,56867.1496477,-830895356.0,-830807429.637,-830925983.061,-830925955.213,-830816052.38,4.0,3233872709.06,0.25,0.25,78,2.13658146151e-11,0.124966851195,0.00781042819969
240.0,-163.0,-3311.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,30169.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-834471640.911,96324.1400349,-834500383.195,-834337830.502,-834547966.754,-834546081.279,-834356961.347,4.0,9278339953.46,0.25,0.25,83,2.13658146151e-11,0.249979281997,0.0156237051248
240.0,-163.0,-3311.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,60339.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-843581694.98,230329.968982,-843621982.278,-843273550.044,-843809265.317,-843791328.643,-843315659.098,4.0,53051894611.0,0.25,0.25,88,2.13658146151e-11,0.250020718003,0.0156262948752
240.0,-163.0,-3311.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,90508.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-852524144.921,174404.440553,-852501952.087,-852339888.556,-852752786.954,-852721901.796,-852357458.013,4.0,30416908884.7,0.25,0.25,93,2.13658146151e-11,0.250020718003,0.0156262948752
240.0,-163.0,-3311.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,120678.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-861638660.754,145158.407397,-861603546.794,-861504749.429,-861842800.001,-861810496.101,-861515984.953,4.0,21070963238.2,0.25,0.25,98,2.13658146151e-11,0.125012430802,0.00781327692512
240.0,-194.0,-3311.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-864950948.05,62810.5187516,-864926558.0,-864906784.934,-865043891.268,-865027091.441,-864908950.73,4.0,3945161265.85,0.25,0.25,77,2.13658146151e-11,0.124966851195,0.00781042819969
240.0,-194.0,-3311.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,30169.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-865116083.763,82735.1622967,-865143911.457,-864995270.425,-865181241.713,-865176919.991,-865016288.763,4.0,6845107080.26,0.25,0.25,82,2.13658146151e-11,0.249979281997,0.0156237051248
240.0,-194.0,-3311.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,60339.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-874493722.092,280236.471625,-874510335.431,-874136323.125,-874817894.38,-874776762.245,-874187423.263,4.0,78532480029.0,0.25,0.25,87,2.13658146151e-11,0.250020718003,0.0156262948752
240.0,-194.0,-3311.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,90508.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-883597048.151,140056.829047,-883657548.5,-883389167.483,-883683928.121,-883682904.168,-883426491.646,4.0,19615915362.8,0.25,0.25,92,2.13658146151e-11,0.250020718003,0.0156262948752
