npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight,prefix,PointProbability,ProbabilityWeight-meoh_capacity
1193.0,-400.0,-4833.0,-1e+200,-1e+200,-1e+200,-1e+200,1031111.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1412587500.68,2964899.88647,1412587500.68,1414684001.49,1410490999.86,1410700649.94,1414474351.41,2.0,8790631336780.0,0.125001333526,0.25,0.00390669575789,120,6.270282251879999e-14,0.125012930589
1193.0,-1000.0,-9667.0,-1e+200,-1e+200,-1e+200,-1e+200,773333.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1403362102.98,3584232.61685,1403362102.98,1405896538.17,1400827667.8,1401081111.32,1405643094.65,2.0,12846723451700.0,0.250002182133,0.125,0.00781256819167,79,6.270282251879999e-14,0.25
1193.0,-800.0,-4833.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1389744274.86,3512558.79367,1389744274.86,1392228029.0,1387260520.72,1387508896.13,1391979653.59,2.0,12338069279000.0,0.124996484341,0.25,0.00390654420517,10,6.270282251879999e-14,0.125012930589
1193.0,-800.0,-4833.0,-1e+200,-1e+200,-1e+200,-1e+200,257778.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1348191856.14,3975500.93532,1348191856.14,1351002959.81,1345380752.47,1345661862.83,1350721849.44,2.0,15804607686700.0,0.249997817867,0.25,0.00781323996306,35,6.270282251879999e-14,0.125012930589
1193.0,-600.0,-4833.0,-1e+200,-1e+200,-1e+200,-1e+200,773333.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1327575734.87,542062.444503,1327575734.87,1327959030.9,1327192438.84,1327230768.45,1327920701.3,2.0,293831693741.0,0.250002182133,0.25,0.00781337636051,90,6.270282251879999e-14,0.125012930589
1193.0,-1000.0,-9667.0,-1e+200,-1e+200,-1e+200,-1e+200,1031111.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1297871081.67,2403080.6193,1297871081.67,1299570316.27,1296171847.07,1296341770.53,1299400392.81,2.0,5774796462850.0,0.125001333526,0.125,0.00390629167269,104,6.270282251879999e-14,0.25
1193.0,-800.0,-4833.0,-1e+200,-1e+200,-1e+200,-1e+200,515556.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1248991959.96,6588274.25996,1248991959.96,1253650573.37,1244333346.55,1244799207.89,1253184712.02,2.0,43405357724500.0,0.250002182133,0.25,0.00781337636051,60,6.270282251879999e-14,0.125012930589
1193.0,-600.0,-4833.0,-1e+200,-1e+200,-1e+200,-1e+200,1031111.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1221473694.99,13343241.4877,1221473694.99,1230908791.53,1212038598.45,1212982108.11,1229965281.88,2.0,178042093399000.0,0.125001333526,0.25,0.00390669575789,115,6.270282251879999e-14,0.125012930589
1193.0,-1000.0,-4833.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1191451770.74,8752316.19378,1191451770.74,1197640592.87,1185262948.61,1185881830.82,1197021710.66,2.0,76603038755800.0,0.124996484341,0.125,0.00195327210259,5,6.270282251879999e-14,0.125012930589
1193.0,-1000.0,-4833.0,-1e+200,-1e+200,-1e+200,-1e+200,257778.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1166222988.35,3134395.63034,1166222988.35,1168439340.75,1164006635.94,1164228271.18,1168217705.51,2.0,9824435967520.0,0.249997817867,0.125,0.00390661998153,30,6.270282251879999e-14,0.125012930589
1193.0,-800.0,-4833.0,-1e+200,-1e+200,-1e+200,-1e+200,773333.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1141920433.99,1594191.5398,1141920433.99,1143047697.64,1140793170.34,1140905896.71,1142934971.27,2.0,2541446665580.0,0.250002182133,0.25,0.00781337636051,85,6.270282251879999e-14,0.125012930589
1193.0,-1000.0,-4833.0,-1e+200,-1e+200,-1e+200,-1e+200,515556.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1060085461.0,5230678.24242,1060085461.0,1063784109.06,1056386812.95,1056756677.75,1063414244.25,2.0,27359994875700.0,0.250002182133,0.125,0.00390668818026,55,6.270282251879999e-14,0.125012930589
1193.0,-800.0,-4833.0,-1e+200,-1e+200,-1e+200,-1e+200,1031111.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1039294615.86,12178816.635,1039294615.86,1047906339.69,1030682892.03,1031544064.42,1047045167.31,2.0,148323574629000.0,0.125001333526,0.25,0.00390669575789,110,6.270282251879999e-14,0.125012930589
1193.0,-1000.0,-4833.0,-1e+200,-1e+200,-1e+200,-1e+200,773333.0,1e+200,-1e+200,ref,braidwood,illinois,covid,966076694.411,1580329.82374,966076694.411,967194156.346,964959232.476,965070978.67,967082410.153,2.0,2497442351800.0,0.250002182133,0.125,0.00390668818026,80,6.270282251879999e-14,0.125012930589
1193.0,-1000.0,-4833.0,-1e+200,-1e+200,-1e+200,-1e+200,1031111.0,1e+200,-1e+200,ref,braidwood,illinois,covid,841829211.789,9106475.81904,841829211.789,848268462.594,835389960.985,836033886.066,847624537.513,2.0,82927901842700.0,0.125001333526,0.125,0.00195334787895,105,6.270282251879999e-14,0.125012930589
1193.0,-800.0,-24167.0,-1e+200,-1e+200,-1e+200,-1e+200,1031111.0,1e+200,-1e+200,ref,braidwood,illinois,covid,-191919207060000.0,1419710.23484,-191919207060000.0,-191919206056000.0,-191919208064000.0,-191919207964000.0,-191919206157000.0,2.0,2015577150910.0,0.125001333526,0.25,0.00390669575789,106,6.270282251879999e-14,0.125012930589
1193.0,-800.0,-24167.0,-1e+200,-1e+200,-1e+200,-1e+200,773333.0,1e+200,-1e+200,ref,braidwood,illinois,covid,-197268971610000.0,244765.586832,-197268971610000.0,-197268971437000.0,-197268971783000.0,-197268971766000.0,-197268971455000.0,2.0,59910192497.2,0.250002182133,0.25,0.00781337636051,81,6.270282251879999e-14,0.125012930589
