npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,prefix,ProbabilityWeight,ProbabilityWeight-meoh_capacity,PointProbability,ProbabilityWeight-htse_capacity
522.0,-428.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,197575813.236,184803.99529,197575813.236,197706489.395,197445137.078,197458204.694,197693421.779,2.0,34152516675.2,0.12500456621,108,0.0078336194825,0.25,1.0563053673200001e-12,0.250666666667
522.0,-522.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,195009303.121,261767.033574,195009303.121,195194400.366,194824205.877,194842715.601,195175890.641,2.0,68521979866.4,0.24999086758,28,0.00783304718417,0.25,1.0563053673200001e-12,0.125333333333
522.0,-241.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,189442728.553,408394.621535,189442728.553,189731507.159,189153949.946,189182827.807,189702629.298,2.0,166786166899.0,0.25000913242,69,0.0155839025875,0.25,1.0563053673200001e-12,0.249333333333
522.0,-522.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,165412617.881,157939.573213,165412617.881,165524298.025,165300937.738,165312105.752,165513130.01,2.0,24944908786.6,0.25000913242,53,0.0078336194825,0.25,1.0563053673200001e-12,0.125333333333
522.0,-241.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,161153464.223,373656.987874,161153464.223,161417679.613,160889248.833,160915670.372,161391258.074,2.0,139619544587.0,0.25000913242,94,0.0155839025875,0.25,1.0563053673200001e-12,0.249333333333
522.0,-334.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,146180857.909,343899.479512,146180857.909,146424031.563,145937684.255,145962001.621,146399714.198,2.0,118266852009.0,0.12498630137,14,0.00779081278539,0.25,1.0563053673200001e-12,0.249333333333
522.0,-522.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,137261062.631,112538.221111,137261062.631,137340639.171,137181486.092,137189443.746,137332681.517,2.0,12664851210.7,0.25000913242,78,0.0078336194825,0.25,1.0563053673200001e-12,0.125333333333
522.0,-241.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,132078535.239,429675.384243,132078535.239,132382361.617,131774708.861,131805091.499,132351978.979,2.0,184620935824.0,0.12500456621,119,0.00779195129376,0.25,1.0563053673200001e-12,0.249333333333
522.0,-334.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,131643965.404,423583.153755,131643965.404,131943483.924,131344446.883,131374398.735,131913532.072,2.0,179422688145.0,0.24999086758,39,0.0155827640791,0.25,1.0563053673200001e-12,0.249333333333
522.0,-522.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,108690703.808,685868.975198,108690703.808,109175686.411,108205721.205,108254219.465,109127188.151,2.0,470416251139.0,0.12500456621,103,0.00391680974125,0.25,1.0563053673200001e-12,0.125333333333
522.0,-147.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,107954152.695,90481.8427929,107954152.695,108018133.02,107890172.371,107896570.403,108011734.987,2.0,8186963875.19,0.12498630137,25,0.00195769405898,0.124972890913,1.0563053673200001e-12,0.125333333333
522.0,-334.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,103449700.607,43438.3977696,103449700.607,103480416.192,103418985.021,103422056.58,103477344.634,2.0,1886894400.79,0.25000913242,64,0.0155839025875,0.25,1.0563053673200001e-12,0.249333333333
522.0,-147.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,79876398.3812,674648.038285,79876398.3812,80353446.584,79399350.1784,79447054.9987,80305741.7637,2.0,455149975562.0,0.24999086758,50,0.00391567420506,0.124972890913,1.0563053673200001e-12,0.125333333333
