smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,ProbabilityWeight-meoh_capacity,PointProbability,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,prefix
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-449626990.833,6266605.75836,-449626990.833,-445195831.407,-454058150.26,-453615034.317,-445638947.349,2.0,39270347730700.0,0.00779840846903,0.25,1.83230531396e-13,0.125001398296,0.249546279492,119
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-453878998.921,1983414.50566,-453878998.921,-452476513.074,-455281484.768,-455141236.183,-452616761.659,2.0,3933933101270.0,0.00391281804952,0.249963898917,1.83230531396e-13,0.125001398296,0.125226860254,103
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-469906408.686,1743496.53123,-469906408.686,-468673570.466,-471139246.906,-471015963.084,-468796854.288,2.0,3039780154420.0,0.00782637233343,0.25,1.83230531396e-13,0.124995105963,0.250453720508,9
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-490561381.329,40485.7349475,-490561381.329,-490532753.591,-490590009.067,-490587146.293,-490535616.365,2.0,1639094734.24,0.0156531386514,0.25,1.83230531396e-13,0.249996504259,0.250453720508,34
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-504608768.151,1291369.1398,-504608768.151,-503695632.275,-505521904.027,-505430590.439,-503786945.863,2.0,1667634255230.0,0.0155968605555,0.25,1.83230531396e-13,0.250003495741,0.249546279492,89
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-528678422.364,7079439.54123,-528678422.364,-523672502.658,-533684342.071,-533183750.1,-524173094.628,2.0,50118464217900.0,0.00391395921408,0.125018050542,1.83230531396e-13,0.250003495741,0.125226860254,75
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-540720835.462,4466610.3972,-540720835.462,-537562464.961,-543879205.963,-543563368.912,-537878302.011,2.0,19950608440300.0,0.00389957098961,0.125018050542,1.83230531396e-13,0.124995105963,0.249546279492,20
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-565716572.58,2995656.2941,-565716572.58,-563598323.7,-567834821.46,-567622996.572,-563810148.588,2.0,8973956632380.0,0.0156535764121,0.25,1.83230531396e-13,0.250003495741,0.250453720508,59
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-582632046.961,5606225.57663,-582632046.961,-578667846.839,-586596247.083,-586199827.071,-579064266.851,2.0,31429765216000.0,0.00779840846903,0.25,1.83230531396e-13,0.125001398296,0.249546279492,114
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-595370866.599,5670894.93426,-595370866.599,-591360938.336,-599380794.863,-598979802.036,-591761931.162,2.0,32159049355500.0,0.0077993382861,0.125018050542,1.83230531396e-13,0.249996504259,0.249546279492,45
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-607688605.202,4336443.88551,-607688605.202,-604622276.324,-610754934.079,-610448301.191,-604928909.212,2.0,18804745572200.0,0.00391395921408,0.125018050542,1.83230531396e-13,0.250003495741,0.125226860254,100
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-639895335.662,1650325.52775,-639895335.662,-638728379.29,-641062292.034,-640945596.397,-638845074.927,2.0,2723574347540.0,0.00391318616671,0.25,1.83230531396e-13,0.124995105963,0.125226860254,4
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-642878450.948,1562053.08746,-642878450.948,-641773912.618,-643982989.279,-643872535.446,-641884366.451,2.0,2440009848030.0,0.00782656932572,0.25,1.83230531396e-13,0.249996504259,0.125226860254,29
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-649435818.013,2000788.4156,-649435818.013,-648021046.956,-650850589.069,-650709111.964,-648162524.062,2.0,4003154284010.0,0.0156535764121,0.25,1.83230531396e-13,0.250003495741,0.250453720508,84
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-672671772.923,2921530.53317,-672671772.923,-670605938.871,-674737606.974,-674531023.569,-670812522.277,2.0,8535340656220.0,0.00779955640487,0.125018050542,1.83230531396e-13,0.250003495741,0.249546279492,70
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-683233811.21,2184637.54506,-683233811.21,-681689039.187,-684778583.233,-684624106.03,-681843516.39,2.0,4772641203270.0,0.00195697413424,0.125018050542,1.83230531396e-13,0.125001398296,0.125226860254,125
