smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,co2_location_label,fuel_region_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,prefix,ProbabilityWeight-htse_capacity,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-ft_capacity
1200.0,-985.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1010133022.73,4481224.73826,-1011181543.61,-1004428617.94,-1013740385.74,-1013731439.88,-1005066676.34,4.0,20081375154700.0,5.88667788813e-14,76,0.125,0.00390613535253,0.124996331281,0.25
1200.0,-385.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1046159398.33,6364461.26527,-1046527695.44,-1038249021.03,-1053333181.41,-1052597172.6,-1039206008.1,4.0,40506367197200.0,5.88667788813e-14,114,0.25,0.00781258136272,0.250002603607,0.125
1200.0,-185.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1056237.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1071307466.47,10241330.0163,-1070369342.19,-1060977410.15,-1083513771.36,-1082344224.35,-1061584082.59,4.0,104884840503000.0,5.88667788813e-14,125,0.125,0.00195314164237,0.125001065112,0.125
1200.0,-985.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1103423644.21,6428953.58581,-1101322711.26,-1098304104.71,-1112745049.61,-1111184235.31,-1098604359.23,4.0,41331444208500.0,5.88667788813e-14,86,0.125,0.00781258136272,0.250002603607,0.25
1200.0,-585.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1109993802.09,9504998.30416,-1113133845.4,-1096340129.74,-1117367387.84,-1117076420.94,-1098515122.61,4.0,90344992762100.0,5.88667788813e-14,103,0.25,0.00390613535253,0.124996331281,0.125
1200.0,-785.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1056237.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1117228269.86,5947017.84261,-1114954752.56,-1113107567.43,-1125896006.9,-1124457553.28,-1113181910.67,4.0,35367021220300.0,5.88667788813e-14,97,0.25,0.0078125665695,0.125001065112,0.25
1200.0,-585.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1151507494.09,7696056.31726,-1151912915.14,-1141732037.08,-1160472109.02,-1159315298.42,-1143132100.3,4.0,59229282838400.0,5.88667788813e-14,108,0.25,0.0078124334305,0.249997869776,0.125
1200.0,-385.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,792178.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1156371705.43,2536934.98119,-1155733203.62,-1154152428.92,-1159867985.57,-1159370712.7,-1154266600.7,4.0,6436039098780.0,5.88667788813e-14,119,0.25,0.0078125665695,0.250002130224,0.125
1200.0,-985.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,792178.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1211761889.16,4383702.11659,-1211347507.76,-1207177163.43,-1217175377.68,-1216581451.25,-1207522461.03,4.0,19216844247000.0,5.88667788813e-14,91,0.125,0.0078125665695,0.250002130224,0.25
1200.0,-585.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1265561119.94,6972465.82914,-1266131175.42,-1256822236.67,-1273159892.27,-1272458746.21,-1257865416.01,4.0,48615279738600.0,5.88667788813e-14,113,0.25,0.00781258136272,0.250002603607,0.125
