npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight-htse_capacity,prefix,ProbabilityWeight,ProbabilityWeight-meoh_capacity,ProbabilityWeight-h2_storage_capacity
769.0,-620.0,-15250.0,-1e+200,-1e+200,-1e+200,-1e+200,403298.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1335017792.23,9736399.58656,1335017792.23,1341902466.4,1328133118.06,1328821585.48,1341213998.99,2.0,94797476909200.0,2.85069050095e-13,0.249579831933,107,0.00780013534634,0.250017101033,0.125003719426
769.0,-769.0,-15250.0,-1e+200,-1e+200,-1e+200,-1e+200,201649.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1313276247.12,10606262.1788,1313276247.12,1320776007.03,1305776487.21,1306526463.2,1320026031.04,2.0,112492797405000.0,2.85069050095e-13,0.125210084034,52,0.00782635961652,0.250017101033,0.250006199044
769.0,-472.0,-11595.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1274134808.06,2071316.25305,1274134808.06,1275599449.83,1272670166.29,1272816630.47,1275452985.65,2.0,4290351020160.0,2.85069050095e-13,0.249579831933,13,0.00779928435215,0.250017101033,0.12499008153
769.0,-769.0,-15250.0,-1e+200,-1e+200,-1e+200,-1e+200,302473.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1272406786.36,11239259.1116,1272406786.36,1280354142.69,1264459430.03,1265254165.66,1279559407.06,2.0,126320945378000.0,2.85069050095e-13,0.125210084034,77,0.00782635961652,0.250017101033,0.250006199044
769.0,-769.0,-15250.0,-1e+200,-1e+200,-1e+200,-1e+200,403298.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1231181744.87,4388218.3934,1231181744.87,1234284683.85,1228078805.89,1228389099.78,1233974389.95,2.0,19256460668200.0,2.85069050095e-13,0.125210084034,102,0.00391319921416,0.250017101033,0.125003719426
769.0,-472.0,-11595.0,-1e+200,-1e+200,-1e+200,-1e+200,100824.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1224729371.6,22830402.3997,1224729371.6,1240872903.95,1208585839.24,1210200192.48,1239258550.72,2.0,521227273734000.0,2.85069050095e-13,0.249579831933,38,0.0155994196985,0.250017101033,0.249993800956
769.0,-472.0,-11595.0,-1e+200,-1e+200,-1e+200,-1e+200,201649.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1181290328.95,7261115.89737,1181290328.95,1186424713.24,1176155944.66,1176669383.08,1185911274.81,2.0,52723804075100.0,2.85069050095e-13,0.249579831933,63,0.0156001933296,0.250017101033,0.250006199044
769.0,-472.0,-11595.0,-1e+200,-1e+200,-1e+200,-1e+200,302473.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1150526910.07,5427578.52525,1150526910.07,1154364787.65,1146689032.49,1147072820.24,1153980999.89,2.0,29458608647800.0,2.85069050095e-13,0.249579831933,88,0.0156001933296,0.250017101033,0.250006199044
769.0,-620.0,-11595.0,-1e+200,-1e+200,-1e+200,-1e+200,100824.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1122956373.32,16933049.8855,1122956373.32,1134929847.72,1110982898.92,1112180246.36,1133732500.28,2.0,286728178426000.0,2.85069050095e-13,0.249579831933,33,0.0155994196985,0.250017101033,0.249993800956
769.0,-472.0,-11595.0,-1e+200,-1e+200,-1e+200,-1e+200,403298.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1105611417.39,3595192.64178,1105611417.39,1108153602.48,1103069232.29,1103323450.8,1107899383.97,2.0,12925410131500.0,2.85069050095e-13,0.249579831933,113,0.00780013534634,0.250017101033,0.125003719426
769.0,-620.0,-11595.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1100802571.67,16218116.482,1100802571.67,1112270511.82,1089334631.53,1090481425.55,1111123717.8,2.0,263027302222000.0,2.85069050095e-13,0.249579831933,8,0.00779928435215,0.250017101033,0.12499008153
769.0,-620.0,-11595.0,-1e+200,-1e+200,-1e+200,-1e+200,201649.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1083666564.59,3238840.68608,1083666564.59,1085956770.8,1081376358.38,1081605379.0,1085727750.18,2.0,10490088989800.0,2.85069050095e-13,0.249579831933,58,0.0156001933296,0.250017101033,0.250006199044
769.0,-323.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1066937191.08,2138529.55143,1066937191.08,1068449359.83,1065425022.34,1065576239.21,1068298142.96,2.0,4573308642340.0,2.85069050095e-13,0.250420168067,19,0.00782447404289,0.249982898967,0.12499008153
769.0,-620.0,-11595.0,-1e+200,-1e+200,-1e+200,-1e+200,302473.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1042936236.38,3268699.31227,1042936236.38,1045247555.83,1040624916.93,1040856048.88,1045016423.89,2.0,10684395194000.0,2.85069050095e-13,0.249579831933,83,0.0156001933296,0.250017101033,0.250006199044
769.0,-323.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,100824.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1010610963.98,9015872.52583,1010610963.98,1016986148.58,1004235779.38,1004873297.84,1016348630.12,2.0,81285957402000.0,2.85069050095e-13,0.250420168067,44,0.0156498018285,0.249982898967,0.249993800956
769.0,-620.0,-11595.0,-1e+200,-1e+200,-1e+200,-1e+200,403298.0,1e+200,-1e+200,ref,cooper,nebraska,covid,992596479.249,19302587.178,992596479.249,1006245469.54,978947488.961,980312387.99,1004880570.51,2.0,372589871763000.0,2.85069050095e-13,0.249579831933,108,0.00780013534634,0.250017101033,0.125003719426
769.0,-769.0,-11595.0,-1e+200,-1e+200,-1e+200,-1e+200,100824.0,1e+200,-1e+200,ref,cooper,nebraska,covid,990542943.129,25769685.7106,990542943.129,1008764862.64,972321023.614,974143215.566,1006942670.69,2.0,664076701623000.0,2.85069050095e-13,0.125210084034,28,0.00782597149857,0.250017101033,0.249993800956
769.0,-323.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,201649.0,1e+200,-1e+200,ref,cooper,nebraska,covid,979286627.979,4765087.56698,979286627.979,982656053.71,975917202.247,976254144.82,982319111.137,2.0,22706059521000.0,2.85069050095e-13,0.250420168067,69,0.0156505779582,0.249982898967,0.250006199044
769.0,-769.0,-11595.0,-1e+200,-1e+200,-1e+200,-1e+200,201649.0,1e+200,-1e+200,ref,cooper,nebraska,covid,945294267.729,8752214.29552,945294267.729,951483017.808,939105517.65,939724392.658,950864142.8,2.0,76601255074700.0,2.85069050095e-13,0.125210084034,53,0.00782635961652,0.250017101033,0.250006199044
769.0,-769.0,-11595.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,929955849.965,21590199.5898,929955849.965,945222426.503,914689273.428,916215931.082,943695768.849,2.0,466136718329000.0,2.85069050095e-13,0.125210084034,3,0.00391277228441,0.250017101033,0.12499008153
769.0,-323.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,302473.0,1e+200,-1e+200,ref,cooper,nebraska,covid,912484803.789,25992890.4689,912484803.789,930864552.902,894105054.676,895943029.587,929026577.991,2.0,675630354929000.0,2.85069050095e-13,0.250420168067,94,0.0156505779582,0.249982898967,0.250006199044
769.0,-769.0,-11595.0,-1e+200,-1e+200,-1e+200,-1e+200,302473.0,1e+200,-1e+200,ref,cooper,nebraska,covid,901469850.652,11779414.9049,901469850.652,909799154.81,893140546.495,893973476.911,908966224.394,2.0,138754615502000.0,2.85069050095e-13,0.125210084034,78,0.00782635961652,0.250017101033,0.250006199044
769.0,-472.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,880388565.226,22159329.0695,880388565.226,896057577.078,864719553.374,866286454.56,894490675.892,2.0,491035864810000.0,2.85069050095e-13,0.249579831933,14,0.00779821741859,0.249982898967,0.12499008153
769.0,-323.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,403298.0,1e+200,-1e+200,ref,cooper,nebraska,covid,877049001.975,21225664.0391,877049001.975,892057812.953,862040190.998,863541072.096,890556931.855,2.0,450528813901000.0,2.85069050095e-13,0.250420168067,119,0.00782532778557,0.249982898967,0.125003719426
769.0,-472.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,100824.0,1e+200,-1e+200,ref,cooper,nebraska,covid,871131424.965,29972703.427,871131424.965,892325326.808,849937523.121,852056913.305,890205936.624,2.0,898362950720000.0,2.85069050095e-13,0.249579831933,39,0.0155972857149,0.249982898967,0.249993800956
769.0,-769.0,-11595.0,-1e+200,-1e+200,-1e+200,-1e+200,403298.0,1e+200,-1e+200,ref,cooper,nebraska,covid,870612000.447,13245993.4516,870612000.447,879978332.241,861245668.654,862182301.834,879041699.061,2.0,175456342520000.0,2.85069050095e-13,0.125210084034,103,0.00391319921416,0.250017101033,0.125003719426
769.0,-472.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,201649.0,1e+200,-1e+200,ref,cooper,nebraska,covid,866462573.908,8014204.89958,866462573.908,872129472.539,860795675.278,861362365.141,871562782.676,2.0,64227480172500.0,2.85069050095e-13,0.249579831933,64,0.0155980592402,0.249982898967,0.250006199044
769.0,-174.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,852801138.008,27006001.5389,852801138.008,871897264.829,833705011.187,835614623.869,869987652.147,2.0,729324119120000.0,2.85069050095e-13,0.125210084034,25,0.00195585087924,0.124974348451,0.12499008153
769.0,-472.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,302473.0,1e+200,-1e+200,ref,cooper,nebraska,covid,821488145.191,898026.97701,821488145.191,822123146.156,820853144.226,820916644.322,822059646.06,2.0,806452451437.0,2.85069050095e-13,0.249579831933,89,0.0155980592402,0.249982898967,0.250006199044
769.0,-174.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,100824.0,1e+200,-1e+200,ref,cooper,nebraska,covid,795338791.473,42774609.7884,795338791.473,825585008.117,765092574.829,768117196.493,822560386.452,2.0,1829667242550000.0,2.85069050095e-13,0.125210084034,50,0.00391191516495,0.124974348451,0.249993800956
769.0,-174.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,201649.0,1e+200,-1e+200,ref,cooper,nebraska,covid,774010028.069,7518665.74665,774010028.069,779326527.604,768693528.534,769225178.488,778794877.651,2.0,56530334609800.0,2.85069050095e-13,0.125210084034,75,0.00391210917083,0.124974348451,0.250006199044
769.0,-620.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,100824.0,1e+200,-1e+200,ref,cooper,nebraska,covid,742601482.462,30046927.2241,742601482.462,763847868.456,721355096.468,723479735.068,761723229.857,2.0,902817835609000.0,2.85069050095e-13,0.249579831933,34,0.0155972857149,0.249982898967,0.249993800956
769.0,-620.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,732224673.359,6502761.88281,732224673.359,736822820.383,727626526.335,728086341.038,736363005.681,2.0,42285912104500.0,2.85069050095e-13,0.249579831933,9,0.00779821741859,0.249982898967,0.12499008153
769.0,-472.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,403298.0,1e+200,-1e+200,ref,cooper,nebraska,covid,718952899.611,42729266.9415,718952899.611,749167054.02,688738745.201,691760160.642,746145638.579,2.0,1825790253350000.0,2.85069050095e-13,0.249579831933,114,0.00779906829636,0.249982898967,0.125003719426
769.0,-174.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,302473.0,1e+200,-1e+200,ref,cooper,nebraska,covid,715112409.808,29462431.9802,715112409.808,735945495.252,694279324.365,696362632.909,733862186.707,2.0,868034898186000.0,2.85069050095e-13,0.125210084034,100,0.00391210917083,0.124974348451,0.250006199044
769.0,-323.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,100824.0,1e+200,-1e+200,ref,cooper,nebraska,covid,703297079.608,1615499.87407,703297079.608,704439410.524,702154748.692,702268981.784,704325177.433,2.0,2609839843130.0,2.85069050095e-13,0.250420168067,45,0.0078238303299,0.124974348451,0.249993800956
769.0,-323.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,692439828.14,4306235.96956,692439828.14,695484796.796,689394859.485,689699356.35,695180299.93,2.0,18543668225500.0,2.85069050095e-13,0.250420168067,20,0.00391170175848,0.124974348451,0.12499008153
769.0,-620.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,201649.0,1e+200,-1e+200,ref,cooper,nebraska,covid,686167032.543,15834574.8459,686167032.543,697363767.794,674970297.293,676089970.818,696244094.269,2.0,250733760551000.0,2.85069050095e-13,0.249579831933,59,0.0155980592402,0.249982898967,0.250006199044
769.0,-620.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,302473.0,1e+200,-1e+200,ref,cooper,nebraska,covid,671816614.066,12302539.345,671816614.066,680515823.063,663117405.069,663987325.969,679645902.163,2.0,151352474336000.0,2.85069050095e-13,0.249579831933,84,0.0155980592402,0.249982898967,0.250006199044
769.0,-174.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,403298.0,1e+200,-1e+200,ref,cooper,nebraska,covid,664324511.989,49169859.2916,664324511.989,699092852.925,629556171.054,633033005.148,695616018.831,2.0,2417675062760000.0,2.85069050095e-13,0.125210084034,125,0.00195606428571,0.124974348451,0.125003719426
769.0,-620.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,403298.0,1e+200,-1e+200,ref,cooper,nebraska,covid,620475823.905,2864855.77791,620475823.905,622501582.853,618450064.958,618652640.852,622299006.958,2.0,8207398628210.0,2.85069050095e-13,0.249579831933,109,0.00779906829636,0.249982898967,0.125003719426
769.0,-323.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,201649.0,1e+200,-1e+200,ref,cooper,nebraska,covid,618435003.278,17282207.7104,618435003.278,630655369.544,606214637.012,607436673.639,629433332.918,2.0,298674703344000.0,2.85069050095e-13,0.250420168067,70,0.00782421834166,0.124974348451,0.250006199044
769.0,-769.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,100824.0,1e+200,-1e+200,ref,cooper,nebraska,covid,604780541.733,27761317.0445,604780541.733,624410757.269,585150326.196,587113347.749,622447735.716,2.0,770690724046000.0,2.85069050095e-13,0.125210084034,29,0.00782490091423,0.249982898967,0.249993800956
769.0,-323.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,302473.0,1e+200,-1e+200,ref,cooper,nebraska,covid,602358383.8,10325247.8469,602358383.8,609659436.57,595057331.03,595787436.307,608929331.293,2.0,106610743101000.0,2.85069050095e-13,0.250420168067,95,0.00782421834166,0.124974348451,0.250006199044
769.0,-769.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,201649.0,1e+200,-1e+200,ref,cooper,nebraska,covid,564336117.648,14082691.5216,564336117.648,574294084.32,554378150.975,555373947.642,573298287.653,2.0,198322200493000.0,2.85069050095e-13,0.125210084034,54,0.00782528897909,0.249982898967,0.250006199044
769.0,-323.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,403298.0,1e+200,-1e+200,ref,cooper,nebraska,covid,563296454.651,853527.543386,563296454.651,563899989.765,562692919.537,562753273.049,563839636.254,2.0,728509267319.0,2.85069050095e-13,0.250420168067,120,0.00391212857142,0.124974348451,0.125003719426
769.0,-769.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,562209761.257,6142012.27205,562209761.257,566552819.784,557866702.729,558301008.582,566118513.932,2.0,37724314750000.0,2.85069050095e-13,0.125210084034,4,0.00391223702145,0.249982898967,0.12499008153
769.0,-472.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,100824.0,1e+200,-1e+200,ref,cooper,nebraska,covid,531833471.355,3415923.96882,531833471.355,534248894.357,529418048.352,529659590.653,534007352.057,2.0,11668536560800.0,2.85069050095e-13,0.249579831933,40,0.0077975758657,0.124974348451,0.249993800956
769.0,-769.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,302473.0,1e+200,-1e+200,ref,cooper,nebraska,covid,518130943.914,5705582.56856,518130943.914,522165400.039,514096487.79,514499933.402,521761954.427,2.0,32553672446700.0,2.85069050095e-13,0.125210084034,79,0.00782528897909,0.249982898967,0.250006199044
769.0,-472.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,516036185.68,23768459.1358,516036185.68,532843024.314,499229347.047,500910030.911,531162340.45,2.0,564939649688000.0,2.85069050095e-13,0.249579831933,15,0.00389857524251,0.124974348451,0.12499008153
769.0,-472.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,201649.0,1e+200,-1e+200,ref,cooper,nebraska,covid,492258797.522,5306571.47243,492258797.522,496011110.195,488506484.849,488881716.117,495635878.928,2.0,28159700792000.0,2.85069050095e-13,0.249579831933,65,0.00779796257541,0.124974348451,0.250006199044
769.0,-769.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,403298.0,1e+200,-1e+200,ref,cooper,nebraska,covid,457086706.126,2757828.05027,457086706.126,459036785.042,455136627.21,455331635.102,458841777.15,2.0,7605615554880.0,2.85069050095e-13,0.125210084034,104,0.00391266389279,0.249982898967,0.125003719426
769.0,-472.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,302473.0,1e+200,-1e+200,ref,cooper,nebraska,covid,418905246.911,5228138.93371,418905246.911,422602099.404,415208394.418,415578079.668,422232414.155,2.0,27333436710200.0,2.85069050095e-13,0.249579831933,90,0.00779796257541,0.124974348451,0.250006199044
769.0,-472.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,403298.0,1e+200,-1e+200,ref,cooper,nebraska,covid,403524430.792,12066283.0385,403524430.792,412056581.353,394992280.232,395845495.288,411203366.296,2.0,145595186364000.0,2.85069050095e-13,0.249579831933,115,0.00389900062319,0.124974348451,0.125003719426
769.0,-620.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,100824.0,1e+200,-1e+200,ref,cooper,nebraska,covid,364387089.249,31257735.1147,364387089.249,386489645.713,342284532.784,344494788.431,384279390.066,2.0,977046004499000.0,2.85069050095e-13,0.249579831933,35,0.0077975758657,0.124974348451,0.249993800956
769.0,-620.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,201649.0,1e+200,-1e+200,ref,cooper,nebraska,covid,324604793.185,27873966.2233,324604793.185,344314663.72,304894922.649,306865909.703,342343676.666,2.0,776957993019000.0,2.85069050095e-13,0.249579831933,60,0.00779796257541,0.124974348451,0.250006199044
769.0,-620.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,302473.0,1e+200,-1e+200,ref,cooper,nebraska,covid,291617701.226,2837420.46346,291617701.226,293624060.476,289611341.975,289811977.9,293423424.551,2.0,8050954886450.0,2.85069050095e-13,0.249579831933,85,0.00779796257541,0.124974348451,0.250006199044
769.0,-620.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,284341586.209,4923205.27313,284341586.209,287822818.043,280860354.376,281208477.559,287474694.86,2.0,24237950161400.0,2.85069050095e-13,0.249579831933,10,0.00389857524251,0.124974348451,0.12499008153
769.0,-620.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,403298.0,1e+200,-1e+200,ref,cooper,nebraska,covid,247635199.808,14457858.5545,247635199.808,257858449.634,237411949.983,238434274.966,256836124.651,2.0,209029673983000.0,2.85069050095e-13,0.249579831933,110,0.00389900062319,0.124974348451,0.125003719426
769.0,-769.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,100824.0,1e+200,-1e+200,ref,cooper,nebraska,covid,223867824.34,6296442.52478,223867824.34,228320081.547,219415567.133,219860792.854,227874855.826,2.0,39645188467900.0,2.85069050095e-13,0.125210084034,30,0.00391191516495,0.124974348451,0.249993800956
769.0,-769.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,201649.0,1e+200,-1e+200,ref,cooper,nebraska,covid,163103212.304,20190753.9796,163103212.304,177380231.36,148826193.248,150253895.154,175952529.455,2.0,407666546263000.0,2.85069050095e-13,0.125210084034,55,0.00391210917083,0.124974348451,0.250006199044
769.0,-769.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,157947483.792,65396804.4882,157947483.792,204190007.714,111704959.871,116329212.263,199565755.321,2.0,4276742037260000.0,2.85069050095e-13,0.125210084034,5,0.00195585087924,0.124974348451,0.12499008153
769.0,-769.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,302473.0,1e+200,-1e+200,ref,cooper,nebraska,covid,115574492.596,28278274.2882,115574492.596,135570252.106,95578733.0867,97578309.0377,133570676.155,2.0,799660796717000.0,2.85069050095e-13,0.125210084034,80,0.00391210917083,0.124974348451,0.250006199044
769.0,-769.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,403298.0,1e+200,-1e+200,ref,cooper,nebraska,covid,63866173.2358,25808114.1527,63866173.2358,82115265.7628,45617080.7088,47441989.9615,80290356.5101,2.0,666058756117000.0,2.85069050095e-13,0.125210084034,105,0.00195606428571,0.124974348451,0.125003719426
769.0,-620.0,-18905.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-180565168926000.0,6959250.89524,-180565168926000.0,-180565164005000.0,-180565173847000.0,-180565173354000.0,-180565164497000.0,2.0,48431173022800.0,2.85069050095e-13,0.249579831933,6,0.00389964217608,0.125008550516,0.12499008153
769.0,-620.0,-18905.0,-1e+200,-1e+200,-1e+200,-1e+200,100824.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-180565206406000.0,391398.51892,-180565206406000.0,-180565206129000.0,-180565206682000.0,-180565206655000.0,-180565206156000.0,2.0,153192800613.0,2.85069050095e-13,0.249579831933,31,0.00779970984924,0.125008550516,0.249993800956
769.0,-620.0,-18905.0,-1e+200,-1e+200,-1e+200,-1e+200,201649.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-180565253607000.0,1947638.03593,-180565253607000.0,-180565252230000.0,-180565254984000.0,-180565254846000.0,-180565252367000.0,2.0,3793293918990.0,2.85069050095e-13,0.249579831933,56,0.00780009666478,0.125008550516,0.250006199044
769.0,-620.0,-18905.0,-1e+200,-1e+200,-1e+200,-1e+200,302473.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-180565297112000.0,2347114.01238,-180565297112000.0,-180565295452000.0,-180565298771000.0,-180565298605000.0,-180565295618000.0,2.0,5508944187130.0,2.85069050095e-13,0.249579831933,81,0.00780009666478,0.125008550516,0.250006199044
