smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,co2_location_label,fuel_region_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,prefix,ProbabilityWeight-ft_capacity,ProbabilityWeight-h2_storage_capacity,PointProbability,ProbabilityWeight
240.0,-132.0,-3311.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,60339.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-709580648.812,754583.475171,-709694316.872,-708685403.486,-710248558.019,-710235359.57,-708766802.771,4.0,569396221000.0,0.25,84,0.25,0.249990677246,1.06825089311e-11,0.0156244173279
240.0,-132.0,-3311.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-710066634.798,765879.515556,-710089591.494,-709111804.882,-710975551.323,-710857965.751,-709243164.472,4.0,586571432349.0,0.25,79,0.25,0.124984980008,1.06825089311e-11,0.00781156125049
240.0,-225.0,-4093.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,60339.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-710195031.408,273903.04565,-710137476.258,-709935826.226,-710569346.892,-710515763.19,-709954876.838,4.0,75022878416.6,0.125,56,0.25,0.249990677246,1.06825089311e-11,0.00781220866395
240.0,-132.0,-3311.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,120678.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-711955369.483,1095804.87553,-712089187.078,-710492976.723,-713150127.054,-712993387.09,-710730007.244,4.0,1200788325240.0,0.25,89,0.25,0.250009322754,1.06825089311e-11,0.0156255826721
240.0,-225.0,-4093.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,120678.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-714482596.622,866171.266599,-714497206.726,-713669152.409,-715266820.627,-715256036.859,-713688702.239,4.0,750252663082.0,0.125,61,0.25,0.250009322754,1.06825089311e-11,0.00781279133605
240.0,-132.0,-3311.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,181016.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-715961585.768,900185.541307,-715822057.499,-715068953.729,-717133274.345,-716986614.027,-715131897.087,4.0,810334008779.0,0.25,94,0.25,0.250009322754,1.06825089311e-11,0.0156255826721
240.0,-132.0,-3311.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,241355.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-719456838.491,1269943.80955,-719189934.974,-718393785.012,-721053699.004,-720881032.458,-718406309.448,4.0,1612757279400.0,0.25,99,0.25,0.125005697238,1.06825089311e-11,0.0078128560774
240.0,-225.0,-4093.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,181016.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-719853394.651,747829.235186,-720010087.853,-718818243.977,-720575158.921,-720510567.432,-718976851.387,4.0,559248564999.0,0.125,66,0.25,0.250009322754,1.06825089311e-11,0.00781279133605
240.0,-225.0,-4093.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,241355.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-726351242.775,659794.277143,-726143788.329,-725824677.941,-727292716.502,-727145536.946,-725847384.829,4.0,435328488150.0,0.125,71,0.25,0.125005697238,1.06825089311e-11,0.0039064280387
240.0,-225.0,-4093.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-728477797.726,351624.921079,-728434193.112,-728142887.105,-728899917.573,-728859446.511,-728157195.399,4.0,123640085124.0,0.125,51,0.25,0.124984980008,1.06825089311e-11,0.00390578062525
