smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,co2_location_label,fuel_region_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight-ft_capacity,ProbabilityWeight,PointProbability,prefix
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1330296560.26,8445622.64857,-1327740388.4,-1323783873.89,-1341921590.33,-1340307063.31,-1323864697.8,4.0,71328541922000.0,0.250003306843,0.249546279492,0.124990974078,0.00779786128164,1.7334191682000001e-13,117
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1337429229.8,1015862.0913,-1337181253.13,-1336485962.16,-1338868450.77,-1338626908.29,-1336578718.64,4.0,1031975788530.0,0.249996693157,0.249546279492,0.249981948155,0.0155953099878,1.7334191682000001e-13,82
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1342092433.42,4078101.59653,-1343393199.67,-1336176157.04,-1345407177.3,-1345181484.94,-1337182309.16,4.0,16630912631700.0,0.124994709051,0.249546279492,0.249981948155,0.00779742807743,1.7334191682000001e-13,77
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1360034424.5,1041099.59777,-1360301502.71,-1358549511.67,-1360985180.89,-1360883688.54,-1358811250.95,4.0,1083888372480.0,0.124994709051,0.249546279492,0.250018051845,0.00779855422245,1.7334191682000001e-13,53
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1361580866.48,2840884.56415,-1362382907.22,-1357493356.71,-1364064294.77,-1363835847.43,-1358203028.5,4.0,8070625106830.0,0.250003306843,0.249546279492,0.249981948155,0.0155957225633,1.7334191682000001e-13,93
720.0,-705.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1402865983.84,7795035.57464,-1401340899.7,-1395156756.89,-1413625379.09,-1411948360.75,-1395918724.74,4.0,60762579610000.0,0.250003306843,0.125226860254,0.124990974078,0.00391310857042,1.7334191682000001e-13,111
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1409130098.52,2939129.29428,-1408881512.02,-1406323157.47,-1412185626.08,-1411855214.68,-1406578992.92,3.0,8638481008510.0,0.125001984106,0.249546279492,0.124990974078,0.0038989409552,1.7334191682000001e-13,122
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1417479253.98,2810323.63563,-1418688843.35,-1413314856.65,-1419224472.6,-1419209473.04,-1414055609.83,4.0,7897918936980.0,0.250003306843,0.249546279492,0.249981948155,0.0155957225633,1.7334191682000001e-13,87
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1435171508.37,1627375.13786,-1435457887.28,-1433050892.4,-1436719366.51,-1436630102.88,-1433311983.38,4.0,2648349839310.0,0.249996693157,0.249546279492,0.250018051845,0.0155975623434,1.7334191682000001e-13,58
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1439111884.03,1954383.46476,-1439182751.91,-1437106129.68,-1440975902.63,-1440917763.65,-1437206789.39,4.0,3819614727330.0,0.125001984106,0.249546279492,0.249981948155,0.00779788191041,1.7334191682000001e-13,98
