smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,prefix,ProbabilityWeight,PointProbability,ProbabilityWeight-ft_capacity,ProbabilityWeight-h2_storage_capacity
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-279883275.479,1379324.64025,-279944458.666,-278260954.102,-281383230.483,-281263363.777,-278417530.72,4.0,1902536463190.0,0.250453720508,99,0.00782629995845,3.46688419418e-13,0.249981948155,0.125002976198
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-308810422.425,905253.793522,-308849911.757,-307719678.192,-309822187.995,-309728517.879,-307837041.906,4.0,819484430686.0,0.249546279492,88,0.0155959701145,3.46688419418e-13,0.249981948155,0.250007275152
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-331957813.585,1535862.19092,-331622517.011,-330637073.04,-333949147.279,-333713499.798,-330671542.577,4.0,2358872669500.0,0.125226860254,105,0.00195636794902,3.46688419418e-13,0.124990974078,0.12498974865
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-360083716.655,1537441.03293,-359347234.734,-359251516.67,-362388880.483,-361933179.225,-359265328.775,4.0,2363724929750.0,0.249546279492,93,0.0155959701145,3.46688419418e-13,0.249981948155,0.250007275152
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-385779583.963,2099004.53349,-385669291.156,-383800834.887,-387978918.651,-387855984.848,-383857593.006,4.0,4405820031630.0,0.125226860254,110,0.00391294293863,3.46688419418e-13,0.124990974078,0.249992724848
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-404795266.825,2423195.0236,-403767387.429,-403239994.009,-408406298.431,-407732742.58,-403296822.223,4.0,5871874122400.0,0.249546279492,82,0.0155950624366,3.46688419418e-13,0.249981948155,0.249992724848
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-413658925.455,548495.67184,-413537390.229,-413210204.784,-414350716.579,-414275323.436,-413212676.792,4.0,300847502027.0,0.249546279492,98,0.00779794379918,3.46688419418e-13,0.249981948155,0.125002976198
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-426244675.465,1471565.31027,-426048309.335,-424719976.969,-428162106.222,-427913623.593,-424850639.92,4.0,2165504462390.0,0.249546279492,77,0.0077971186374,3.46688419418e-13,0.249981948155,0.12498974865
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-441234426.641,357731.198413,-441141659.546,-440931805.289,-441722582.183,-441655798.474,-440942928.741,4.0,127971610318.0,0.125226860254,115,0.00391317068328,3.46688419418e-13,0.124990974078,0.250007275152
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-460363255.518,1638498.49223,-460304488.783,-458481561.917,-462362482.588,-462129488.592,-458679295.872,4.0,2684677309060.0,0.249546279492,87,0.0155959701145,3.46688419418e-13,0.249981948155,0.250007275152
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-496912371.177,302357.535581,-496972635.749,-496499153.928,-497205059.284,-497181106.528,-496559265.426,4.0,91420079322.4,0.125226860254,120,0.00391317068328,3.46688419418e-13,0.124990974078,0.250007275152
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-515833233.387,1617843.06921,-516602734.077,-513408704.264,-516718761.129,-516709212.486,-513879953.322,4.0,2617416196600.0,0.249546279492,92,0.0155959701145,3.46688419418e-13,0.249981948155,0.250007275152
