smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,prefix,PointProbability,ProbabilityWeight-meoh_capacity,ProbabilityWeight,ProbabilityWeight-htse_capacity
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-533712457.56,1792057.02371,-533712457.56,-532445281.887,-534979633.234,-534852915.667,-532571999.454,2.0,3211468376250.0,0.250006292421,89,3.66466187075e-13,0.25,0.0155970350308,0.249546279492
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-541798293.986,1138410.77615,-541798293.986,-540993316.006,-542603271.965,-542522774.167,-541073813.804,2.0,1295979095260.0,0.249993707579,50,3.66466187075e-13,0.125018050542,0.00391380597435,0.125226860254
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-584109279.5,1834198.61542,-584109279.5,-582812305.221,-585406253.779,-585276556.351,-582942002.648,2.0,3364284560790.0,0.125003845369,114,3.66466187075e-13,0.25,0.00779856113348,0.249546279492
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-588281831.972,420450.937931,-588281831.972,-587984528.263,-588579135.681,-588549405.31,-588014258.634,2.0,176778991207.0,0.250006292421,75,3.66466187075e-13,0.125018050542,0.00391400299785,0.125226860254
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-594652068.044,2465427.80065,-594652068.044,-592908747.328,-596395388.761,-596221056.689,-593083079.4,2.0,6078334240200.0,0.249993707579,34,3.66466187075e-13,0.25,0.0156529635417,0.250453720508
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-616693785.157,801809.523259,-616693785.157,-616126820.205,-617260750.108,-617204053.613,-616183516.701,2.0,642898511588.0,0.12498986221,9,3.66466187075e-13,0.25,0.00782604400407,0.250453720508
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-636308957.517,816515.772776,-636308957.517,-635731593.677,-636886321.357,-636828584.973,-635789330.061,2.0,666698007192.0,0.250006292421,100,3.66466187075e-13,0.125018050542,0.00391400299785,0.125226860254
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-642683533.928,1924748.90432,-642683533.928,-641322530.926,-644044536.931,-643908436.631,-641458631.226,2.0,3704658344680.0,0.250006292421,59,3.66466187075e-13,0.25,0.0156537515218,0.250453720508
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-682743872.89,460479.559587,-682743872.89,-682418264.671,-683069481.109,-683036920.287,-682450825.493,2.0,212041424797.0,0.12498986221,20,3.66466187075e-13,0.125018050542,0.00389940739611,0.249546279492
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-683661101.432,332264.264361,-683661101.432,-683426155.117,-683896047.746,-683872553.115,-683449649.749,2.0,110399541371.0,0.125003845369,125,3.66466187075e-13,0.125018050542,0.00195701244467,0.125226860254
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-692855668.421,135315.629736,-692855668.421,-692759985.822,-692951351.02,-692941782.76,-692769554.081,2.0,18310319650.8,0.250006292421,84,3.66466187075e-13,0.25,0.0156537515218,0.250453720508
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-699699746.628,1205571.76086,-699699746.628,-698847278.661,-700552214.596,-700466967.799,-698932525.458,2.0,1453403270580.0,0.249993707579,45,3.66466187075e-13,0.125018050542,0.00779925103585,0.249546279492
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-741944623.603,729192.096423,-741944623.603,-741429006.927,-742460240.279,-742408678.611,-741480568.594,2.0,531721113485.0,0.125003845369,109,3.66466187075e-13,0.25,0.0078269195376,0.250453720508
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-748102825.511,1116769.592,-748102825.511,-747313150.159,-748892500.862,-748813533.327,-747392117.694,2.0,1247174321620.0,0.250006292421,70,3.66466187075e-13,0.125018050542,0.00779964365513,0.249546279492
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-759486338.443,497761.02925,-759486338.443,-759134368.244,-759838308.642,-759803111.623,-759169565.264,2.0,247766042240.0,0.249993707579,29,3.66466187075e-13,0.25,0.00782648177084,0.125226860254
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-794379210.09,263488.537872,-794379210.09,-794192895.558,-794565524.622,-794546893.169,-794211527.011,2.0,69426209590.2,0.12498986221,4,3.66466187075e-13,0.25,0.00391302200204,0.125226860254
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-799005408.681,1857280.78003,-799005408.681,-797692112.846,-800318704.515,-800187374.931,-797823442.43,2.0,3449491895860.0,0.250006292421,95,3.66466187075e-13,0.125018050542,0.00779964365513,0.249546279492
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-809716279.642,943778.767919,-809716279.642,-809048927.275,-810383632.008,-810316896.772,-809115662.511,2.0,890718362775.0,0.250006292421,54,3.66466187075e-13,0.25,0.00782687576092,0.125226860254
