npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,prefix,ProbabilityWeight-meoh_capacity,PointProbability,ProbabilityWeight,ProbabilityWeight-htse_capacity
522.0,-334.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,648934694.525,269064.183808,648934694.525,649124951.634,648744437.416,648763463.127,649105925.923,2.0,72395535008.2,0.12498630137,14,0.25,1.0563053673200001e-12,0.00779081278539,0.249333333333
522.0,-522.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,638003314.191,687249.725532,638003314.191,638489273.132,637517355.249,637565951.144,638440677.238,2.0,472312185244.0,0.12500456621,103,0.25,1.0563053673200001e-12,0.00391680974125,0.125333333333
522.0,-241.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,625028587.031,1152176.41331,625028587.031,625843298.786,624213875.276,624295346.452,625761827.611,2.0,1327510487390.0,0.12500456621,119,0.25,1.0563053673200001e-12,0.00779195129376,0.249333333333
522.0,-334.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,620225878.567,145850.325634,620225878.567,620329010.321,620122746.813,620133059.988,620318697.146,2.0,21272317487.6,0.25000913242,64,0.25,1.0563053673200001e-12,0.0155839025875,0.249333333333
522.0,-147.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,608966719.299,1206995.90855,608966719.299,609820194.291,608113244.307,608198591.807,609734846.792,2.0,1456839123270.0,0.12498630137,25,0.124972890913,1.0563053673200001e-12,0.00195769405898,0.125333333333
522.0,-334.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,589346522.536,705172.213182,589346522.536,589845154.59,588847890.482,588897753.687,589795291.384,2.0,497267850244.0,0.25000913242,89,0.25,1.0563053673200001e-12,0.0155839025875,0.249333333333
522.0,-147.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,579691479.317,1275348.78899,579691479.317,580593287.094,578789671.54,578879852.318,580503106.316,2.0,1626514533580.0,0.24999086758,50,0.124972890913,1.0563053673200001e-12,0.00391567420506,0.125333333333
522.0,-428.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,571374996.762,469459.743989,571374996.762,571706954.931,571043038.594,571076234.411,571673759.114,2.0,220392451226.0,0.24999086758,34,0.25,1.0563053673200001e-12,0.0156660943683,0.250666666667
522.0,-334.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,561369412.54,23844.4288857,561369412.54,561386273.097,561352551.982,561354238.038,561384587.041,2.0,568556788.887,0.12500456621,114,0.25,1.0563053673200001e-12,0.00779195129376,0.249333333333
522.0,-428.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,553002452.011,900253.808991,553002452.011,553639027.584,552365876.438,552429533.995,553575370.027,2.0,810456920602.0,0.12498630137,9,0.25,1.0563053673200001e-12,0.00783247488584,0.250666666667
522.0,-147.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,549189692.181,630514.641231,549189692.181,549635533.359,548743851.002,548788435.12,549590949.241,2.0,397548712807.0,0.25000913242,75,0.124972890913,1.0563053673200001e-12,0.00391596029216,0.125333333333
522.0,-428.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,542894727.064,705570.073852,542894727.064,543393640.448,542395813.68,542445705.019,543343749.11,2.0,497829129116.0,0.25000913242,59,0.25,1.0563053673200001e-12,0.015667238965,0.250666666667
522.0,-147.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,519284676.981,64615.9964715,519284676.981,519330367.391,519238986.572,519243555.613,519325798.35,2.0,4175227000.0,0.25000913242,100,0.124972890913,1.0563053673200001e-12,0.00391596029216,0.125333333333
522.0,-428.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,513256477.982,459621.518497,513256477.982,513581479.474,512931476.489,512963976.638,513548979.325,2.0,211251940265.0,0.25000913242,84,0.25,1.0563053673200001e-12,0.015667238965,0.250666666667
522.0,-241.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,509682034.064,172144.711139,509682034.064,509803758.756,509560309.371,509572481.84,509791586.287,2.0,29633801573.3,0.12498630137,20,0.124972890913,1.0563053673200001e-12,0.00389456158541,0.249333333333
522.0,-241.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,507899110.141,847161.515766,507899110.141,508498143.794,507300076.489,507359979.854,508438240.429,2.0,717682633795.0,0.24999086758,45,0.124972890913,1.0563053673200001e-12,0.00778969230155,0.249333333333
522.0,-522.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,491292966.123,189987.018516,491292966.123,491427307.232,491158625.014,491172059.125,491413873.121,2.0,36095067204.4,0.24999086758,29,0.25,1.0563053673200001e-12,0.00783304718417,0.125333333333
522.0,-147.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,490055873.731,1026152.52538,490055873.731,490781473.141,489330274.322,489402834.263,490708913.2,2.0,1052989005340.0,0.12500456621,125,0.124972890913,1.0563053673200001e-12,0.00195798014608,0.125333333333
