smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,prefix,ProbabilityWeight-meoh_capacity,PointProbability,ProbabilityWeight,ProbabilityWeight-htse_capacity
720.0,-667.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-539634694.092,83553780.8581,-539634694.092,-480553249.054,-598716139.131,-592807994.627,-486461393.557,2.0,6981234295690000.0,0.124999250922,5,0.125018050542,2.6175466018599997e-14,0.00195694051577,0.125226860254
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-564813706.927,10899704.7884,-564813706.927,-557106451.758,-572520962.096,-571750236.579,-557877177.275,2.0,118803564474000.0,0.249999500615,45,0.125018050542,2.6175466018599997e-14,0.00779943176577,0.249546279492
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-578248190.447,16602933.5115,-578248190.447,-566508143.574,-589988237.321,-588814232.633,-567682148.261,2.0,275657401186000.0,0.250000499385,63,0.249963898917,2.6175466018599997e-14,0.0155944213959,0.249546279492
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-644950819.778,29921437.2636,-644950819.778,-623793168.586,-666108470.97,-663992705.851,-625908933.706,2.0,895292407920000.0,0.249999500615,29,0.25,2.6175466018599997e-14,0.00782666313177,0.125226860254
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-670466548.035,37255425.3609,-670466548.035,-644122984.127,-696810111.944,-694175755.553,-646757340.518,2.0,1387966718820000.0,0.250000499385,58,0.249963898917,2.6175466018599997e-14,0.0156511283828,0.250453720508
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-707333688.981,23491195.3153,-707333688.981,-690722905.475,-723944472.487,-722283394.136,-692383983.826,2.0,551836257340000.0,0.249999500615,40,0.125018050542,2.6175466018599997e-14,0.00779943176577,0.249546279492
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,3754623.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-712078966.157,2549864.28647,-712078966.157,-710275939.829,-713881992.485,-713701689.852,-710456242.461,2.0,6501807879420.0,0.250000499385,76,0.125018050542,2.6175466018599997e-14,0.00391391230429,0.125226860254
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-801150123.256,4715264.89348,-801150123.256,-797815927.475,-804484319.037,-804150899.459,-798149347.053,2.0,22233723015700.0,0.250000499385,53,0.249963898917,2.6175466018599997e-14,0.00782556419142,0.125226860254
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-820418848.949,12792574.3694,-820418848.949,-811373132.864,-829464565.035,-828559993.426,-812277704.472,2.0,163649958997000.0,0.250000499385,69,0.25,2.6175466018599997e-14,0.0155966736232,0.249546279492
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-832797050.506,18037119.8535,-832797050.506,-820042880.745,-845551220.268,-844275803.292,-821318297.721,2.0,325337692611000.0,0.250000499385,64,0.25,2.6175466018599997e-14,0.0155966736232,0.249546279492
