npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight-htse_capacity,ProbabilityWeight,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-ft_capacity
894.0,-703.0,-13224.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,706937.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1795041126.78,1162806.2825,1795225036.35,1796177450.54,1793536983.86,1793720233.8,1796104546.35,4.0,1352118450620.0,8.47275451554e-14,0.25,0.0156251823466,67,0.250002917546,0.25
894.0,-879.0,-13224.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1769968025.14,3783998.95964,1770054779.65,1774470323.07,1765292218.18,1765911317.9,1773903276.06,4.0,14318648126500.0,8.47275451554e-14,0.124645892351,0.00389506429344,51,0.124996154144,0.25
894.0,-879.0,-13224.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,471291.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1745744539.73,2679748.61888,1745332728.16,1749011181.04,1743301521.55,1743379590.89,1748686024.77,4.0,7181052660400.0,8.47275451554e-14,0.124645892351,0.00779044265698,61,0.250002387083,0.25
894.0,-350.0,-8790.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,471291.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1736449352.76,2070676.06612,1736088024.16,1739145553.18,1734475809.54,1734590468.1,1738814097.46,4.0,4287699370820.0,8.47275451554e-14,0.25,0.0156251491927,89,0.250002387083,0.25
894.0,-703.0,-13224.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,942583.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1724853550.64,3217324.55268,1725943018.32,1727368762.84,1720159403.09,1720967101.34,1727214745.2,4.0,10351177277300.0,8.47275451554e-14,0.25,0.00781259117331,72,0.125001458773,0.25
894.0,-526.0,-8790.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1712002309.03,2383931.10251,1711994260.18,1714832269.96,1709188445.79,1709496930.62,1714518955.83,4.0,5683127501530.0,8.47275451554e-14,0.25,0.007812259634,78,0.124996154144,0.25
894.0,-526.0,-8790.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,235646.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1704059269.78,3118085.64175,1703974821.38,1707778264.56,1700509171.79,1700854123.05,1707382644.27,4.0,9722458069310.0,8.47275451554e-14,0.25,0.0156248176534,83,0.249997082454,0.25
894.0,-879.0,-13224.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,706937.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1675980847.54,5076808.00089,1676105238.21,1681512391.95,1670200521.78,1670699694.02,1681087854.12,4.0,25773979477900.0,8.47275451554e-14,0.124645892351,0.00779045918698,66,0.250002917546,0.25
894.0,-350.0,-8790.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,706937.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1670716166.38,2530090.79913,1671607478.47,1672607348.26,1667042360.3,1667649057.11,1672535438.71,4.0,6401359451840.0,8.47275451554e-14,0.25,0.0156251823466,94,0.250002917546,0.25
894.0,-526.0,-8790.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,471291.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1635910836.33,4073819.3576,1636801895.03,1639812686.39,1630226868.86,1631126425.82,1639447764.65,4.0,16596004158400.0,8.47275451554e-14,0.25,0.0156251491927,88,0.250002387083,0.25
