RAVEN_sample_ID,hour,_ROM_Cluster,Year,scaling,Dispatch__npp__production__electricity,Dispatch__htse__production__electricity,Dispatch__htse__production__h2,Dispatch__ft__production__diesel,Dispatch__ft__production__h2,Dispatch__ft__production__naphtha,Dispatch__ft__production__jet_fuel,Dispatch__ft_elec_consumption__production__electricity,Dispatch__electricity_market__production__electricity,Dispatch__naphtha_market__production__naphtha,Dispatch__jet_fuel_market__production__jet_fuel,Dispatch__diesel_market__production__diesel,Dispatch__h2_storage__level__h2,Dispatch__h2_storage__charge__h2,Dispatch__h2_storage__discharge__h2,price,ProbabilityWeight,prefix,PointProbability
0,0.0,2,2029,1.0,894.0,-791.0,19877.83,10254.023,-22092.0,15276.826,18507.26,-14.9,-88.1,-15276.826,-18507.26,-10254.023,103706.66,0.0,2214.17,19.9964445821,1.0,1_0,1.0
0,0.0,2,2030,1.0,894.0,-791.0,19877.83,10254.023,-22092.0,15276.826,18507.26,-14.9,-88.1,-15276.826,-18507.26,-10254.023,103706.66,0.0,2214.17,27.3655146069,1.0,1_0,1.0
0,0.0,2,2031,1.0,894.0,-791.0,19877.83,10254.023,-22092.0,15276.826,18507.26,-14.9,-88.1,-15276.826,-18507.26,-10254.023,103706.66,0.0,2214.17,17.8074111613,1.0,1_0,1.0
0,0.0,3,2012,1.0,894.0,-791.0,19877.83,10254.023,-22092.0,15276.826,18507.26,-14.9,-88.1,-15276.826,-18507.26,-10254.023,103706.66,0.0,2214.17,29.8371589166,1.0,1_0,1.0
0,0.0,3,2013,1.0,894.0,-791.0,19877.83,10254.023,-22092.0,15276.826,18507.26,-14.9,-88.1,-15276.826,-18507.26,-10254.023,103706.66,0.0,2214.17,23.2243468226,1.0,1_0,1.0
0,0.0,3,2014,1.0,894.0,-791.0,19877.83,10254.023,-22092.0,15276.826,18507.26,-14.9,-88.1,-15276.826,-18507.26,-10254.023,103706.66,0.0,2214.17,14.1757388152,1.0,1_0,1.0
0,0.0,3,2015,1.0,894.0,-791.0,19877.83,10254.023,-22092.0,15276.826,18507.26,-14.9,-88.1,-15276.826,-18507.26,-10254.023,103706.66,0.0,2214.17,43.4478141331,1.0,1_0,1.0
0,0.0,3,2016,1.0,894.0,-791.0,19877.83,10254.023,-22092.0,15276.826,18507.26,-14.9,-88.1,-15276.826,-18507.26,-10254.023,103706.66,0.0,2214.17,20.2251754807,1.0,1_0,1.0
0,0.0,3,2017,1.0,894.0,-791.0,19877.83,10254.023,-22092.0,15276.826,18507.26,-14.9,-88.1,-15276.826,-18507.26,-10254.023,103706.66,0.0,2214.17,17.3670404813,1.0,1_0,1.0
0,0.0,3,2018,1.0,894.0,-791.0,19877.83,10254.023,-22092.0,15276.826,18507.26,-14.9,-88.1,-15276.826,-18507.26,-10254.023,103706.66,0.0,2214.17,228.600429388,1.0,1_0,1.0
