smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,co2_location_label,fuel_region_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,prefix,ProbabilityWeight-htse_capacity,ProbabilityWeight-ft_capacity,ProbabilityWeight-h2_storage_capacity,PointProbability
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-799460030.318,2714216.20442,-800048842.709,-796027585.043,-801714850.811,-801690987.52,-796404735.768,4.0,7366969604330.0,0.0155953099878,82,0.249546279492,0.249981948155,0.249996693157,1.7334191682000001e-13
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-812865327.1,3749646.57804,-813719866.935,-807634618.825,-816386955.704,-816090647.218,-808443651.212,4.0,14059849460200.0,0.00391310857042,120,0.125226860254,0.124990974078,0.250003306843,1.7334191682000001e-13
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-826189051.474,2232138.80775,-826811325.217,-823145103.154,-827988452.309,-827948926.82,-823557992.889,4.0,4982443657080.0,0.0155957225633,93,0.249546279492,0.249981948155,0.250003306843,1.7334191682000001e-13
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-828644070.542,2059308.82941,-829308665.871,-825752546.785,-830206403.64,-830179758.094,-826177949.529,4.0,4240752854880.0,0.00782734744372,66,0.125226860254,0.250018051845,0.250003306843,1.7334191682000001e-13
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-864209863.798,5998276.16801,-865327546.609,-856589812.991,-869594548.985,-869409217.788,-857445753.874,4.0,35979316987700.0,0.00782621714084,114,0.250453720508,0.124990974078,0.250003306843,1.7334191682000001e-13
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-877380053.795,1970525.15213,-877666782.167,-874874772.923,-879311877.922,-879193978.536,-875164709.332,4.0,3882969375200.0,0.0155957225633,87,0.249546279492,0.249981948155,0.250003306843,1.7334191682000001e-13
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-892757573.643,3397422.89028,-892495859.461,-889259945.327,-896778630.322,-896397924.022,-889483623.118,4.0,11542482295400.0,0.00195655946116,125,0.125226860254,0.124990974078,0.125001984106,1.7334191682000001e-13
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-905234042.07,2061343.02831,-906015351.085,-902228419.04,-906677047.068,-906645748.172,-902728503.345,4.0,4249135080350.0,0.00391368407525,71,0.125226860254,0.250018051845,0.125001984106,1.7334191682000001e-13
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-905709832.839,3258208.02026,-905059139.11,-903011318.544,-909709734.59,-909306843.936,-903023792.961,4.0,10615919503300.0,0.00779788191041,98,0.249546279492,0.249981948155,0.125001984106,1.7334191682000001e-13
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-911354697.839,2736500.95767,-912451086.662,-907301000.591,-913215617.442,-913144112.351,-908030338.975,4.0,7488437491330.0,0.00389871403872,103,0.249546279492,0.124990974078,0.124994709051,1.7334191682000001e-13
