npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight,ProbabilityWeight-ft_capacity,PointProbability,ProbabilityWeight-htse_capacity,prefix
522.0,-320.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,519362973.508,677949.110117,519362973.508,519842355.921,518883591.095,518931529.336,519794417.68,2.0,459614995909.0,0.250009196248,0.0155839065661,0.25,1.0406674226900002e-12,0.249333333333,88
522.0,-132.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,517945045.658,1149947.16272,517945045.658,518758181.095,517131910.221,517213223.765,518676867.551,2.0,1322378477060.0,0.249990803752,0.00391735359627,0.125026522385,1.0406674226900002e-12,0.125333333333,110
522.0,-507.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,271860.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,493945886.69,362288.845502,493945886.69,494202063.59,493689709.791,493715327.481,494176445.9,2.0,131253207575.0,0.125004598124,0.00391681074122,0.25,1.0406674226900002e-12,0.125333333333,71
522.0,-132.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,490389814.799,185364.438068,490389814.799,490520887.25,490258742.348,490271849.593,490507780.005,2.0,34359974900.3,0.250009196248,0.00391764180651,0.125026522385,1.0406674226900002e-12,0.125333333333,115
522.0,-320.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,203895.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,490093512.826,167812.081046,490093512.826,490212173.886,489974851.765,489986717.871,490200307.78,2.0,28160894545.0,0.250009196248,0.0155839065661,0.25,1.0406674226900002e-12,0.249333333333,93
522.0,-413.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,464835262.022,1204923.42481,464835262.022,465687271.547,463983252.498,464068453.45,465602070.594,2.0,1451840459660.0,0.249990803752,0.0155827601005,0.25,1.0406674226900002e-12,0.249333333333,82
522.0,-132.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,203895.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,460593766.997,1676106.06813,460593766.997,461778952.964,459408581.03,459527099.627,461660434.367,2.0,2809331551630.0,0.250009196248,0.00391764180651,0.125026522385,1.0406674226900002e-12,0.125333333333,120
522.0,-320.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,271860.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,460541242.187,54710.6321727,460541242.187,460579928.447,460502555.928,460506424.554,460576059.821,2.0,2993253272.74,0.125004598124,0.00779195328306,0.25,1.0406674226900002e-12,0.249333333333,98
522.0,-413.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,449615189.326,251481.337317,449615189.326,449793013.485,449437365.167,449455147.583,449775231.069,2.0,63242863018.8,0.124986205628,0.00779080681749,0.25,1.0406674226900002e-12,0.249333333333,77
522.0,-226.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,446406730.525,339494.079344,446406730.525,446646789.091,446166671.959,446190677.816,446622783.234,2.0,115256229909.0,0.124986205628,0.00391706538603,0.125026522385,1.0406674226900002e-12,0.250666666667,104
522.0,-226.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,441384228.434,281875.030141,441384228.434,441583544.179,441184912.689,441204844.263,441563612.605,2.0,79453532616.8,0.249990803752,0.00783470719255,0.125026522385,1.0406674226900002e-12,0.250666666667,109
