smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,PointProbability,prefix,ProbabilityWeight-ft_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight
720.0,-154.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-313433843.816,29920095.3654,-314248884.094,-283114886.724,-342122720.353,-341197054.351,-284529576.892,4.0,895212106677000.0,0.125000566882,4.95258127397e-14,75,0.250018051845,0.125226860254,0.00391363970343
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-351807919.928,13125771.6399,-352063525.866,-336563296.469,-366541331.512,-365239499.098,-338018492.445,4.0,172285881142000.0,0.249999055196,4.95258127397e-14,58,0.250018051845,0.249546279492,0.0155977097136
720.0,-292.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-362029748.731,12925448.2306,-360898431.966,-347927704.729,-378394426.263,-376369760.48,-349273580.453,4.0,167067211961000.0,0.250000944804,4.95258127397e-14,69,0.250018051845,0.250453720508,0.0156545469814
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-364330946.928,12097166.0535,-361632662.415,-352898214.28,-381160248.601,-378575294.987,-353864197.187,4.0,146341426526000.0,0.124998488314,4.95258127397e-14,53,0.250018051845,0.249546279492,0.00779879001474
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-388407776.755,19695264.5033,-385638354.871,-369380806.201,-412973591.077,-410307615.084,-370385129.063,4.0,387903443854000.0,0.250000944804,4.95258127397e-14,63,0.250018051845,0.249546279492,0.0155978276082
720.0,-292.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-444521660.508,29146888.148,-443776412.986,-416194338.094,-474339477.969,-472858193.491,-417228474.057,4.0,849541088709000.0,0.125000566882,4.95258127397e-14,74,0.250018051845,0.250453720508,0.00782727940685
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-447027524.015,18758520.2812,-440654288.465,-432810865.226,-473990653.904,-469703970.791,-433273607.009,4.0,351882083141000.0,0.249999055196,4.95258127397e-14,57,0.250018051845,0.249546279492,0.0155977097136
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-480563051.522,7628135.37859,-478336872.376,-474014739.642,-491563721.696,-489672067.272,-474570686.577,4.0,58188449354100.0,0.124998488314,4.95258127397e-14,52,0.250018051845,0.249546279492,0.00779879001474
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-484088697.042,29551486.6719,-481033849.007,-457530347.563,-516756742.59,-514451572.782,-458002608.55,4.0,873290364517000.0,0.250000944804,4.95258127397e-14,68,0.250018051845,0.249546279492,0.0155978276082
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-503112377.637,14748150.5717,-505025714.584,-483698803.692,-518699277.688,-517182418.188,-486363665.36,4.0,217507945287000.0,0.250000944804,4.95258127397e-14,62,0.250018051845,0.249546279492,0.0155978276082
