npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,prefix,ProbabilityWeight-ft_capacity
1193.0,-785.0,-19730.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,22005.0,ref,braidwood,illinois,covid,2663556309.85,3709941.56995,2662552651.86,2668872676.05,2660247259.65,2660566493.1,2667951247.79,4.0,13763666452400.0,4.61981158295e-13,0.0012773447555399998,0.111122894195,0.111111111111,201,0.10345395413899999
1193.0,-785.0,-19730.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,33007.0,ref,braidwood,illinois,covid,2663159626.77,3148677.73234,2662148655.6,2667688448.12,2660652747.76,2660776302.93,2666958310.25,4.0,9914171462120.0,4.61981158295e-13,0.0012773447555399998,0.111122894195,0.111111111111,210,0.10345395413899999
1193.0,-785.0,-19730.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,55012.0,ref,braidwood,illinois,covid,2662449962.62,1774938.3325599998,2662448044.68,2664283130.42,2660620630.7,2660719036.14,2664183574.21,4.0,3150406084410.0,4.61981158295e-13,0.0012773447555399998,0.111122894195,0.111111111111,228,0.10345395413899999
1193.0,-785.0,-19730.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,44010.0,ref,braidwood,illinois,covid,2659344531.7,3233168.8818599996,2659023927.38,2663587267.29,2655743004.76,2656189798.57,2662948110.88,4.0,10453381018600.0,4.61981158295e-13,0.0012773447555399998,0.111122894195,0.111111111111,219,0.10345395413899999
1193.0,-785.0,-19730.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,66015.0,ref,braidwood,illinois,covid,2657890851.93,897822.6317319999,2657875311.62,2658951297.62,2656861486.88,2656962292.62,2658841167.69,4.0,806085478050.0,4.61981158295e-13,0.0012773447555399998,0.111122894195,0.111111111111,237,0.10345395413899999
1193.0,-785.0,-19730.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,77017.0,ref,braidwood,illinois,covid,2657343058.52,3087275.23009,2656901826.81,2661513523.9,2654055056.56,2654479274.3,2660824567.14,4.0,9531268346350.0,4.61981158295e-13,0.0012773447555399998,0.111122894195,0.111111111111,246,0.10345395413899999
1193.0,-785.0,-19730.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,88020.0,ref,braidwood,illinois,covid,2657064529.42,3466074.01255,2656370011.75,2661298509.27,2654219584.88,2654222962.4,2660878421.16,4.0,12013669060500.0,4.61981158295e-13,0.0012773447555399998,0.111122894195,0.111111111111,255,0.10345395413899999
1193.0,-785.0,-19730.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,99022.0,ref,braidwood,illinois,covid,2654312780.5,2676099.6999,2653628496.61,2658010875.21,2651983253.57,2652102520.63,2657481037.82,4.0,7161509603830.0,4.61981158295e-13,0.000638643353803,0.0555589221509,0.111111111111,264,0.10345395413899999
1193.0,-885.0,-19730.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,33007.0,ref,braidwood,illinois,covid,2594113343.78,3464521.28133,2595172285.81,2596958308.63,2589150494.85,2589945476.78,2596798691.92,4.0,12002907708800.0,4.61981158295e-13,0.0012773447555399998,0.111122894195,0.111111111111,209,0.10345395413899999
1193.0,-885.0,-19730.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,22005.0,ref,braidwood,illinois,covid,2593033793.48,2029328.96633,2592694604.78,2595683037.12,2591062927.22,2591190447.13,2595352003.99,4.0,4118176053570.0,4.61981158295e-13,0.0012773447555399998,0.111122894195,0.111111111111,200,0.10345395413899999
1193.0,-885.0,-19730.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,44010.0,ref,braidwood,illinois,covid,2592628288.14,2759046.77,2593204138.92,2595201457.69,2588903417.04,2589411132.25,2595039252.95,4.0,7612339079070.0,4.61981158295e-13,0.0012773447555399998,0.111122894195,0.111111111111,218,0.10345395413899999
