npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-htse_capacity,ProbabilityWeight-ft_capacity,ProbabilityWeight-h2_storage_capacity,PointProbability,ProbabilityWeight
769,-605,-15215,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,1414973,1.00E+200,-1.00E+200,ref,cooper,nebraska,covid,1132968920,4948581.635,1132737728,1139089729,1127310493,1127915750,1138345757,4,2.45E+13,243,0.111360239,0.111111111,0.111111355,2.79E-14,0.001374821
769,-531,-11479,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,707487,1.00E+200,-1.00E+200,ref,cooper,nebraska,covid,1123165418,18821193.3,1128846772,1137599405,1097368722,1100907678,1137469262,4,3.54E+14,424,0.110612855,0.111111111,0.111111512,2.79E-14,0.001365596
769,-234,-5875,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,10,1.00E+200,-1.00E+200,ref,cooper,nebraska,covid,1122881316,11512976.37,1128799609,1130231340,1109613000,1111531661,1130088167,3,1.33E+14,708,0.111360239,0.111111111,0.055554107,2.79E-14,0.000687391
769,-605,-9611,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,10,1.00E+200,-1.00E+200,ref,cooper,nebraska,covid,1120776356,849291.7744,1120622417,1121790741,1120069848,1120071376,1121696850,4,7.21297E+11,503,0.111360239,0.111111111,0.055554107,2.79E-14,0.000687391
769,-680,-17083,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,1768716,1.00E+200,-1.00E+200,ref,cooper,nebraska,covid,1112069814,3980460.971,1113866444,1114402613,1106143755,1107225944,1114398402,4,1.58E+13,152,0.111360239,0.111111111,0.111111512,2.79E-14,0.001374823
769,-605,-13347,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,1061230,1.00E+200,-1.00E+200,ref,cooper,nebraska,covid,1109380242,7980872.811,1109320638,1117668954,1101210738,1101636108,1117207822,4,6.37E+13,333,0.111360239,0.111111111,0.111111355,2.79E-14,0.001374821
769,-754,-11479,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,353743,1.00E+200,-1.00E+200,ref,cooper,nebraska,covid,1100699578,17319138.43,1108117869,1111687538,1074875033,1079705820,1111307727,4,3.00E+14,411,0.055306428,0.111111111,0.111109942,2.79E-14,0.000682788
769,-531,-9611,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,353743,1.00E+200,-1.00E+200,ref,cooper,nebraska,covid,1097615060,18400110.68,1103830725,1111738930,1071059860,1075359203,1111168987,4,3.39E+14,514,0.110612855,0.111111111,0.111109942,2.79E-14,0.001365576
769,-754,-18951,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,2122460,1.00E+200,-1.00E+200,ref,cooper,nebraska,covid,1092638489,1418295.207,1092451298,1094538332,1091113028,1091295967,1094243078,4,2.01E+12,61,0.055306428,0.055555556,0.111111512,2.79E-14,0.000341399
769,-680,-15215,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,1414973,1.00E+200,-1.00E+200,ref,cooper,nebraska,covid,1083725845,3575599.852,1084126815,1087435046,1079214703,1079741396,1087148935,4,1.28E+13,242,0.111360239,0.111111111,0.111111355,2.79E-14,0.001374821
769,-308,-7743,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,353743,1.00E+200,-1.00E+200,ref,cooper,nebraska,covid,1074314636,19400999.23,1070610178,1097873192,1058164995,1058238241,1095577271,4,3.76E+14,617,0.110612855,0.111111111,0.111109942,2.79E-14,0.001365576
769,-605,-11479,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,707487,1.00E+200,-1.00E+200,ref,cooper,nebraska,covid,1071513612,22967299.62,1075999411,1090810994,1043244633,1046115640,1090631466,4,5.27E+14,423,0.111360239,0.111111111,0.111111512,2.79E-14,0.001374823
769,-754,-17083,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,1768716,1.00E+200,-1.00E+200,ref,cooper,nebraska,covid,1067696897,4510542.847,1069516886,1070763896,1060989923,1062253861,1070591951,4,2.03E+13,151,0.055306428,0.111111111,0.111111512,2.79E-14,0.000682798
769,-457,-7743,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,10,1.00E+200,-1.00E+200,ref,cooper,nebraska,covid,1058813303,18711776.36,1055162980,1084624846,1040302408,1042122719,1080614341,4,3.50E+14,605,0.111360239,0.111111111,0.055554107,2.79E-14,0.000687391
769,-382,-9611,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,707487,1.00E+200,-1.00E+200,ref,cooper,nebraska,covid,1055136770,10136519.68,1058054532,1063921041,1040516974,1043087742,1063100931,4,1.03E+14,526,0.111360239,0.111111111,0.111111512,2.79E-14,0.001374823
769,-680,-13347,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,1061230,1.00E+200,-1.00E+200,ref,cooper,nebraska,covid,1049933400,15712960.78,1053248051,1063682647,1029554850,1031974417,1063251871,4,2.47E+14,332,0.111360239,0.111111111,0.111111355,2.79E-14,0.001374821
769,-605,-9611,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,353743,1.00E+200,-1.00E+200,ref,cooper,nebraska,covid,1043510989,8550949.883,1041964471,1054693965,1035421047,1035882224,1053304878,4,7.31E+13,513,0.111360239,0.111111111,0.111109942,2.79E-14,0.001374803
769,-754,-15215,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,1414973,1.00E+200,-1.00E+200,ref,cooper,nebraska,covid,1036360692,5158188.723,1037109646,1041838776,1029384698,1030526680,1041146167,4,2.66E+13,241,0.055306428,0.111111111,0.111111355,2.79E-14,0.000682797
769,-308,-5875,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,10,1.00E+200,-1.00E+200,ref,cooper,nebraska,covid,1035452785,21680444.96,1035492194,1055061685,1015765066,1016045035,1054805361,4,4.70E+14,707,0.110612855,0.111111111,0.055554107,2.79E-14,0.000682778
769,-382,-7743,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,353743,1.00E+200,-1.00E+200,ref,cooper,nebraska,covid,1035098273,17953360.97,1033864505,1054613963,1018050119,1018608507,1053315315,4,3.22E+14,616,0.111360239,0.111111111,0.111109942,2.79E-14,0.001374803
769,-457,-11479,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,1061230,1.00E+200,-1.00E+200,ref,cooper,nebraska,covid,1030271958,18441197.19,1030751715,1048615926,1010968474,1012066527,1047805728,4,3.40E+14,435,0.111360239,0.111111111,0.111111355,2.79E-14,0.001374821
769,-680,-9611,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,10,1.00E+200,-1.00E+200,ref,cooper,nebraska,covid,1016256571,12982342.8,1020459238,1026067001,998040807.5,1000714222,1025915186,4,1.69E+14,502,0.111360239,0.111111111,0.055554107,2.79E-14,0.000687391
769,-531,-13347,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,1414973,1.00E+200,-1.00E+200,ref,cooper,nebraska,covid,1010647957,10945868.92,1011092278,1022941945,997465326.3,998889836.4,1021784028,4,1.20E+14,344,0.110612855,0.111111111,0.111111355,2.79E-14,0.001365594
