npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight-ft_capacity,ProbabilityWeight,PointProbability
1280.0,-185.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3696831.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1485228707.78,36447983.5704,1485228707.78,1511001324.12,1459456091.43,1462033353.07,1508424062.49,2.0,1328455506350000.0,115,0.250000371941,0.125,0.125,0.00390625581157,8.40946932138e-15
1280.0,-785.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1848415.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1444884561.28,142383674.625,1444884561.28,1545565023.14,1344204099.42,1354272145.61,1535496976.95,2.0,2.02731107997e+16,107,0.249999695685,0.25,0.125,0.00781249049015,8.40946932138e-15
1280.0,-585.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3696831.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1360844190.07,39761465.7683,1360844190.07,1388959792.14,1332728587.99,1335540148.2,1386148231.93,2.0,1580974160040000.0,88,0.250000371941,0.25,0.25,0.0156250232463,8.40946932138e-15
1280.0,-985.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1848415.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1333574842.4,10998574.1807,1333574842.4,1341352008.78,1325797676.01,1326575392.65,1340574292.15,2.0,120968634009000.0,106,0.249999695685,0.125,0.125,0.00390624524508,8.40946932138e-15
1280.0,-985.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3696831.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1321499698.45,30367035.4126,1321499698.45,1342972435.11,1300026961.78,1302174235.45,1340825161.45,2.0,922156839753000.0,61,0.250000371941,0.125,0.25,0.00781251162315,8.40946932138e-15
1280.0,-985.0,-24756.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5545246.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1292741255.28,13973428.9652,1292741255.28,1302621961.66,1282860548.91,1283848619.54,1301633891.02,2.0,195256717045000.0,16,0.250000304315,0.125,0.125,0.00390625475492,8.40946932138e-15
1280.0,-385.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3696831.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1240685682.15,31496984.2366,1240685682.15,1262957413.29,1218413951.01,1220641124.12,1260730240.17,2.0,992060016000000.0,114,0.250000371941,0.25,0.125,0.00781251162315,8.40946932138e-15
1280.0,-785.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3696831.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1203565155.77,8189830.68439,1203565155.77,1209356240.58,1197774070.95,1198353179.44,1208777132.1,2.0,67073326639000.0,87,0.250000371941,0.25,0.25,0.0156250232463,8.40946932138e-15
1280.0,-785.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5545246.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1183764981.78,31843407.1452,1183764981.78,1206281670.91,1161248292.65,1163499961.57,1204030002.0,2.0,1014002578610000.0,42,0.250000304315,0.25,0.25,0.0156250190197,8.40946932138e-15
1280.0,-985.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3696831.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1113033222.98,56442215.3936,1113033222.98,1152943896.23,1073122549.73,1077113617.05,1148952828.9,2.0,3185723678540000.0,86,0.250000371941,0.125,0.25,0.00781251162315,8.40946932138e-15
