npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-ft_capacity,prefix,ProbabilityWeight-htse_capacity,PointProbability,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity
1193.0,-985.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1847500953.29,10404615.5959,1847847922.2,1857678290.34,1836629678.41,1837237193.81,1857278956.29,4.0,108256025697000.0,0.25,61,0.125,5.88667788813e-14,0.00781258136272,0.250002603607
1193.0,-185.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1847053056.77,3790628.86335,1846698417.28,1851825409.99,1842989982.51,1843345810.02,1851256798.79,4.0,14368867179600.0,0.125,110,0.125,5.88667788813e-14,0.00390621671525,0.249997869776
1193.0,-385.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,792178.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1839857779.8,2640930.05272,1838649105.29,1843800678.37,1838332230.24,1838341814.78,1843065889.13,4.0,6974511543380.0,0.25,94,0.25,5.88667788813e-14,0.015625133139,0.250002130224
1193.0,-585.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1803077588.85,9501857.45079,1805896013.34,1811189027.95,1789329300.76,1791772149.62,1810437233.78,4.0,90285295015200.0,0.25,88,0.25,5.88667788813e-14,0.0156251627254,0.250002603607
1193.0,-785.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1056237.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1801567258.55,9219372.979,1801113742.9,1812714147.94,1791327400.43,1792260045.91,1811509393.08,4.0,84996838125900.0,0.25,72,0.25,5.88667788813e-14,0.0078125665695,0.125001065112
1193.0,-185.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1749780783.01,9771398.0128,1747902469.96,1763318470.14,1739999721.98,1741114267.32,1761076936.97,4.0,95480219124500.0,0.125,115,0.125,5.88667788813e-14,0.00390629068136,0.250002603607
1193.0,-985.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,792178.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1741029824.4,2090041.28916,1741394440.81,1742765825.72,1738564590.27,1738783730.85,1742765454.99,4.0,4368272590380.0,0.25,66,0.125,5.88667788813e-14,0.0078125665695,0.250002130224
1193.0,-385.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1056237.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1740853632.57,8190117.38513,1741251710.62,1750122127.57,1730788981.47,1731965589.35,1749184366.53,4.0,67078022782200.0,0.25,99,0.25,5.88667788813e-14,0.0078125665695,0.125001065112
1193.0,-385.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1737277452.36,9040077.41469,1736843832.55,1747687044.08,1727735100.27,1728386924.48,1746775047.98,4.0,81722999663700.0,0.125,104,0.25,5.88667788813e-14,0.00390613535253,0.124996331281
1193.0,-785.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1734030601.27,9331942.56484,1730505962.56,1747791337.09,1727319142.85,1727646874.5,1745348822.21,4.0,87085152033400.0,0.25,77,0.25,5.88667788813e-14,0.00781227070507,0.124996331281
1193.0,-785.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1724856371.51,10543508.6245,1722059774.31,1739934172.23,1715371765.21,1716295808.4,1737332170.72,4.0,111165574115000.0,0.25,82,0.25,5.88667788813e-14,0.015624866861,0.249997869776
1193.0,-385.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1685873545.37,16513440.1493,1685461959.78,1704531393.17,1668038868.77,1669346594.11,1702976716.48,4.0,272693705564000.0,0.125,109,0.25,5.88667788813e-14,0.0078124334305,0.249997869776
1193.0,-585.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,792178.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1685301585.33,9283111.34225,1686062989.03,1695727614.28,1673352748.98,1675001821.28,1694535384.2,4.0,86176156192500.0,0.25,93,0.25,5.88667788813e-14,0.015625133139,0.250002130224
1193.0,-185.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,792178.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1647818652.88,4399444.27505,1646943516.88,1653912388.14,1643475189.59,1643917907.33,1652944588.81,4.0,19355109929300.0,0.125,120,0.125,5.88667788813e-14,0.00390628328475,0.250002130224
1193.0,-985.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1056237.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1635950416.9,7172199.77863,1635754228.56,1643182496.95,1629110713.52,1629319491.92,1642856005.55,4.0,51440449664600.0,0.25,71,0.125,5.88667788813e-14,0.00390628328475,0.125001065112
1193.0,-785.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1625315539.52,13232515.2275,1628620669.32,1636734709.08,1607286110.38,1609751501.93,1636252395.41,4.0,175099459246000.0,0.25,87,0.25,5.88667788813e-14,0.0156251627254,0.250002603607
1193.0,-585.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1056237.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1577623958.46,8211388.99191,1576609297.12,1588158918.68,1569118320.92,1569806058.01,1586862384.78,4.0,67426909176400.0,0.25,98,0.25,5.88667788813e-14,0.0078125665695,0.125001065112
1193.0,-385.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1576038611.17,7905791.83994,1573147742.65,1587682234.26,1570176725.13,1570524318.27,1585600120.01,4.0,62501544616500.0,0.125,114,0.25,5.88667788813e-14,0.00781258136272,0.250002603607
1193.0,-185.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1056237.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1542005493.07,9602848.65933,1544093152.07,1551073079.43,1528762588.72,1530721243.5,1550367020.05,4.0,92214702373900.0,0.125,125,0.125,5.88667788813e-14,0.00195314164237,0.125001065112
1193.0,-985.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1530820179.44,4764829.26769,1530361557.25,1536226514.89,1526331088.37,1526481803.67,1535800626.28,4.0,22703597950200.0,0.25,81,0.125,5.88667788813e-14,0.0078124334305,0.249997869776
1193.0,-585.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1526415333.62,3575102.34475,1526416905.52,1530728472.89,1522099050.54,1522634951.34,1530193515.24,4.0,12781356775500.0,0.125,103,0.25,5.88667788813e-14,0.00390613535253,0.124996331281
1193.0,-985.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,1525290948.01,9342155.50034,1525228466.2,1533989678.38,1516717181.27,1516868162.16,1533801208.4,4.0,87275869392600.0,0.25,76,0.125,5.88667788813e-14,0.00390613535253,0.124996331281
