smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-ft_capacity,prefix,PointProbability
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-327112929.557,754770.025633,-327082257.141,-326223930.338,-328063273.607,-327928526.036,-326340274.46,4.0,569677791594.0,0.250453720508,0.00782547179608,0.12498974865,0.249981948155,79,3.46688419418e-13
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-336940400.658,1277913.37422,-336997166.09,-335352625.618,-338414644.833,-338249257.267,-335552072.444,4.0,1633062592010.0,0.125226860254,0.00391371513664,0.125002976198,0.250018051845,71,3.46688419418e-13
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-369102077.968,417435.430545,-369007151.624,-368766125.829,-369627882.797,-369570804.425,-368766248.394,4.0,174252338674.0,0.250453720508,0.0156517717545,0.249992724848,0.249981948155,84,3.46688419418e-13
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-410106247.686,289183.064826,-410020125.99,-409860801.946,-410523936.816,-410452246.138,-409880819.607,4.0,83626844982.3,0.250453720508,0.0156526827331,0.250007275152,0.249981948155,89,3.46688419418e-13
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-451364184.439,340358.670434,-451316074.376,-451011615.82,-451812973.185,-451752343.512,-451043379.454,4.0,115844024539.0,0.250453720508,0.0156526827331,0.250007275152,0.249981948155,94,3.46688419418e-13
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-489349977.457,308132.920378,-489444231.493,-488902908.788,-489608538.053,-489585865.202,-488982134.061,4.0,94945896620.7,0.249546279492,0.0077971186374,0.12498974865,0.249981948155,78,3.46688419418e-13
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-493180153.415,601204.462843,-493156004.672,-492495305.237,-493913299.077,-493829070.937,-492565044.131,4.0,361446806142.0,0.250453720508,0.00782629995845,0.125002976198,0.249981948155,99,3.46688419418e-13
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-504237467.478,667346.14038,-504158851.6,-503627410.545,-505004756.17,-504941756.249,-503643240.938,4.0,445350871080.0,0.249546279492,0.0155950624366,0.249992724848,0.249981948155,83,3.46688419418e-13
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-545948553.23,213186.727453,-545975907.088,-545688993.585,-546153405.157,-546143722.398,-545715088.659,4.0,45448580762.1,0.249546279492,0.0155959701145,0.250007275152,0.249981948155,88,3.46688419418e-13
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-587638399.439,158744.08479,-587632858.49,-587464548.12,-587823332.653,-587805942.856,-587478613.348,4.0,25199684455.7,0.249546279492,0.0155959701145,0.250007275152,0.249981948155,93,3.46688419418e-13
