smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight,ProbabilityWeight-meoh_capacity,PointProbability,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity
240.0,-125.0,-2354.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-247337903.35,1760953.1384,-247337903.35,-246092721.445,-248583085.256,-248458567.065,-246217239.635,2.0,3100955955630.0,14,0.00781382903959,0.250079948833,1.28632009175e-11,0.25,0.124981296198
240.0,-187.0,-3136.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-249777387.94,1099969.03101,-249777387.94,-248999592.379,-250555183.501,-250477403.945,-249077371.936,2.0,1209931869180.0,3,0.00390441649261,0.249920051167,1.28632009175e-11,0.125,0.124981296198
240.0,-125.0,-2354.0,-1e+200,-1e+200,-1e+200,-1e+200,50126.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-253483032.768,1606058.07986,-253483032.768,-252347378.209,-254618687.328,-254505121.872,-252460943.665,2.0,2579422555880.0,39,0.0156292172278,0.250079948833,1.28632009175e-11,0.25,0.249987530799
240.0,-125.0,-3136.0,-1e+200,-1e+200,-1e+200,-1e+200,200504.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-256583998.328,339463.920055,-256583998.328,-256343961.089,-256824035.568,-256800031.844,-256367964.813,2.0,115235753019.0,113,0.0078103911369,0.249920051167,1.28632009175e-11,0.25,0.125006234601
240.0,-63.0,-1572.0,-1e+200,-1e+200,-1e+200,-1e+200,50126.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-257808823.492,139957.824551,-257808823.492,-257709858.365,-257907788.619,-257897892.106,-257719754.878,2.0,19588192653.0,50,0.00390730430694,0.125039974416,1.28632009175e-11,0.125,0.249987530799
240.0,-156.0,-3136.0,-1e+200,-1e+200,-1e+200,-1e+200,150378.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-257936868.071,945787.252786,-257936868.071,-257268095.491,-258605640.651,-258538763.393,-257334972.749,2.0,894513527532.0,83,0.0156207822738,0.249920051167,1.28632009175e-11,0.25,0.250012469201
240.0,-187.0,-3136.0,-1e+200,-1e+200,-1e+200,-1e+200,100252.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-265907628.135,159133.07522,-265907628.135,-265795104.058,-266020152.211,-266008899.804,-265806356.466,2.0,25323335628.8,53,0.0078103911369,0.249920051167,1.28632009175e-11,0.125,0.250012469201
240.0,-94.0,-2354.0,-1e+200,-1e+200,-1e+200,-1e+200,150378.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-268391479.482,736674.460011,-268391479.482,-267870571.976,-268912386.988,-268860296.238,-267922662.727,2.0,542689260033.0,94,0.0156307763763,0.250079948833,1.28632009175e-11,0.25,0.250012469201
240.0,-125.0,-2354.0,-1e+200,-1e+200,-1e+200,-1e+200,100252.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-272708297.158,1082798.24253,-272708297.158,-271942643.178,-273473951.138,-273397385.74,-272019208.576,2.0,1172452034030.0,64,0.0156307763763,0.250079948833,1.28632009175e-11,0.25,0.250012469201
240.0,-94.0,-1572.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-276023871.917,853114.501099,-276023871.917,-275420628.868,-276627114.965,-276566790.661,-275480953.173,2.0,727804351986.0,20,0.00390691451979,0.125039974416,1.28632009175e-11,0.25,0.124981296198
