smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,co2_location_label,fuel_region_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,prefix,PointProbability,ProbabilityWeight-ft_capacity
720.0,-498.0,-12526.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,458153355.813,1962903.70537,458153355.813,459541338.334,456765373.292,456904171.544,459402540.082,2.0,3852990956560.0,0.00136424547336,0.110483870968,0.11110627741,314,1.21719856843e-13,0.111136071887
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,453473223.373,216398.803662,453473223.373,453626240.435,453320206.312,453335508.018,453610938.728,2.0,46828442226.2,0.00137387933544,0.111290322581,0.111112156236,243,1.21719856843e-13,0.111103979461
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,452434568.94,1061573.95246,452434568.94,453185215.081,451683922.8,451758987.414,453110150.467,2.0,1126939256540.0,0.000343433488615,0.0556451612903,0.0555501992922,201,1.21719856843e-13,0.111103979461
720.0,-636.0,-15988.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,452189335.637,276876.285315,452189335.637,452385116.736,451993554.538,452013132.648,452365538.626,2.0,76660477370.0,0.00137388660449,0.111290322581,0.111112744118,172,1.21719856843e-13,0.111103979461
720.0,-636.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,449350172.658,1589521.53688,449350172.658,450474134.116,448226211.2,448338607.346,450361737.97,2.0,2526578716210.0,0.00137388660449,0.111290322581,0.111112744118,232,1.21719856843e-13,0.111103979461
720.0,-705.0,-15988.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,446177429.455,192923.448965,446177429.455,446313846.934,446041011.976,446054653.724,446300205.186,2.0,37219457160.7,0.000686939667721,0.0556451612903,0.111112156236,161,1.21719856843e-13,0.111103979461
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,436377468.421,944446.16424,436377468.421,437045292.709,435709644.134,435776426.563,436978510.28,2.0,891978557148.0,0.000686943302245,0.0556451612903,0.111112744118,221,1.21719856843e-13,0.111103979461
720.0,-567.0,-12526.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,418354046.559,765763.017225,418354046.559,418895522.781,417812570.337,417866717.959,418841375.159,2.0,586392998549.0,0.000687065379015,0.111290322581,0.0555501992922,303,1.21719856843e-13,0.111136071887
720.0,-498.0,-12526.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,418311627.269,238238.128103,418311627.269,418480087.064,418143167.473,418160013.452,418463241.085,2.0,56757405682.0,0.00136432487641,0.110483870968,0.111112744118,324,1.21719856843e-13,0.111136071887
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,472511.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,415530620.606,167125.679624,415530620.606,415648796.307,415412444.904,415424262.474,415636978.737,2.0,27930992789.8,0.00137387933544,0.111290322581,0.111112156236,253,1.21719856843e-13,0.111103979461
720.0,-636.0,-15988.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,414703106.937,148546.979593,414703106.937,414808145.514,414598068.36,414608572.218,414797641.656,2.0,22066205146.1,0.00137388660449,0.111290322581,0.111112744118,182,1.21719856843e-13,0.111103979461
720.0,-567.0,-12526.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,413869554.33,2975138.89916,413869554.33,415973295.221,411765813.44,411976187.529,415762921.132,2.0,8851451469290.0,0.00137420346952,0.111290322581,0.11110627741,313,1.21719856843e-13,0.111136071887
720.0,-636.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,410328564.662,655569.146027,410328564.662,410792122.05,409865007.273,409911363.012,410745766.312,2.0,429770905223.0,0.00137387933544,0.111290322581,0.111112156236,242,1.21719856843e-13,0.111103979461
