npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight,ProbabilityWeight-ft_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,prefix
1280.0,-585.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3696831.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,529830031.939,34432812.4568,529830031.939,554177707.122,505482356.755,507917124.274,551742939.604,2.0,1185618573690000.0,8.40946932138e-15,0.0156250232463,0.25,0.25,0.250000371941,63
1280.0,-985.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1848415.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,502152636.506,37695892.984,502152636.506,528807658.058,475497614.954,478163117.109,526142155.903,2.0,1420980347860000.0,8.40946932138e-15,0.00390624524508,0.125,0.125,0.249999695685,106
1280.0,-385.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3696831.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,498612853.321,3413379.81851,498612853.321,501026477.337,496199229.305,496440591.706,500785114.936,2.0,11651161785400.0,8.40946932138e-15,0.0156250232463,0.25,0.25,0.250000371941,89
1280.0,-185.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3696831.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,481368515.876,109953394.955,481368515.876,559117307.063,403619724.689,411394603.808,551342427.944,2.0,1.20897490621e+16,8.40946932138e-15,0.00390625581157,0.125,0.125,0.250000371941,115
1280.0,-985.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3696831.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,433243823.788,29997842.0421,433243823.788,454455501.317,412032146.259,414153314.012,452334333.564,2.0,899870527183000.0,8.40946932138e-15,0.00781251162315,0.25,0.125,0.250000371941,36
1280.0,-785.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3696831.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,424960049.087,51306072.0074,424960049.087,461238920.519,388681177.654,392309064.798,457611033.376,2.0,2632313024830000.0,8.40946932138e-15,0.0156250232463,0.25,0.25,0.250000371941,62
1280.0,-585.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3696831.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,333350818.813,11055190.6287,333350818.813,341168019.073,325533618.552,326315338.578,340386299.047,2.0,122217239837000.0,8.40946932138e-15,0.0156250232463,0.25,0.25,0.250000371941,88
1280.0,-385.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3696831.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,323292956.5,56695810.2312,323292956.5,363382948.379,283202964.621,287211963.809,359373949.191,2.0,3214414897770000.0,8.40946932138e-15,0.00781251162315,0.125,0.25,0.250000371941,114
1280.0,-985.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3696831.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,185537529.217,53796739.1657,185537529.217,223577568.287,147497490.147,151301494.054,219773564.38,2.0,2894089144860000.0,8.40946932138e-15,0.00781251162315,0.25,0.125,0.250000371941,61
1280.0,-785.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3696831.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,109316943.56,30727260.3627,109316943.56,131044397.73,87589489.3903,89762234.8073,128871652.313,2.0,944164529399000.0,8.40946932138e-15,0.0156250232463,0.25,0.25,0.250000371941,87
1280.0,-585.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3696831.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-22164597.6404,,-22164597.6404,-22164597.6404,-22164597.6404,-22164597.6404,-22164597.6404,1.0,,8.40946932138e-15,0.00781251162315,0.125,0.25,0.250000371941,113
1280.0,-985.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3696831.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-161914375.38,23381002.8609,-161914375.38,-145381509.706,-178447241.054,-176793954.487,-147034796.274,2.0,546671294781000.0,8.40946932138e-15,0.00781251162315,0.25,0.125,0.250000371941,86
1280.0,-785.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3696831.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-188006200.696,1529016.8294,-188006200.696,-186925022.527,-189087378.865,-188979261.048,-187033140.344,2.0,2337892464590.0,8.40946932138e-15,0.00781251162315,0.125,0.25,0.250000371941,112
1280.0,-985.0,-24756.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5545246.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-334789121.535,43529710.8576,-334789121.535,-304008967.804,-365569275.265,-362491259.892,-307086983.177,2.0,1894835727340000.0,8.40946932138e-15,0.00390625475492,0.125,0.125,0.250000304315,16
1280.0,-785.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5545246.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-390493089.333,3296253.59586,-390493089.333,-388162286.063,-392823892.603,-392590812.276,-388395366.39,2.0,10865287768200.0,8.40946932138e-15,0.0156250190197,0.25,0.25,0.250000304315,42
1280.0,-985.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3696831.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-413736579.182,47408426.0563,-413736579.182,-380213759.633,-447259398.732,-443907116.777,-383566041.587,2.0,2247558861140000.0,8.40946932138e-15,0.00390625581157,0.125,0.125,0.250000371941,111
1280.0,-585.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5545246.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-456039054.444,11554817.3116,-456039054.444,-447868564.767,-464209544.12,-463392495.152,-448685613.735,2.0,133513803104000.0,8.40946932138e-15,0.0156250190197,0.25,0.25,0.250000304315,68
1280.0,-185.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5545246.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-483097561.295,71402447.8957,-483097561.295,-432608406.195,-533586716.395,-528537800.885,-437657321.705,2.0,5098309565490000.0,8.40946932138e-15,0.00390625475492,0.125,0.125,0.250000304315,120
1280.0,-385.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5545246.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-489610479.839,15807208.7957,-489610479.839,-478433095.308,-500787864.37,-499670125.917,-479550833.761,2.0,249867849912000.0,8.40946932138e-15,0.0156250190197,0.25,0.25,0.250000304315,94
1280.0,-985.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5545246.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-555215302.913,21736559.816,-555215302.913,-539845234.067,-570585371.758,-569048364.874,-541382240.952,2.0,472478032632000.0,8.40946932138e-15,0.00781250950985,0.25,0.125,0.250000304315,41
1280.0,-785.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5545246.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-574997880.331,20962225.6029,-574997880.331,-560175348.458,-589820412.203,-588338159.016,-561657601.645,2.0,439414902228000.0,8.40946932138e-15,0.0156250190197,0.25,0.25,0.250000304315,67
1280.0,-585.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5545246.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-619394814.947,40914749.9873,-619394814.947,-590463717.781,-648325912.114,-645432802.397,-593356827.497,2.0,1674016766520000.0,8.40946932138e-15,0.0156250190197,0.25,0.25,0.250000304315,93
1280.0,-385.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5545246.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-706725634.801,28137849.2469,-706725634.801,-686829170.79,-726622098.811,-724632452.41,-688818817.192,2.0,791738560240000.0,8.40946932138e-15,0.00781250950985,0.125,0.25,0.250000304315,119
1280.0,-985.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5545246.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-827622678.185,17148128.434,-827622678.185,-815497120.284,-839748236.085,-838535680.295,-816709676.074,2.0,294058308788000.0,8.40946932138e-15,0.00781250950985,0.25,0.125,0.250000304315,66
1280.0,-785.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5545246.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-933316377.851,55277654.6332,-933316377.851,-894229173.411,-972403582.29,-968494861.846,-898137893.855,2.0,3055619101750000.0,8.40946932138e-15,0.0156250190197,0.25,0.25,0.250000304315,92
