smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,PointProbability,ProbabilityWeight-meoh_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight,prefix
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-415149872.311,34058358.7144,-415149872.311,-391066975.908,-439232768.714,-436824479.074,-393475265.548,2.0,1159971798320000.0,0.125226860254,2.6175466018599997e-14,0.25,0.249999500615,0.00782666313177,29
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-461973114.727,32848369.5477,-461973114.727,-438745809.869,-485200419.585,-482877689.099,-441068540.355,2.0,1079015381950000.0,0.125226860254,2.6175466018599997e-14,0.249963898917,0.250000499385,0.00782556419142,53
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-469011362.319,26645095.2864,-469011362.319,-450170434.757,-487852289.881,-485968197.125,-452054527.513,2.0,709961102821000.0,0.249546279492,2.6175466018599997e-14,0.25,0.250000499385,0.0155966736232,69
720.0,-667.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-483342780.538,22586638.4988,-483342780.538,-467371615.291,-499313945.784,-497716829.26,-468968731.815,2.0,510156238677000.0,0.125226860254,2.6175466018599997e-14,0.125018050542,0.124999250922,0.00195694051577,5
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,3754623.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-489393890.965,2962365.41984,-489393890.965,-487299182.288,-491488599.642,-491279128.774,-487508653.156,2.0,8775608880680.0,0.250453720508,2.6175466018599997e-14,0.25,0.250000499385,0.0156533888,82
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-513552024.918,51053729.1709,-513552024.918,-477451586.816,-549652463.019,-546042419.209,-481061630.626,2.0,2606483262250000.0,0.249546279492,2.6175466018599997e-14,0.125018050542,0.249999500615,0.00779943176577,40
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-543934895.06,16512868.9494,-543934895.06,-532258533.449,-555611256.671,-554443620.51,-533426169.611,2.0,272674840942000.0,0.249546279492,2.6175466018599997e-14,0.25,0.250000499385,0.0155966736232,64
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,3754623.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-545740346.072,9948775.65322,-545740346.072,-538705499.343,-552775192.801,-552071708.128,-539408984.016,2.0,98978136998200.0,0.125226860254,2.6175466018599997e-14,0.25,0.250000499385,0.0078266944,77
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-635961084.554,9953896.95434,-635961084.554,-628922616.519,-642999552.59,-642295705.787,-629626463.322,2.0,99080064577700.0,0.125226860254,2.6175466018599997e-14,0.125018050542,0.250000499385,0.00391391230429,75
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-653675335.903,2909512.46204,-653675335.903,-651617999.911,-655732671.895,-655526938.296,-651823733.511,2.0,8465262766760.0,0.250453720508,2.6175466018599997e-14,0.125018050542,0.249999500615,0.00782779333583,35
