smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-meoh_capacity,ProbabilityWeight-h2_storage_capacity,prefix,ProbabilityWeight-htse_capacity,PointProbability,ProbabilityWeight
720.0,-667.0,-15031.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,270702734.942,394570.194825,270702734.942,270981738.202,270423731.682,270451632.008,270953837.876,2.0,155685638644.0,0.111128939092,0.111111604332,202,0.0556451612903,3.6760970142599995e-14,0.000687090576621
720.0,-598.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,312885.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,258651646.108,4282485.64542,258651646.108,261679820.748,255623471.468,255926288.932,261377003.284,2.0,18339683303200.0,0.111128939092,0.111109828737,113,0.111290322581,3.6760970142599995e-14,0.00137415919343
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,217941493.707,3617523.94419,217941493.707,220499469.419,215383517.995,215639315.566,220243671.848,2.0,13086479486800.0,0.055548424363,0.111111426772,401,0.0556451612903,3.6760970142599995e-14,0.000343445534943
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,312885.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,215048539.912,2053002.31578,215048539.912,216500231.771,213596848.053,213742017.239,216355062.585,2.0,4214818508580.0,0.111128939092,0.111109828737,103,0.0556451612903,3.6760970142599995e-14,0.000687079596716
720.0,-529.0,-11568.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,207343776.229,382063.981053,207343776.229,207613936.261,207073616.197,207100632.2,207586920.257,2.0,145972885618.0,0.111096848726,0.055553937791,24,0.111290322581,3.6760970142599995e-14,0.000686869116419
720.0,-598.0,-15031.0,-1e+200,-1e+200,-1e+200,-1e+200,938656.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,198186295.595,978552.372422,198186295.595,198878236.613,197494354.577,197563548.678,198809042.511,2.0,957564745572.0,0.111128939092,0.111111426772,312,0.111290322581,3.6760970142599995e-14,0.00137417895726
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,157273138.991,5924984.84998,157273138.991,161462735.957,153083542.025,153502501.721,161043776.26,2.0,35105445472500.0,0.111128939092,0.111111604332,223,0.111290322581,3.6760970142599995e-14,0.00137418115324
720.0,-667.0,-15031.0,-1e+200,-1e+200,-1e+200,-1e+200,938656.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,152477528.725,610448.6017,152477528.725,152909181.071,152045876.38,152089041.614,152866015.837,2.0,372647495318.0,0.111128939092,0.111111426772,302,0.0556451612903,3.6760970142599995e-14,0.00068708947863
720.0,-598.0,-11568.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,128723104.041,94223.6065868,128723104.041,128789730.192,128656477.89,128663140.505,128783067.577,2.0,8878088038.23,0.111096848726,0.055553937791,14,0.111290322581,3.6760970142599995e-14,0.000686869116419
720.0,-460.0,-11568.0,-1e+200,-1e+200,-1e+200,-1e+200,312885.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,128276338.078,4994011.22383,128276338.078,131807637.28,124745038.876,125098168.796,131454507.359,2.0,24940148103700.0,0.111096848726,0.111109828737,134,0.111290322581,3.6760970142599995e-14,0.00137376238165
720.0,-598.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,127301119.922,4521188.5406,127301119.922,130498082.998,124104156.845,124423853.153,130178386.69,2.0,20441145819700.0,0.111128939092,0.111111604332,213,0.111290322581,3.6760970142599995e-14,0.00137418115324
720.0,-529.0,-11568.0,-1e+200,-1e+200,-1e+200,-1e+200,312885.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,104674281.295,15926291.4363,104674281.295,115935869.969,93412692.6215,94538851.4889,114809711.102,2.0,253646758915000.0,0.111096848726,0.111109828737,124,0.111290322581,3.6760970142599995e-14,0.00137376238165
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,1564426.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,87374696.2178,2895284.60285,87374696.2178,89421971.5939,85327420.8416,85532148.3792,89217244.0563,2.0,8382672931490.0,0.055548424363,0.111111604332,501,0.0556451612903,3.6760970142599995e-14,0.00034344608378
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,82078287.7458,127588.990968,82078287.7458,82168506.7866,81988068.7051,81997090.6092,82159484.8825,2.0,16278950616.3,0.111128939092,0.111111604332,203,0.0556451612903,3.6760970142599995e-14,0.000687090576621
720.0,-598.0,-15031.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,68683590.4231,1333576.86662,68683590.4231,69626571.6687,67740609.1774,67834907.302,69532273.5441,2.0,1778427259190.0,0.111128939092,0.111111426772,412,0.111290322581,3.6760970142599995e-14,0.00137417895726
720.0,-598.0,-11568.0,-1e+200,-1e+200,-1e+200,-1e+200,312885.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,62819812.5509,139789.512112,62819812.5509,62918658.6629,62720966.439,62730851.0502,62908774.0517,2.0,19541107696.6,0.111096848726,0.111109828737,114,0.111290322581,3.6760970142599995e-14,0.00137376238165
720.0,-667.0,-11568.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,49422980.2913,2201150.71106,49422980.2913,50979428.8856,47866531.6971,48022176.5566,50823784.0261,2.0,4845064452800.0,0.111096848726,0.055553937791,4,0.0556451612903,3.6760970142599995e-14,0.00034343455821
720.0,-460.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,44163386.7913,27785431.0179,44163386.7913,63810653.4823,24516120.1004,26480846.7695,61845926.8132,2.0,772030176850000.0,0.111096848726,0.055553937791,35,0.111290322581,3.6760970142599995e-14,0.000686869116419
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,938656.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,43929852.8503,4906643.04852,43929852.8503,47399373.4227,40460332.2778,40807284.335,47052421.3655,2.0,24075146005600.0,0.111128939092,0.111111426772,323,0.111290322581,3.6760970142599995e-14,0.00137417895726
720.0,-460.0,-11568.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,21144149.8202,14958138.9621,21144149.8202,31721151.3143,10567148.3261,11624848.4756,30663451.1649,2.0,223745921211000.0,0.111096848726,0.111111604332,234,0.111290322581,3.6760970142599995e-14,0.00137378433512
720.0,-667.0,-15031.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,20202425.8836,2937783.2697,20202425.8836,22279752.3552,18125099.4119,18332832.0591,22072019.7081,2.0,8630570539720.0,0.111128939092,0.111111426772,402,0.0556451612903,3.6760970142599995e-14,0.00068708947863
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,312885.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1119088.19736,16834064.5347,-1119088.19736,10784392.9901,-13022569.3848,-11832221.266,9594044.87132,2.0,283385728759000.0,0.111096848726,0.111109828737,145,0.110483870968,3.6760970142599995e-14,0.00136380758179
720.0,-598.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,938656.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-6744604.78109,3975327.78845,-6744604.78109,-3933623.54444,-9555586.01774,-9274487.89407,-4214721.6681,2.0,15803231025600.0,0.111128939092,0.111111426772,313,0.111290322581,3.6760970142599995e-14,0.00137417895726
720.0,-667.0,-11568.0,-1e+200,-1e+200,-1e+200,-1e+200,312885.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-7253645.62733,18683465.698,-7253645.62733,5957559.66381,-20464850.9185,-19143730.3893,4636439.13469,2.0,349071890489000.0,0.111096848726,0.111109828737,104,0.0556451612903,3.6760970142599995e-14,0.000686881190826
720.0,-323.0,-8106.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-14369974.2515,16570659.8624,-14369974.2515,-2652748.29409,-26087200.2089,-24915477.6132,-3824470.88983,2.0,274586768274000.0,0.111096848726,0.055553937791,56,0.110483870968,3.6760970142599995e-14,0.000681891803981
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-23402717.5309,8352646.53574,-23402717.5309,-17496504.5247,-29308930.5372,-28718309.2366,-18087125.8253,2.0,69766704151100.0,0.111096848726,0.055553937791,25,0.111290322581,3.6760970142599995e-14,0.000686869116419
720.0,-529.0,-11568.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-27625401.1843,14507100.378,-27625401.1843,-17367332.1316,-37883470.2369,-36857663.3317,-18393139.0369,2.0,210455961378000.0,0.111096848726,0.111111604332,224,0.111290322581,3.6760970142599995e-14,0.00137378433512
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,1877312.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-44749019.7295,3322587.91457,-44749019.7295,-42399595.284,-47098444.175,-46863501.7304,-42634537.7286,2.0,11039590450100.0,0.055548424363,0.111111604332,601,0.0556451612903,3.6760970142599995e-14,0.00034344608378
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,938656.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-45861012.6732,951102.493924,-45861012.6732,-45188481.6502,-46533543.6963,-46466290.594,-45255734.7525,2.0,904595953948.0,0.111128939092,0.111111426772,303,0.0556451612903,3.6760970142599995e-14,0.00068708947863
720.0,-460.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,312885.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-48970412.3221,8315782.36846,-48970412.3221,-43090266.2185,-54850558.4257,-54262543.8153,-43678280.8288,2.0,69152236399600.0,0.111096848726,0.111109828737,135,0.111290322581,3.6760970142599995e-14,0.00137376238165
720.0,-598.0,-15031.0,-1e+200,-1e+200,-1e+200,-1e+200,1564426.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-64814856.2101,8455968.52272,-64814856.2101,-58835583.5262,-70794128.894,-70196201.6256,-59433510.7945,2.0,71503403657200.0,0.111128939092,0.111111604332,512,0.111290322581,3.6760970142599995e-14,0.00137418115324
720.0,-598.0,-11568.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-71053260.6865,4644413.77626,-71053260.6865,-67769164.2106,-74337357.1623,-74008947.5147,-68097573.8582,2.0,21570579325100.0,0.111096848726,0.111111604332,214,0.111290322581,3.6760970142599995e-14,0.00137378433512
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-84563089.8183,1568285.6223,-84563089.8183,-83454144.42,-85672035.2167,-85561140.6769,-83565038.9598,2.0,2459519793100.0,0.111128939092,0.111111426772,423,0.111290322581,3.6760970142599995e-14,0.00137417895726
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,312885.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-85607239.6472,2613859.67271,-85607239.6472,-83758961.7475,-87455517.5468,-87270689.7569,-83943789.5375,2.0,6832262388610.0,0.111096848726,0.111109828737,125,0.111290322581,3.6760970142599995e-14,0.00137376238165
720.0,-391.0,-8106.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-93611346.641,20331811.6821,-93611346.641,-79234584.7268,-107988108.555,-106550432.364,-80672260.9182,2.0,413382566275000.0,0.111096848726,0.055553937791,46,0.110483870968,3.6760970142599995e-14,0.000681891803981
720.0,-598.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-97580703.7781,4399989.33814,-97580703.7781,-94469441.48,-100691966.076,-100380839.846,-94780567.7098,2.0,19359906175700.0,0.111096848726,0.055553937791,15,0.111290322581,3.6760970142599995e-14,0.000686869116419
720.0,-460.0,-11568.0,-1e+200,-1e+200,-1e+200,-1e+200,938656.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-105554260.78,3212711.86965,-105554260.78,-103282530.431,-107825991.129,-107598818.094,-103509703.466,2.0,10321517557400.0,0.111096848726,0.111111426772,334,0.111290322581,3.6760970142599995e-14,0.00137378213977
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-116782122.407,6594868.94973,-116782122.407,-112118845.851,-121445398.962,-120979071.306,-112585173.507,2.0,43492296464200.0,0.111096848726,0.111111604332,245,0.110483870968,3.6760970142599995e-14,0.00136382937617
720.0,-667.0,-15031.0,-1e+200,-1e+200,-1e+200,-1e+200,1564426.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-127978208.775,7076792.00774,-127978208.775,-122974161.158,-132982256.393,-132481851.631,-123474565.919,2.0,50080985120800.0,0.111128939092,0.111111604332,502,0.0556451612903,3.6760970142599995e-14,0.000687090576621
720.0,-667.0,-11568.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-137503165.585,12313787.9082,-137503165.585,-128796002.653,-146210328.517,-145339612.224,-129666718.946,2.0,151629372649000.0,0.111096848726,0.111111604332,204,0.0556451612903,3.6760970142599995e-14,0.00068689216756
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-141336565.603,7359243.64682,-141336565.603,-136132794.516,-146540336.69,-146019959.581,-136653171.624,2.0,54158467053200.0,0.111128939092,0.055553937791,67,0.111290322581,3.6760970142599995e-14,0.000687067518821
720.0,-323.0,-8106.0,-1e+200,-1e+200,-1e+200,-1e+200,312885.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-141882997.286,7854347.60671,-141882997.286,-136329134.831,-147436859.74,-146881473.495,-136884521.077,2.0,61690776327000.0,0.111096848726,0.111109828737,156,0.110483870968,3.6760970142599995e-14,0.00136380758179
720.0,-598.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-144404339.227,19204889.8978,-144404339.227,-130824431.349,-157984247.106,-156626256.318,-132182422.136,2.0,368827795985000.0,0.111128939092,0.111111426772,413,0.111290322581,3.6760970142599995e-14,0.00137417895726
720.0,-598.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,312885.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-154342510.061,16233559.8945,-154342510.061,-142863649.776,-165821370.345,-164673484.316,-144011535.805,2.0,263528466847000.0,0.111096848726,0.111109828737,115,0.111290322581,3.6760970142599995e-14,0.00137376238165
720.0,-529.0,-11568.0,-1e+200,-1e+200,-1e+200,-1e+200,938656.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-162886376.578,3521037.37325,-162886376.578,-160396627.175,-165376125.982,-165127151.041,-160645602.115,2.0,12397704183800.0,0.111096848726,0.111111426772,324,0.111290322581,3.6760970142599995e-14,0.00137378213977
720.0,-460.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-168461189.26,3041249.2079,-168461189.26,-166310701.322,-170611677.198,-170396628.404,-166525750.116,2.0,9249196744570.0,0.111096848726,0.111111604332,235,0.111290322581,3.6760970142599995e-14,0.00137378433512
720.0,-460.0,-8106.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-168685269.969,5115302.24923,-168685269.969,-165068205.061,-172302334.878,-171940628.387,-165429911.552,2.0,26166317101000.0,0.111096848726,0.055553937791,36,0.111290322581,3.6760970142599995e-14,0.000686869116419
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,2190197.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-175114600.157,3101588.73132,-175114600.157,-172921445.732,-177307754.581,-177088439.138,-173140761.175,2.0,9619852658240.0,0.055548424363,0.111111426772,701,0.0556451612903,3.6760970142599995e-14,0.000343445534943
720.0,-391.0,-8106.0,-1e+200,-1e+200,-1e+200,-1e+200,312885.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-178598417.007,2419787.26918,-178598417.007,-176887369.02,-180309464.995,-180138360.196,-177058473.819,2.0,5855370428100.0,0.111096848726,0.111109828737,146,0.110483870968,3.6760970142599995e-14,0.00136380758179
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-179143354.232,4997116.78651,-179143354.232,-175609859.066,-182676849.398,-182323499.881,-175963208.582,2.0,24971176178000.0,0.111096848726,0.055553937791,5,0.0556451612903,3.6760970142599995e-14,0.00034343455821
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-188922432.781,703607.008233,-188922432.781,-188424907.495,-189419958.068,-189370205.54,-188474660.023,2.0,495062822034.0,0.111128939092,0.111111426772,403,0.0556451612903,3.6760970142599995e-14,0.00068708947863
720.0,-598.0,-15031.0,-1e+200,-1e+200,-1e+200,-1e+200,1877312.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-199984961.461,1790674.06912,-199984961.461,-198718763.684,-201251159.239,-201124539.461,-198845383.462,2.0,3206513621830.0,0.111128939092,0.111111604332,612,0.111290322581,3.6760970142599995e-14,0.00137418115324
720.0,-598.0,-11568.0,-1e+200,-1e+200,-1e+200,-1e+200,938656.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-205172126.797,4803866.74511,-205172126.797,-201775280.046,-208568973.549,-208229288.873,-202114964.721,2.0,23077135704800.0,0.111096848726,0.111111426772,314,0.111290322581,3.6760970142599995e-14,0.00137378213977
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,1564426.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-216208582.575,6497718.69942,-216208582.575,-211614001.62,-220803163.529,-220343705.434,-212073459.715,2.0,42220348296800.0,0.111128939092,0.111111604332,523,0.111290322581,3.6760970142599995e-14,0.00137418115324
720.0,-323.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-223459270.633,13237118.8383,-223459270.633,-214099214.139,-232819327.127,-231883321.477,-215035219.788,2.0,175221315140000.0,0.111128939092,0.055553937791,57,0.110483870968,3.6760970142599995e-14,0.000682088768685
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,312885.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-234124711.642,28487011.4851,-234124711.642,-213981352.645,-254268070.639,-252253734.739,-215995688.545,2.0,811509823351000.0,0.111096848726,0.111109828737,105,0.0556451612903,3.6760970142599995e-14,0.000686881190826
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-238052328.081,17507830.7097,-238052328.081,-225672422.263,-250432233.9,-249194243.318,-226910412.844,2.0,306524136158000.0,0.111096848726,0.111111604332,225,0.111290322581,3.6760970142599995e-14,0.00137378433512
720.0,-667.0,-15031.0,-1e+200,-1e+200,-1e+200,-1e+200,1877312.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-244474544.092,6587556.16491,-244474544.092,-239816438.456,-249132649.728,-248666839.164,-240282249.02,2.0,43395896225800.0,0.111128939092,0.111111604332,602,0.0556451612903,3.6760970142599995e-14,0.000687090576621
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,938656.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-251911541.804,5146334.73867,-251911541.804,-248272533.612,-255550549.996,-255186649.176,-248636434.431,2.0,26484761242400.0,0.111096848726,0.111111426772,345,0.110483870968,3.6760970142599995e-14,0.00136382719673
720.0,-460.0,-8106.0,-1e+200,-1e+200,-1e+200,-1e+200,312885.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-252343624.74,19832153.87,-252343624.74,-238320174.253,-266367075.227,-264964730.179,-239722519.302,2.0,393314327125000.0,0.111096848726,0.111109828737,136,0.111290322581,3.6760970142599995e-14,0.00137376238165
720.0,-460.0,-11568.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-255609722.382,8012297.79823,-255609722.382,-249944172.276,-261275272.488,-260708717.477,-250510727.286,2.0,64196916007500.0,0.111096848726,0.111111426772,434,0.111290322581,3.6760970142599995e-14,0.00137378213977
720.0,-529.0,-8106.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-255735598.809,4524220.03973,-255735598.809,-252536492.14,-258934705.479,-258614794.812,-252856402.806,2.0,20468566967900.0,0.111096848726,0.055553937791,26,0.111290322581,3.6760970142599995e-14,0.000686869116419
720.0,-598.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,1564426.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-265071244.842,2562207.9972,-265071244.842,-263259490.193,-266882999.492,-266701824.027,-263440665.658,2.0,6564909820900.0,0.111128939092,0.111111604332,513,0.111290322581,3.6760970142599995e-14,0.00137418115324
720.0,-185.0,-4643.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-272172373.883,4921617.1243,-272172373.883,-268692265.04,-275652482.726,-275304471.842,-269040275.924,2.0,24222315118200.0,0.111128939092,0.055553937791,78,0.111290322581,3.6760970142599995e-14,0.000687067518821
720.0,-667.0,-11568.0,-1e+200,-1e+200,-1e+200,-1e+200,938656.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-280496725.788,10850711.066,-280496725.788,-272824114.413,-288169337.164,-287402076.026,-273591375.551,2.0,117737930637000.0,0.111096848726,0.111111426772,304,0.0556451612903,3.6760970142599995e-14,0.000686891069887
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,312885.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-281561062.32,9709520.55038,-281561062.32,-274695394.497,-288426730.143,-287740163.361,-275381961.279,2.0,94274789318200.0,0.111128939092,0.111109828737,167,0.111290322581,3.6760970142599995e-14,0.00137415919343
