smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,PointProbability,ProbabilityWeight-meoh_capacity,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-25549241.583,1096998.83231,-25549241.583,-24773546.2697,-26324936.8963,-26247367.365,-24851115.801,2.0,1203406438100.0,52,3.66466187075e-13,0.25,0.00782687576092,0.250006292421,0.125226860254
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-65104331.7074,1779616.20989,-65104331.7074,-63845953.0175,-66362710.3974,-66236872.5284,-63971790.8865,2.0,3167033854500.0,77,3.66466187075e-13,0.25,0.00782687576092,0.250006292421,0.125226860254
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-102071053.975,188926.1676,-102071053.975,-101937463.001,-102204644.949,-102191285.852,-101950822.098,2.0,35693096803.9,102,3.66466187075e-13,0.25,0.0039134597688,0.125003845369,0.125226860254
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-127662858.885,30517.5239747,-127662858.885,-127641279.737,-127684438.034,-127682280.119,-127643437.652,2.0,931319269.549,38,3.66466187075e-13,0.249963898917,0.0155939977396,0.249993707579,0.249546279492
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-165688930.997,56886.5728946,-165688930.997,-165648706.116,-165729155.879,-165725133.39,-165652728.604,2.0,3236082175.69,63,3.66466187075e-13,0.249963898917,0.0155947827514,0.250006292421,0.249546279492
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-203718301.993,911146.192923,-203718301.993,-203074024.341,-204362579.645,-204298151.879,-203138452.106,2.0,830187384878.0,88,3.66466187075e-13,0.249963898917,0.0155947827514,0.250006292421,0.249546279492
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-235980657.858,951713.471687,-235980657.858,-235307694.808,-236653620.907,-236586324.602,-235374991.113,2.0,905758532190.0,33,3.66466187075e-13,0.249963898917,0.0156507031859,0.249993707579,0.250453720508
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-241711721.871,968442.516093,-241711721.871,-241026929.601,-242396514.142,-242328034.914,-241095408.828,2.0,937880906976.0,113,3.66466187075e-13,0.249963898917,0.00779743498747,0.125003845369,0.249546279492
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-251023678.026,188271.014148,-251023678.026,-250890550.315,-251156805.736,-251143492.965,-250903863.086,2.0,35445974768.2,8,3.66466187075e-13,0.249963898917,0.00782491388941,0.12498986221,0.250453720508
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-275011079.071,755461.127566,-275011079.071,-274476887.384,-275545270.757,-275491851.588,-274530306.553,2.0,570721515264.0,58,3.66466187075e-13,0.249963898917,0.0156514910523,0.250006292421,0.250453720508
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-312476987.771,117791.367795,-312476987.771,-312393696.696,-312560278.846,-312551949.738,-312402025.803,2.0,13874806327.1,83,3.66466187075e-13,0.249963898917,0.0156514910523,0.250006292421,0.250453720508
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-319548952.415,999288.31738,-319548952.415,-318842348.87,-320255555.961,-320184895.606,-318913009.224,2.0,998577141253.0,19,3.66466187075e-13,0.25,0.00779768877217,0.12498986221,0.249546279492
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-350447489.384,2843238.57069,-350447489.384,-348437016.111,-352457962.658,-352256915.331,-348638063.438,2.0,8084005569880.0,108,3.66466187075e-13,0.249963898917,0.00782578929651,0.125003845369,0.250453720508
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-356843952.491,1550470.93989,-356843952.491,-355747603.975,-357940301.006,-357830666.155,-355857238.826,2.0,2403960135450.0,44,3.66466187075e-13,0.25,0.0155962499057,0.249993707579,0.249546279492
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-364004374.947,217986.15784,-364004374.947,-363850235.457,-364158514.438,-364143100.489,-363865649.406,2.0,47517965009.8,28,3.66466187075e-13,0.249963898917,0.00782535159296,0.249993707579,0.125226860254
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-394903433.374,1241182.9859,-394903433.374,-394025784.468,-395781082.28,-395693317.389,-394113549.358,2.0,1540535204480.0,69,3.66466187075e-13,0.25,0.0155970350308,0.250006292421,0.249546279492
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-401849550.759,716124.627777,-401849550.759,-401343174.179,-402355927.339,-402305289.681,-401393811.837,2.0,512834482509.0,53,3.66466187075e-13,0.249963898917,0.00782574552616,0.250006292421,0.125226860254
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-411264877.71,154789.651074,-411264877.71,-411155424.898,-411374330.522,-411363385.24,-411166370.179,2.0,23959836079.5,3,3.66466187075e-13,0.249963898917,0.00391245694471,0.12498986221,0.125226860254
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-432682074.981,1301391.3694,-432682074.981,-431761852.318,-433602297.643,-433510275.377,-431853874.585,2.0,1693619496340.0,94,3.66466187075e-13,0.25,0.0155970350308,0.250006292421,0.249546279492
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-442221813.857,1748560.44222,-442221813.857,-440985394.911,-443458232.803,-443334590.908,-441109036.805,2.0,3057463620110.0,78,3.66466187075e-13,0.249963898917,0.00782574552616,0.250006292421,0.125226860254
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-469533433.869,3158208.06925,-469533433.869,-467300243.527,-471766624.212,-471543305.177,-467523562.561,2.0,9974278208690.0,119,3.66466187075e-13,0.25,0.00779856113348,0.125003845369,0.249546279492
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-474303835.724,3079204.82027,-474303835.724,-472126509.115,-476481162.333,-476263429.672,-472344241.776,2.0,9481502325190.0,39,3.66466187075e-13,0.25,0.0155962499057,0.249993707579,0.249546279492
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-479699832.59,128817.835372,-479699832.59,-479608744.626,-479790920.555,-479781811.759,-479617853.422,2.0,16594034709.9,103,3.66466187075e-13,0.249963898917,0.00391289464826,0.125003845369,0.125226860254
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-482930166.805,884617.604286,-482930166.805,-482304647.699,-483555685.912,-483493134.002,-482367199.609,2.0,782548305812.0,14,3.66466187075e-13,0.25,0.00779768877217,0.12498986221,0.249546279492
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-513078019.162,1395776.66192,-513078019.162,-512091056.02,-514064982.305,-513966285.991,-512189752.334,2.0,1948192489950.0,64,3.66466187075e-13,0.25,0.0155970350308,0.250006292421,0.249546279492
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-520554906.296,1232596.60775,-520554906.296,-519683328.876,-521426483.715,-521339325.973,-519770486.618,2.0,1519294397440.0,25,3.66466187075e-13,0.125018050542,0.00195679352968,0.12498986221,0.125226860254
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-550755336.3,3519050.1175,-550755336.3,-548266992.098,-553243680.501,-552994846.081,-548515826.519,2.0,12383713729500.0,89,3.66466187075e-13,0.25,0.0155970350308,0.250006292421,0.249546279492
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-558664864.202,593244.264787,-558664864.202,-558245377.16,-559084351.245,-559042402.54,-558287325.864,2.0,351938757702.0,50,3.66466187075e-13,0.125018050542,0.00391380597435,0.249993707579,0.125226860254
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-590295051.523,1491720.13205,-590295051.523,-589240246.102,-591349856.944,-591244376.402,-589345726.644,2.0,2225228952360.0,114,3.66466187075e-13,0.25,0.00779856113348,0.125003845369,0.249546279492
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-597481252.548,2934279.52475,-597481252.548,-595406403.598,-599556101.498,-599348616.603,-595613888.493,2.0,8609996329390.0,75,3.66466187075e-13,0.125018050542,0.00391400299785,0.250006292421,0.125226860254
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-612028039.586,462883.315039,-612028039.586,-611700731.655,-612355347.517,-612322616.723,-611733462.448,2.0,214260963342.0,34,3.66466187075e-13,0.25,0.0156529635417,0.249993707579,0.250453720508
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-635847260.629,494471.053091,-635847260.629,-635497616.794,-636196904.463,-636161940.08,-635532581.177,2.0,244501622345.0,100,3.66466187075e-13,0.125018050542,0.00391400299785,0.250006292421,0.125226860254
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-643570773.293,2057523.6761,-643570773.293,-642115884.349,-645025662.237,-644880173.343,-642261373.244,2.0,4233403677730.0,9,3.66466187075e-13,0.25,0.00782604400407,0.12498986221,0.250453720508
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-652621198.042,341775.531581,-652621198.042,-652379526.246,-652862869.838,-652838702.658,-652403693.425,2.0,116810513988.0,59,3.66466187075e-13,0.25,0.0156537515218,0.250006292421,0.250453720508
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-673736302.986,377356.939552,-673736302.986,-673469471.335,-674003134.637,-673976451.472,-673496154.5,2.0,142398259828.0,125,3.66466187075e-13,0.125018050542,0.00195701244467,0.125003845369,0.125226860254
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-690393544.672,782852.900001,-690393544.672,-689839984.078,-690947105.267,-690891749.207,-689895340.138,2.0,612858663039.0,20,3.66466187075e-13,0.125018050542,0.00389940739611,0.12498986221,0.249546279492
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-691292032.879,374127.272177,-691292032.879,-691027484.948,-691556580.81,-691530126.017,-691053939.741,2.0,139971215786.0,84,3.66466187075e-13,0.25,0.0156537515218,0.250006292421,0.250453720508
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-696631106.889,886128.485299,-696631106.889,-696004519.428,-697257694.35,-697195035.604,-696067178.175,2.0,785223692459.0,45,3.66466187075e-13,0.125018050542,0.00779925103585,0.249993707579,0.249546279492
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-727413658.936,4155.43380591,-727413658.936,-727410720.601,-727416597.271,-727416303.438,-727411014.434,2.0,17267630.1153,109,3.66466187075e-13,0.25,0.0078269195376,0.125003845369,0.250453720508
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-736377870.543,2717150.27221,-736377870.543,-734456555.16,-738299185.926,-738107054.388,-734648686.698,2.0,7382905601790.0,70,3.66466187075e-13,0.125018050542,0.00779964365513,0.250006292421,0.249546279492
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-758477121.86,1521384.92205,-758477121.86,-757401340.265,-759552903.455,-759445325.296,-757508918.425,2.0,2314612081060.0,29,3.66466187075e-13,0.25,0.00782648177084,0.249993707579,0.125226860254
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-774881801.891,569033.319597,-774881801.891,-774479434.572,-775284169.21,-775243932.479,-774519671.304,2.0,323798918811.0,95,3.66466187075e-13,0.125018050542,0.00779964365513,0.250006292421,0.249546279492
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-796665666.008,2802045.11161,-796665666.008,-794684320.908,-798647011.108,-798448876.598,-794882455.418,2.0,7851456807500.0,54,3.66466187075e-13,0.25,0.00782687576092,0.250006292421,0.125226860254
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-804797376.264,650492.530471,-804797376.264,-804337408.585,-805257343.943,-805211347.175,-804383405.352,2.0,423140532199.0,4,3.66466187075e-13,0.25,0.00391302200204,0.12498986221,0.125226860254
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-812780045.413,639052.245982,-812780045.413,-812328167.237,-813231923.59,-813186735.772,-812373355.054,2.0,408387773094.0,120,3.66466187075e-13,0.125018050542,0.00389984363975,0.125003845369,0.249546279492
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-834926381.944,200921.411926,-834926381.944,-834784309.051,-835068454.837,-835054247.547,-834798516.34,2.0,40369413770.3,79,3.66466187075e-13,0.25,0.00782687576092,0.250006292421,0.125226860254
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-847329198.995,610174.148177,-847329198.995,-846897740.717,-847760657.272,-847717511.445,-846940886.545,2.0,372312491103.0,40,3.66466187075e-13,0.125018050542,0.00779925103585,0.249993707579,0.249546279492
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-853924124.422,408945.747591,-853924124.422,-853634956.11,-854213292.733,-854184375.902,-853663872.941,2.0,167236624473.0,15,3.66466187075e-13,0.125018050542,0.00389940739611,0.12498986221,0.249546279492
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-875113083.81,661959.801047,-875113083.81,-874645007.546,-875581160.075,-875534352.448,-874691815.173,2.0,438190778202.0,104,3.66466187075e-13,0.25,0.0039134597688,0.125003845369,0.125226860254
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-886378114.631,2363944.89896,-886378114.631,-884706553.163,-888049676.099,-887882519.953,-884873709.309,2.0,5588235485300.0,65,3.66466187075e-13,0.125018050542,0.00779964365513,0.250006292421,0.249546279492
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-925215692.752,1161908.67267,-925215692.752,-924394099.25,-926037286.253,-925955126.903,-924476258.6,2.0,1350031763620.0,90,3.66466187075e-13,0.125018050542,0.00779964365513,0.250006292421,0.249546279492
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-963774805.736,2530869.40118,-963774805.736,-961985210.82,-965564400.651,-965385441.16,-962164170.311,2.0,6405299925800.0,115,3.66466187075e-13,0.125018050542,0.00389984363975,0.125003845369,0.249546279492
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1001308429.34,1238824.11069,-1001308429.34,-1000432448.41,-1002184410.27,-1002096812.17,-1000520046.5,2.0,1534685177230.0,35,3.66466187075e-13,0.125018050542,0.00782761194871,0.249993707579,0.250453720508
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1014512509.37,3026972.02303,-1014512509.37,-1012372116.93,-1016652901.82,-1016438862.57,-1012586156.17,2.0,9162559628240.0,10,3.66466187075e-13,0.125018050542,0.00391358705936,0.12498986221,0.250453720508
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1040104820.58,1395553.7493,-1040104820.58,-1039118015.06,-1041091626.1,-1040992945.54,-1039216695.61,2.0,1947570267180.0,60,3.66466187075e-13,0.125018050542,0.00782800599569,0.250006292421,0.250453720508
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1079034400.82,2338759.10439,-1079034400.82,-1077380648.39,-1080688153.24,-1080522778.0,-1077546023.64,2.0,5469794148360.0,85,3.66466187075e-13,0.125018050542,0.00782800599569,0.250006292421,0.250453720508
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1118076007.78,176886.829484,-1118076007.78,-1117950929.91,-1118201085.66,-1118188577.87,-1117963437.69,2.0,31288950444.8,110,3.66466187075e-13,0.125018050542,0.00391402488934,0.125003845369,0.250453720508
720.0,-667.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1156035398.64,2174789.54698,-1156035398.64,-1154497590.2,-1157573207.08,-1157419426.23,-1154651371.05,2.0,4729709573660.0,30,3.66466187075e-13,0.125018050542,0.00391380597435,0.249993707579,0.125226860254
720.0,-667.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1175963771.61,646847.35564,-1175963771.61,-1175506381.46,-1176421161.76,-1176375422.74,-1175552120.47,2.0,418411501499.0,5,3.66466187075e-13,0.125018050542,0.00195679352968,0.12498986221,0.125226860254
720.0,-667.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1196977067.3,2715996.42206,-1196977067.3,-1195056567.82,-1198897566.79,-1198705516.84,-1195248617.76,2.0,7376636564650.0,55,3.66466187075e-13,0.125018050542,0.00391400299785,0.250006292421,0.125226860254
720.0,-667.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1230173288.71,2327600.4591,-1230173288.71,-1228527426.64,-1231819150.78,-1231654564.57,-1228692012.85,2.0,5417723897220.0,80,3.66466187075e-13,0.125018050542,0.00391400299785,0.250006292421,0.125226860254
720.0,-667.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1273794724.23,3364403.07035,-1273794724.23,-1271415732.0,-1276173716.45,-1275935817.23,-1271653631.22,2.0,11319208019800.0,105,3.66466187075e-13,0.125018050542,0.00195701244467,0.125003845369,0.125226860254
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-17393942654.5,65841.0097111,-17393942654.5,-17393896097.9,-17393989211.2,-17393984555.5,-17393900753.6,2.0,4335038559.77,1,3.66466187075e-13,0.125018050542,0.00195679352968,0.12498986221,0.125226860254
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-325005419694.0,386225.562174,-325005419694.0,-325005146591.0,-325005692797.0,-325005665487.0,-325005173902.0,2.0,149170184877.0,7,3.66466187075e-13,0.25,0.00782604400407,0.12498986221,0.250453720508
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-694826281918.0,396977.883692,-694826281918.0,-694826001212.0,-694826562624.0,-694826534553.0,-694826029283.0,2.0,157591440141.0,13,3.66466187075e-13,0.249963898917,0.00779656275213,0.12498986221,0.249546279492
720.0,-254.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-206107707067000.0,1781873.13663,-206107707067000.0,-206107705807000.0,-206107708327000.0,-206107708201000.0,-206107705933000.0,2.0,3175071875040.0,118,3.66466187075e-13,0.249963898917,0.00779743498747,0.125003845369,0.249546279492
720.0,-116.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-206477509512000.0,1685941.17497,-206477509512000.0,-206477508319000.0,-206477510704000.0,-206477510585000.0,-206477508439000.0,2.0,2842397645450.0,124,3.66466187075e-13,0.25,0.0039134597688,0.125003845369,0.125226860254
