smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,prefix,ProbabilityWeight-htse_capacity,PointProbability,ProbabilityWeight-meoh_capacity,ProbabilityWeight
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1095667964.61,11873044.6448,-1095667964.61,-1087272454.23,-1104063474.99,-1103223923.96,-1088112005.27,2.0,140969189137000.0,0.250000499385,59,0.250453720508,2.6175466018599997e-14,0.25,0.0156533888
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1101500638.49,20857309.1863,-1101500638.49,-1086752293.72,-1116248983.25,-1114774148.77,-1088227128.2,2.0,435027346495000.0,0.250000499385,70,0.249546279492,2.6175466018599997e-14,0.125018050542,0.00779946292521
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,3754623.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1105205971.38,19956271.0043,-1105205971.38,-1091094756.83,-1119317185.94,-1117906064.48,-1092505878.28,2.0,398252752396000.0,0.250000499385,77,0.125226860254,2.6175466018599997e-14,0.25,0.0078266944
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,3754623.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1180499882.5,18283706.5788,-1180499882.5,-1167571349.59,-1193428415.41,-1192135562.12,-1168864202.88,2.0,334293926261000.0,0.250000499385,88,0.249546279492,2.6175466018599997e-14,0.249963898917,0.0155944213959
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1228763412.31,47167786.0139,-1228763412.31,-1195410750.97,-1262116073.66,-1258780807.52,-1198746017.1,2.0,2224800037450000.0,0.250000499385,54,0.125226860254,2.6175466018599997e-14,0.25,0.0078266944
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,3754623.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1279932383.03,22362637.7307,-1279932383.03,-1264119610.24,-1295745155.81,-1294163878.53,-1265700887.52,2.0,500087566275000.0,0.250000499385,83,0.250453720508,2.6175466018599997e-14,0.249963898917,0.0156511283828
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1311290037.41,72855849.1684,-1311290037.41,-1259773172.41,-1362806902.4,-1357655215.9,-1264924858.91,2.0,5307974758050000.0,0.250000499385,65,0.249546279492,2.6175466018599997e-14,0.125018050542,0.00779946292521
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,3754623.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1350753161.47,19172624.9959,-1350753161.47,-1337196068.32,-1364310254.62,-1362954545.3,-1338551777.64,2.0,367589549233000.0,0.250000499385,94,0.249546279492,2.6175466018599997e-14,0.25,0.0155966736232
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,5006164.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1360809090.36,2762627.95731,-1360809090.36,-1358855617.4,-1362762563.32,-1362567216.03,-1359050964.69,2.0,7632113230500.0,0.125000249693,101,0.125226860254,2.6175466018599997e-14,0.125018050542,0.00195695615214
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,3754623.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1456736615.89,6023213.48523,-1456736615.89,-1452477560.79,-1460995670.99,-1460569765.48,-1452903466.3,2.0,36279100688600.0,0.250000499385,89,0.249546279492,2.6175466018599997e-14,0.25,0.0155966736232
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,3754623.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1457006856.93,26827515.3786,-1457006856.93,-1438036938.88,-1475976774.98,-1474079783.17,-1439933930.69,2.0,719715581391000.0,0.250000499385,78,0.125226860254,2.6175466018599997e-14,0.249963898917,0.00782556419142
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1463909636.17,67936382.4238,-1463909636.17,-1415871359.47,-1511947912.88,-1507144085.21,-1420675187.14,2.0,4615352056830000.0,0.250000499385,60,0.250453720508,2.6175466018599997e-14,0.125018050542,0.00782782460857
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,3754623.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1525627379.76,72522150.6982,-1525627379.76,-1474346475.21,-1576908284.3,-1571780193.85,-1479474565.67,2.0,5259462341890000.0,0.250000499385,100,0.125226860254,2.6175466018599997e-14,0.125018050542,0.00391391230429
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,5006164.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1533796915.84,24632186.1446,-1533796915.84,-1516379329.98,-1551214501.7,-1549472743.12,-1518121088.57,2.0,606744594262000.0,0.125000249693,107,0.250453720508,2.6175466018599997e-14,0.25,0.0078266944
720.0,-667.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1558138820.55,8170489.49195,-1558138820.55,-1552361412.02,-1563916229.07,-1563338488.22,-1552939152.88,2.0,66756898538000.0,0.250000499385,55,0.125226860254,2.6175466018599997e-14,0.125018050542,0.00391391230429
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,3754623.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1582415970.43,17022576.1483,-1582415970.43,-1570379191.41,-1594452749.46,-1593249071.56,-1571582869.31,2.0,289768098725000.0,0.250000499385,84,0.250453720508,2.6175466018599997e-14,0.25,0.0156533888
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,5006164.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1634597352.29,30924018.8505,-1634597352.29,-1612730768.86,-1656463935.72,-1654277277.38,-1614917427.21,2.0,956294941867000.0,0.125000249693,102,0.125226860254,2.6175466018599997e-14,0.25,0.0039133472
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,3754623.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1686955766.63,44705204.1157,-1686955766.63,-1655344413.65,-1718567119.61,-1715405984.32,-1658505548.94,2.0,1998555275020000.0,0.250000499385,95,0.249546279492,2.6175466018599997e-14,0.125018050542,0.00779946292521
